candidate,office,district,party,county,votes,winner
"BREWSTER, JAMES R.",State Senate,45,DEM,Allegheny,29270,
"OLIJAR, PAUL",State Senate,45,REP,Allegheny,21361,
"YOUNG, LEONARD N.",State Senate,45,LIB,Allegheny,2589,
"BREWSTER, JAMES R.",State Senate,45,DEM,Westmoreland,6673,
"OLIJAR, PAUL",State Senate,45,REP,Westmoreland,5208,
"YOUNG, LEONARD N.",State Senate,45,LIB,Westmoreland,515,
"BREWSTER, JAMES R.",State Senate,45,DEM,,35943,TRUE
"OLIJAR, PAUL",State Senate,45,REP,,26569,
"YOUNG, LEONARD N.",State Senate,45,LIB,,3104,
