candidate,office,district,party,county,votes,winner
"MENSCH, ROBERT B.",State Senate,24,REP,Bucks,2597,
"SCHEURING, ANNE HENNING",State Senate,24,DEM,Bucks,1105,
"STEEVER, BARBARA ",State Senate,24,LIB,Bucks,112,
"MENSCH, ROBERT B.",State Senate,24,REP,Lehigh,2342,
"SCHEURING, ANNE HENNING",State Senate,24,DEM,Lehigh,1105,
"STEEVER, BARBARA ",State Senate,24,LIB,Lehigh,211,
"MENSCH, ROBERT B.",State Senate,24,REP,Montgomery,5711,
"SCHEURING, ANNE HENNING",State Senate,24,DEM,Montgomery,2060,
"STEEVER, BARBARA ",State Senate,24,LIB,Montgomery,163,
"MENSCH, ROBERT B.",State Senate,24,REP,Northampton,1863,
"SCHEURING, ANNE HENNING",State Senate,24,DEM,Northampton,1469,
"STEEVER, BARBARA ",State Senate,24,LIB,Northampton,154,
"MENSCH, ROBERT B.",State Senate,24,REP,,12513,TRUE
"SCHEURING, ANNE HENNING",State Senate,24,DEM,,5739,
"STEEVER, BARBARA ",State Senate,24,LIB,,640,
