candidate,office,district,party,county,votes,winner
"ERICKSON, ERWIN TED",State Senate,26,REP,Delaware,26864,TRUE
"MAXMAN, MELISSA H.",State Senate,26,DEM,Delaware,17795,
"ORIE, JANE CLARE",State Senate,40,REP,Allegheny,26128,
"ROONEY, JAMES E.",State Senate,40,DEM,Allegheny,15937,
"STEFANICK, JAMES K.",State Senate,40,CFA,Allegheny,1039,
"ORIE, JANE CLARE",State Senate,40,REP,Butler,3238,
"ROONEY, JAMES E.",State Senate,40,DEM,Butler,1409,
"STEFANICK, JAMES K.",State Senate,40,CFA,Butler,67,
"ORIE, JANE CLARE",State Senate,40,REP,,30690,TRUE
"ROONEY, JAMES E.",State Senate,40,DEM,,20064,
"STEFANICK, JAMES K.",State Senate,40,CFA,,1224,
