candidate,office,district,party,county,votes,winner
"WILLIAMS, CONNIE",State Senate,17,DEM,Delaware,9483,
"COHEN, LITA INDZEL",State Senate,17,REP,Delaware,9065,
"WILLIAMS, CONNIE",State Senate,17,DEM,Montgomery,20073,
"COHEN, LITA INDZEL",State Senate,17,REP,Montgomery,18224,
"WILLIAMS, CONNIE",State Senate,17,DEM,,29556,TRUE
"COHEN, LITA INDZEL",State Senate,17,REP,,27289,
"SHUSTER, BILL",U.S. House,9,REP,Bedford,6847,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Bedford,4021,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Bedford,327,
"SHUSTER, BILL",U.S. House,9,REP,Blair,15203,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Blair,10384,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Blair,860,
"SHUSTER, BILL",U.S. House,9,REP,Centre,2233,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Centre,1393,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Centre,192,
"SHUSTER, BILL",U.S. House,9,REP,Clearfield,8981,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Clearfield,6569,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Clearfield,691,
"SHUSTER, BILL",U.S. House,9,REP,Franklin,8793,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Franklin,8328,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Franklin,1126,
"SHUSTER, BILL",U.S. House,9,REP,Fulton,1432,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Fulton,1168,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Fulton,76,
"SHUSTER, BILL",U.S. House,9,REP,Huntingdon,4887,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Huntingdon,4610,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Huntingdon,412,
"SHUSTER, BILL",U.S. House,9,REP,Juniata,2537,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Juniata,2113,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Juniata,163,
"SHUSTER, BILL",U.S. House,9,REP,Mifflin,3449,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Mifflin,3157,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Mifflin,228,
"SHUSTER, BILL",U.S. House,9,REP,Perry,1204,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Perry,480,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Perry,84,
"SHUSTER, BILL",U.S. House,9,REP,Snyder,3235,
"CONKLIN, H. SCOTT",U.S. House,9,DEM,Snyder,1574,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,Snyder,261,
"SHUSTER, BILL",U.S. House,9,REP,,55549,TRUE
"CONKLIN, H. SCOTT",U.S. House,9,DEM,,47049,
"HARTZOK, ALANNA K.",U.S. House,9,GRN,,4420,
