county,office,district,party,candidate,votes
Adams,Governor,,REP,Mike Fisher,15950
Adams,Governor,,DEM,Ed Rendell,7732
Adams,Governor,,GRN,Michael Morrill,292
Adams,Governor,,LIB,Ken V. Krawchuk,199
Adams,U.S. House,19,REP,Todd Platts,19886
Adams,U.S. House,19,GRN,Ben Price,1446
Adams,U.S. House,19,LIB,Michael Mickey Paoletta,950
Adams,State House,91,REP,Stephen R. Maitland,11795
Adams,State House,91,DEM,Mark D. Berg,4032
Adams,State House,193,REP,Steven R. Nickol,6176
Adams,State House,193,DEM,Bill Panebaker,2104
Allegheny,Governor,,REP,Mike Fisher,169414
Allegheny,Governor,,DEM,Ed Rendell,209708
Allegheny,Governor,,GRN,Michael Morrill,4991
Allegheny,Governor,,LIB,Ken V. Krawchuk,6673
Allegheny,U.S. House,4,REP,Melissa Hart,63374
Allegheny,U.S. House,4,DEM,Stevan Drobac,27873
Allegheny,U.S. House,12,REP,Bill Choby,312
Allegheny,U.S. House,12,DEM,John P. Murtha,832
Allegheny,U.S. House,14,DEM,Mike Doyle,123323
Allegheny,U.S. House,18,REP,Tim Murphy,69533
Allegheny,U.S. House,18,DEM,Jack Machek,44962
Allegheny,State Senate,38,REP,Ted Tomson,16168
Allegheny,State Senate,38,DEM,Jim Ferlo,34092
Allegheny,State Senate,40,REP,Jane C. Orie,40049
Allegheny,State Senate,40,DEM,Dan Demarco,17939
Allegheny,State Senate,42,REP,Thomas Stepnick,16952
Allegheny,State Senate,42,DEM,Jack Wagner,44249
Allegheny,State Senate,46,DEMREP,J. Barry Stout,1367
Allegheny,State House,16,REP,Ron Eggert,4527
Allegheny,State House,16,DEM,Susan Laughlin,3096
Allegheny,State House,19,DEM,Jake Wheatley,8615
Allegheny,State House,20,REP,Angelo Romano,5176
Allegheny,State House,20,DEM,Don Walko,10823
Allegheny,State House,20,LIB,Charles Stutler,442
Allegheny,State House,21,REP,Mario J. Di Bello,5276
Allegheny,State House,21,DEM,Frank J. Pistella,10952
Allegheny,State House,22,REP,Glenn P. Nagy,5321
Allegheny,State House,22,DEM,Michael Diven,12548
Allegheny,State House,23,DEM,Dan B. Frankel,13834
Allegheny,State House,24,DEM,Joseph Preston,10994
Allegheny,State House,24,GRN,Duane R. Wright,1779
Allegheny,State House,25,REP,Paul Fero,4446
Allegheny,State House,25,DEM,Joseph F. Markosek,10919
Allegheny,State House,27,REP,Edward O'Donnell,5603
Allegheny,State House,27,DEM,Thomas C. Petrone,10634
Allegheny,State House,28,REP,Mike Turzai,16802
Allegheny,State House,30,REP,Jeffrey E. Habay,15965
Allegheny,State House,30,DEM,Bobbi Jo Wagner,7070
Allegheny,State House,32,DEM,Anthony M. De Luca,14376
Allegheny,State House,33,REP,James M. McDonough,6131
Allegheny,State House,33,DEM,Frank Dermody,11233
Allegheny,State House,34,DEM,Paul Costa,13633
Allegheny,State House,34,OTH,Robert Clanagan,1503
Allegheny,State House,35,DEM,Marc J. Gergely,10799
Allegheny,State House,36,DEM,Harry Readshaw,13218
Allegheny,State House,38,DEM,Kenneth W. Ruffing,13224
Allegheny,State House,39,REP,Monica A. Douglas,5982
Allegheny,State House,39,DEM,David Levdansky,8650
Allegheny,State House,40,REP,John A. Maher,11464
Allegheny,State House,42,REP,Tom Stevenson,14665
Allegheny,State House,42,DEM,Mike Crossey,9170
Allegheny,State House,44,REP,John Pippy,13431
Allegheny,State House,45,REP,Herb Ohliger,6299
Allegheny,State House,45,DEM,Nick Kotik,12126
Allegheny,State House,46,REP,Paul Snatchko,659
Allegheny,State House,46,DEM,Victor John Lescovitz,426
Armstrong,Governor,,REP,Mike Fisher,11898
Armstrong,Governor,,DEM,Ed Rendell,7965
Armstrong,Governor,,GRN,Michael Morrill,213
Armstrong,Governor,,LIB,Ken V. Krawchuk,288
Armstrong,U.S. House,3,REP,Phil English,6350
Armstrong,U.S. House,3,GRN,Anndrea M. Benson,1391
Armstrong,U.S. House,12,REP,Bill Choby,3794
Armstrong,U.S. House,12,DEM,John P. Murtha,7784
Armstrong,State Senate,38,REP,Ted Tomson,2466
Armstrong,State Senate,38,DEM,Jim Ferlo,2281
Armstrong,State House,54,DEM,John E. Pallone,1533
Armstrong,State House,55,DEM,Joseph A. Petrarca,562
Armstrong,State House,60,DEMREP,Jeff Coleman,12163
Armstrong,State House,63,DEMREP,Fred McIlhattan,4617
Armstrong,State House,66,REP,Sam Smith,192
Armstrong,State House,66,DEM,A. Anson Brosius,67
Beaver,Governor,,REP,Mike Fisher,23744
Beaver,Governor,,DEM,Ed Rendell,27322
Beaver,Governor,,GRN,Michael Morrill,636
