candidate,office,district,party,county,votes,winner
"BROOKS, WALLACE W.",State House,149,REP,Montgomery,3922,TRUE
"LEACH, DAYLIN",State House,149,DEM,Montgomery,3616,
"FARAGALLI, ANGELO C.",State House,149,IND,Montgomery,637,
