county,office,district,party,candidate,votes
Adams,President,,REP,George W. Bush,20848
Adams,President,,DEM,Al Gore,11682
Adams,President,,CNST,Howard Phillips,27
Adams,President,,LIB,Harry Browne,72
Adams,President,,GRN,Ralph Nader,696
Adams,President,,REF,Patrick J. Buchanan,108
Adams,U.S. Senate,,REP,Rick Santorum,21621
Adams,U.S. Senate,,DEM,Ron Klink,10177
Adams,U.S. Senate,,CNST,Lester B. Searer,225
Adams,U.S. Senate,,LIB,John J. Featherman,432
Adams,U.S. Senate,,REF,Robert E. Domske,291
Adams,Attorney General,,REP,Mike Fisher,22195
Adams,Attorney General,,DEM,Jim Eisenhower,8957
Adams,Attorney General,,CNST,James N. Clymer,195
Adams,Attorney General,,LIB,Julian P. Heicklen,363
Adams,Attorney General,,GRN,Thomas Alan Linzey,464
Adams,U.S. House,19,REP,Todd Platts,22609
Adams,U.S. House,19,DEM,Jeff Sanders,9613
Adams,U.S. House,19,CNST,Michael L. Paoletta,346
Adams,State Senate,33,DEMREP,Terry Punt,30387
Adams,State House,91,REP,Stephen R. Maitland,18608
Adams,State House,91,DEM,Mark D. Berg,6495
Adams,State House,193,REP,Steven R. Nickol,6436
Allegheny,President,,REP,George W. Bush,235361
Allegheny,President,,DEM,Al Gore,329963
Allegheny,President,,CNST,Howard Phillips,3522
Allegheny,President,,LIB,Harry Browne,945
Allegheny,President,,GRN,Ralph Nader,10575
Allegheny,President,,REF,Patrick J. Buchanan,2112
Allegheny,U.S. Senate,,REP,Rick Santorum,247405
Allegheny,U.S. Senate,,DEM,Ron Klink,306410
Allegheny,U.S. Senate,,CNST,Lester B. Searer,4774
Allegheny,U.S. Senate,,LIB,John J. Featherman,4500
Allegheny,U.S. Senate,,REF,Robert E. Domske,2119
Allegheny,Attorney General,,REP,Mike Fisher,280918
Allegheny,Attorney General,,DEM,Jim Eisenhower,247363
Allegheny,Attorney General,,CNST,James N. Clymer,3937
Allegheny,Attorney General,,LIB,Julian P. Heicklen,3868
Allegheny,Attorney General,,GRN,Thomas Alan Linzey,6399
Allegheny,U.S. House,4,REP,Melissa Hart,24610
Allegheny,U.S. House,4,DEM,Terry E. Van Horne,13948
Allegheny,U.S. House,14,DEM,William J. Coyne,147533
Allegheny,U.S. House,18,REP,Craig C. Stephens,68798
Allegheny,U.S. House,18,DEM,Mike Doyle,156131
