county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Lycoming,Anthony Township,President,,DEM,Joseph R. Biden Jr.,23,12,0,11
Lycoming,Anthony Township,President,,DEM,Dean Phillips,2,2,0,0
Lycoming,Anthony Township,President,,DEM,Write-In Totals,3,2,0,1
Lycoming,Anthony Township,U.S. Senate,,DEM,Robert P. Casey Jr.,27,16,0,11
Lycoming,Anthony Township,U.S. Senate,,DEM,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,Attorney General,,DEM,Jack Stollsteimer,8,3,0,5
Lycoming,Anthony Township,Attorney General,,DEM,Eugene Depasquale,7,7,0,0
Lycoming,Anthony Township,Attorney General,,DEM,Joe Khan,6,4,0,2
Lycoming,Anthony Township,Attorney General,,DEM,Keir Bradford-grey,3,1,0,2
Lycoming,Anthony Township,Attorney General,,DEM,Jared Solomon,2,2,0,0
Lycoming,Anthony Township,Attorney General,,DEM,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,Auditor General,,DEM,Malcolm Kenyatta,5,5,0,0
Lycoming,Anthony Township,Auditor General,,DEM,Mark Pinsley,21,12,0,9
Lycoming,Anthony Township,Auditor General,,DEM,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,State Treasurer,,DEM,Ryan Bizzarro,12,8,0,4
Lycoming,Anthony Township,State Treasurer,,DEM,Erin McClelland,14,9,0,5
Lycoming,Anthony Township,State Treasurer,,DEM,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,U.S. House,15,DEM,Zach Womer,23,14,0,9
Lycoming,Anthony Township,U.S. House,15,DEM,Write-In Totals,2,1,0,1
Lycoming,Anthony Township,State Senate,23,DEM,Write-In Totals,4,3,0,1
Lycoming,Anthony Township,State House,84,DEM,Write-In Totals,2,1,0,1
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Ezra Nanes,15,6,0,9
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Braxton White,17,8,0,9
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Margie Swoboda,13,5,0,8
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Laura Shadle,16,8,0,8
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,2,1,0,1
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,President,,REP,Nikki R. Haley,11,7,0,4
Lycoming,Anthony Township,President,,REP,Donald J. Trump,165,156,0,9
Lycoming,Anthony Township,President,,REP,Write-In Totals,2,1,0,1
Lycoming,Anthony Township,U.S. Senate,,REP,Dave McCormick,168,154,0,14
Lycoming,Anthony Township,U.S. Senate,,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,Attorney General,,REP,Dave Sunday,107,102,0,5
Lycoming,Anthony Township,Attorney General,,REP,Craig Williams,51,46,0,5
Lycoming,Anthony Township,Attorney General,,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,Auditor General,,REP,Tim Defoor,156,145,0,11
Lycoming,Anthony Township,Auditor General,,REP,Write-In Totals,2,1,0,1
Lycoming,Anthony Township,State Treasurer,,REP,Stacy Garrity,163,152,0,11
Lycoming,Anthony Township,State Treasurer,,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,U.S. House,15,REP,Glenn Gt Thompson,168,155,0,13
Lycoming,Anthony Township,U.S. House,15,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,State Senate,23,REP,Gene Yaw,169,155,0,14
Lycoming,Anthony Township,State Senate,23,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,State House,84,REP,Joe Hamm,173,159,0,14
Lycoming,Anthony Township,State House,84,REP,Write-In Totals,1,0,0,1
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Danny Kunselman,31,28,0,3
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Mark J. Harris,65,63,0,2
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Darlene Smail,27,25,0,2
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,David H. Rowe,39,34,0,5
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Matthew M. Causer,7,7,0,0
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Fred Keller,142,132,0,10
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Ken Layng,7,6,0,1
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Joyce C. Haas,48,43,0,5
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Alt Delegate To The Republican Convention (15th District),15,REP,Daniel F. Clark,100,93,0,7
Lycoming,Anthony Township,Alt Delegate To The Republican Convention (15th District),15,REP,Irene Harris,80,72,0,8
Lycoming,Anthony Township,Alt Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,1,1,0,0
Lycoming,Anthony Township,Alt Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,0,0,0,0
Lycoming,Anthony Township,Alt Delegate To The Republican Convention (15th District),15,REP,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,President,,DEM,Joseph R. Biden Jr.,19,9,0,10
Lycoming,Armstrong Township,President,,DEM,Dean Phillips,1,1,0,0
Lycoming,Armstrong Township,President,,DEM,Write-In Totals,3,3,0,0
Lycoming,Armstrong Township,U.S. Senate,,DEM,Robert P. Casey Jr.,21,12,0,9
Lycoming,Armstrong Township,U.S. Senate,,DEM,Write-In Totals,1,1,0,0
Lycoming,Armstrong Township,Attorney General,,DEM,Jack Stollsteimer,3,1,0,2
Lycoming,Armstrong Township,Attorney General,,DEM,Eugene Depasquale,11,5,0,6
Lycoming,Armstrong Township,Attorney General,,DEM,Joe Khan,5,5,0,0
Lycoming,Armstrong Township,Attorney General,,DEM,Keir Bradford-grey,3,1,0,2
Lycoming,Armstrong Township,Attorney General,,DEM,Jared Solomon,0,0,0,0
Lycoming,Armstrong Township,Attorney General,,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,Auditor General,,DEM,Malcolm Kenyatta,11,6,0,5
Lycoming,Armstrong Township,Auditor General,,DEM,Mark Pinsley,11,6,0,5
Lycoming,Armstrong Township,Auditor General,,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,State Treasurer,,DEM,Ryan Bizzarro,10,2,0,8
Lycoming,Armstrong Township,State Treasurer,,DEM,Erin McClelland,12,10,0,2
Lycoming,Armstrong Township,State Treasurer,,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,U.S. House,15,DEM,Zach Womer,20,11,0,9
Lycoming,Armstrong Township,U.S. House,15,DEM,Write-In Totals,1,0,0,1
Lycoming,Armstrong Township,State Senate,23,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,State House,83,DEM,Write-In Totals,1,1,0,0
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Ezra Nanes,18,9,0,9
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Braxton White,15,6,0,9
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Margie Swoboda,15,6,0,9
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Laura Shadle,16,8,0,8
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,Delegate To The Democratic Convention (15th District),15,DEM,Write-In Totals,0,0,0,0
Lycoming,Armstrong Township,President,,REP,Nikki R. Haley,10,7,0,3
Lycoming,Armstrong Township,President,,REP,Donald J. Trump,70,61,0,9
