county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Elk,BENEZETTE,Registered Voters,,,,192,,,
Elk,BENEZETTE,Ballots Cast,,,,166,141,25,0
Elk,BENEZETTE,Ballots Cast Blank,,,,0,0,0,0
Elk,BENEZETTE,President,,REP,DONALD J TRUMP,130,112,18,0
Elk,BENEZETTE,President,,LIB,CHASE OLIVER,0,0,0,0
Elk,BENEZETTE,President,,GRN,JILL STEIN,0,0,0,0
Elk,BENEZETTE,President,,,Write-ins,0,0,0,0
Elk,BENEZETTE,President,,,Over Votes,0,0,0,0
Elk,BENEZETTE,President,,,Under Votes,1,1,0,0
Elk,BENEZETTE,Attorney General,,DEM,EUGENE DEPASQUALE,27,21,6,0
Elk,BENEZETTE,Attorney General,,REP,DAVE SUNDAY,129,110,19,0
Elk,BENEZETTE,Attorney General,,LIB,ROBERT COWBURN,4,4,0,0
Elk,BENEZETTE,Attorney General,,GRN,RICHARD L WEISS,2,2,0,0
Elk,BENEZETTE,Attorney General,,CST,JUSTIN L MAGILL,1,1,0,0
Elk,BENEZETTE,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Elk,BENEZETTE,Attorney General,,,Write-ins,0,0,0,0
Elk,BENEZETTE,Attorney General,,,Over Votes,0,0,0,0
Elk,BENEZETTE,Attorney General,,,Under Votes,3,3,0,0
Elk,BENEZETTE,Auditor General,,DEM,MALCOLM KENYATTA,32,26,6,0
Elk,BENEZETTE,Auditor General,,REP,TIM DEFOOR,126,108,18,0
Elk,BENEZETTE,Auditor General,,LIB,REECE SMITH,3,3,0,0
Elk,BENEZETTE,Auditor General,,ASP,ERIC K ANTON,0,0,0,0
Elk,BENEZETTE,Auditor General,,CST,BOB GOODRICH,1,1,0,0
Elk,BENEZETTE,Auditor General,,,Write-ins,0,0,0,0
Elk,BENEZETTE,Auditor General,,,Over Votes,0,0,0,0
Elk,BENEZETTE,Auditor General,,,Under Votes,4,3,1,0
Elk,BENEZETTE,State Treasurer,,DEM,ERIN MCCLELLAND,35,28,7,0
Elk,BENEZETTE,State Treasurer,,REP,STACY GARRITY,123,105,18,0
Elk,BENEZETTE,State Treasurer,,LIB,NICKOLAS CIESIELSKI,2,2,0,0
Elk,BENEZETTE,State Treasurer,,CST,TROY BOWMAN,1,1,0,0
Elk,BENEZETTE,State Treasurer,,FWD,CHRIS FOSTER,1,1,0,0
Elk,BENEZETTE,State Treasurer,,,Write-ins,0,0,0,0
Elk,BENEZETTE,State Treasurer,,,Over Votes,0,0,0,0
Elk,BENEZETTE,State Treasurer,,,Under Votes,4,4,0,0
Elk,BENEZETTE,State Treasurer,,DEM,ZACH WOMER,30,24,6,0
Elk,BENEZETTE,State Treasurer,,REP,GLENN GT THOMPSON,134,115,19,0
Elk,BENEZETTE,State Treasurer,,,Write-ins,0,0,0,0
Elk,BENEZETTE,State Treasurer,,,Over Votes,0,0,0,0
Elk,BENEZETTE,State Treasurer,,,Under Votes,2,2,0,0
Elk,BENEZETTE,State Senate,25,DEM,WILLIAM MCGILL,34,27,7,0
Elk,BENEZETTE,State Senate,25,REP,CRIS DUSH,129,112,17,0
Elk,BENEZETTE,State Senate,25,,Write-ins,0,0,0,0
Elk,BENEZETTE,State Senate,25,,Over Votes,0,0,0,0
Elk,BENEZETTE,State Senate,25,,Under Votes,3,2,1,0
Elk,BENEZETTE,General Assembly,75,REP,MIKE ARMANINI,150,129,21,0
Elk,BENEZETTE,General Assembly,75,,Write-ins,3,2,1,0
Elk,BENEZETTE,General Assembly,75,,Over Votes,0,0,0,0
Elk,BENEZETTE,General Assembly,75,,Under Votes,13,10,3,0
Elk,FOX #1,Registered Voters,,,,1308,,,
Elk,FOX #1,Ballots Cast,,,,1134,910,223,1
Elk,FOX #1,Ballots Cast Blank,,,,0,0,0,0
Elk,FOX #1,President,,REP,DONALD J TRUMP,817,719,97,1
Elk,FOX #1,President,,LIB,CHASE OLIVER,11,7,4,0
Elk,FOX #1,President,,GRN,JILL STEIN,1,0,1,0
Elk,FOX #1,President,,,Write-ins,5,5,0,0
Elk,FOX #1,President,,,Over Votes,0,0,0,0
Elk,FOX #1,President,,,Under Votes,4,3,1,0
Elk,FOX #1,Attorney General,,DEM,EUGENE DEPASQUALE,276,161,115,0
Elk,FOX #1,Attorney General,,REP,DAVE SUNDAY,806,707,98,1
Elk,FOX #1,Attorney General,,LIB,ROBERT COWBURN,16,13,3,0
Elk,FOX #1,Attorney General,,GRN,RICHARD L WEISS,4,4,0,0
Elk,FOX #1,Attorney General,,CST,JUSTIN L MAGILL,9,9,0,0
Elk,FOX #1,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Elk,FOX #1,Attorney General,,,Write-ins,1,1,0,0
Elk,FOX #1,Attorney General,,,Over Votes,0,0,0,0
Elk,FOX #1,Attorney General,,,Under Votes,22,15,7,0
Elk,FOX #1,Auditor General,,DEM,MALCOLM KENYATTA,290,174,116,0
Elk,FOX #1,Auditor General,,REP,TIM DEFOOR,787,689,97,1
Elk,FOX #1,Auditor General,,LIB,REECE SMITH,16,14,2,0
Elk,FOX #1,Auditor General,,ASP,ERIC K ANTON,4,4,0,0
Elk,FOX #1,Auditor General,,CST,BOB GOODRICH,11,11,0,0
Elk,FOX #1,Auditor General,,,Write-ins,1,1,0,0
Elk,FOX #1,Auditor General,,,Over Votes,0,0,0,0
Elk,FOX #1,Auditor General,,,Under Votes,25,17,8,0
Elk,FOX #1,State Treasurer,,DEM,ERIN MCCLELLAND,296,177,119,0
Elk,FOX #1,State Treasurer,,REP,STACY GARRITY,789,693,95,1
Elk,FOX #1,State Treasurer,,LIB,NICKOLAS CIESIELSKI,16,14,2,0
Elk,FOX #1,State Treasurer,,CST,TROY BOWMAN,9,8,1,0
Elk,FOX #1,State Treasurer,,FWD,CHRIS FOSTER,3,2,1,0
Elk,FOX #1,State Treasurer,,,Write-ins,3,3,0,0
Elk,FOX #1,State Treasurer,,,Over Votes,0,0,0,0
Elk,FOX #1,State Treasurer,,,Under Votes,18,13,5,0
Elk,FOX #1,State Treasurer,,DEM,ZACH WOMER,264,157,107,0
Elk,FOX #1,State Treasurer,,REP,GLENN GT THOMPSON,853,740,112,1
Elk,FOX #1,State Treasurer,,,Write-ins,3,3,0,0
Elk,FOX #1,State Treasurer,,,Over Votes,0,0,0,0
Elk,FOX #1,State Treasurer,,,Under Votes,14,10,4,0
Elk,FOX #1,State Senate,25,DEM,WILLIAM MCGILL,280,167,113,0
Elk,FOX #1,State Senate,25,REP,CRIS DUSH,826,725,100,1
Elk,FOX #1,State Senate,25,,Write-ins,1,1,0,0
Elk,FOX #1,State Senate,25,,Over Votes,0,0,0,0
Elk,FOX #1,State Senate,25,,Under Votes,27,17,10,0
Elk,FOX #1,General Assembly,75,REP,MIKE ARMANINI,1025,851,173,1
Elk,FOX #1,General Assembly,75,,Write-ins,40,29,11,0
Elk,FOX #1,General Assembly,75,,Over Votes,0,0,0,0
Elk,FOX #1,General Assembly,75,,Under Votes,69,30,39,0
Elk,FOX #2,Registered Voters,,,,1250,,,
Elk,FOX #2,Ballots Cast,,,,1055,834,217,4
Elk,FOX #2,Ballots Cast Blank,,,,0,0,0,0
Elk,FOX #2,President,,REP,DONALD J TRUMP,767,640,125,2
Elk,FOX #2,President,,LIB,CHASE OLIVER,2,2,0,0
Elk,FOX #2,President,,GRN,JILL STEIN,4,3,1,0
Elk,FOX #2,President,,,Write-ins,1,0,0,1
Elk,FOX #2,President,,,Over Votes,0,0,0,0
Elk,FOX #2,President,,,Under Votes,4,3,1,0
Elk,FOX #2,Attorney General,,DEM,EUGENE DEPASQUALE,258,173,84,1
Elk,FOX #2,Attorney General,,REP,DAVE SUNDAY,748,625,120,3
Elk,FOX #2,Attorney General,,LIB,ROBERT COWBURN,8,7,1,0
Elk,FOX #2,Attorney General,,GRN,RICHARD L WEISS,10,9,1,0
Elk,FOX #2,Attorney General,,CST,JUSTIN L MAGILL,7,3,4,0
Elk,FOX #2,Attorney General,,FWD,ERIC L SETTLE,6,6,0,0
Elk,FOX #2,Attorney General,,,Write-ins,3,3,0,0
Elk,FOX #2,Attorney General,,,Over Votes,0,0,0,0
Elk,FOX #2,Attorney General,,,Under Votes,15,8,7,0
Elk,FOX #2,Auditor General,,DEM,MALCOLM KENYATTA,259,177,81,1
Elk,FOX #2,Auditor General,,REP,TIM DEFOOR,741,614,124,3
Elk,FOX #2,Auditor General,,LIB,REECE SMITH,18,17,1,0
Elk,FOX #2,Auditor General,,ASP,ERIC K ANTON,7,7,0,0
Elk,FOX #2,Auditor General,,CST,BOB GOODRICH,12,9,3,0
Elk,FOX #2,Auditor General,,,Write-ins,2,2,0,0
Elk,FOX #2,Auditor General,,,Over Votes,0,0,0,0
Elk,FOX #2,Auditor General,,,Under Votes,16,8,8,0
Elk,FOX #2,State Treasurer,,DEM,ERIN MCCLELLAND,258,179,78,1
Elk,FOX #2,State Treasurer,,REP,STACY GARRITY,755,622,130,3
Elk,FOX #2,State Treasurer,,LIB,NICKOLAS CIESIELSKI,8,7,1,0
Elk,FOX #2,State Treasurer,,CST,TROY BOWMAN,9,8,1,0
Elk,FOX #2,State Treasurer,,FWD,CHRIS FOSTER,7,6,1,0
Elk,FOX #2,State Treasurer,,,Write-ins,2,2,0,0
Elk,FOX #2,State Treasurer,,,Over Votes,0,0,0,0
Elk,FOX #2,State Treasurer,,,Under Votes,16,10,6,0
Elk,FOX #2,State Treasurer,,DEM,ZACH WOMER,240,161,78,1
