county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Montgomery,Ambler 1,Ballots Cast,,,,1310,,919,7,384
Montgomery,Ambler 1,Registered Voters,,,,1564,,,,
Montgomery,Ambler 1,President,,DEM,KAMALA D HARRIS,916,,,,
Montgomery,Ambler 1,President,,REP,DONALD J TRUMP,379,,,,
Montgomery,Ambler 1,President,,LIB,CHASE OLIVER,6,,,,
Montgomery,Ambler 1,President,,GRE,JILL STEIN,3,,,,
Montgomery,Ambler 1,President,,,Write-Ins,0,,,,
Montgomery,Ambler 1,U.S. Senate,,DEM,ROBERT P CASEY JR,903,,,,
Montgomery,Ambler 1,U.S. Senate,,REP,DAVE MCCORMICK,371,,,,
Montgomery,Ambler 1,U.S. Senate,,LIB,JOHN C THOMAS,15,,,,
Montgomery,Ambler 1,U.S. Senate,,GRE,LEILA HAZOU,9,,,,
Montgomery,Ambler 1,U.S. Senate,,CON,MARTY SELKER,2,,,,
Montgomery,Ambler 1,U.S. Senate,,,Write-Ins,1,,,,
Montgomery,Ambler 1,Attorney General,,DEM,EUGENE DEPASQUALE,826,,,,
Montgomery,Ambler 1,Attorney General,,REP,DAVE SUNDAY,421,,,,
Montgomery,Ambler 1,Attorney General,,LIB,ROBERT COWBURN,13,,,,
Montgomery,Ambler 1,Attorney General,,GRE,RICHARD L WEISS,15,,,,
Montgomery,Ambler 1,Attorney General,,CON,JUSTIN L MAGILL,4,,,,
Montgomery,Ambler 1,Attorney General,,FOR,ERIC L SETTLE,4,,,,
Montgomery,Ambler 1,Attorney General,,,Write-Ins,1,,,,
Montgomery,Ambler 1,U.S. House,4,DEM,MADELEINE DEAN,905,,,,
Montgomery,Ambler 1,U.S. House,4,REP,DAVID WINKLER,361,,,,
Montgomery,Ambler 1,U.S. House,4,,Write-Ins,2,,,,
Montgomery,Ambler 1,State House,151,DEM,MELISSA CERRATO,892,,,,
Montgomery,Ambler 1,State House,151,REP,ALLEN ARTHUR ANDERSON,358,,,,
Montgomery,Ambler 1,State House,151,,Write-Ins,2,,,,
Montgomery,Ambler 2,Ballots Cast,,,,1348,,977,12,359
Montgomery,Ambler 2,President,,DEM,KAMALA D HARRIS,944,,640,9,295
Montgomery,Ambler 2,President,,REP,DONALD J TRUMP,384,,320,3,61
Montgomery,Ambler 2,President,,LIB,CHASE OLIVER,7,,7,0,0
Montgomery,Ambler 2,President,,GRE,JILL STEIN,7,,4,0,3
Montgomery,Ambler 2,President,,,Write-Ins,0,,0,0,0
Montgomery,Ambler 2,U.S. Senate,,DEM,ROBERT P CASEY JR,930,,634,9,287
Montgomery,Ambler 2,U.S. Senate,,REP,DAVE MCCORMICK,370,,305,3,62
Montgomery,Ambler 2,U.S. Senate,,LIB,JOHN C THOMAS,18,,15,0,3
Montgomery,Ambler 2,U.S. Senate,,GRE,LEILA HAZOU,15,,12,0,3
Montgomery,Ambler 2,U.S. Senate,,CON,MARTY SELKER,3,,3,0,0
Montgomery,Ambler 2,U.S. Senate,,,Write-Ins,0,,0,0,0
Montgomery,Ambler 2,Attorney General,,DEM,EUGENE DEPASQUALE,888,,605,9,274
Montgomery,Ambler 2,Attorney General,,REP,DAVE SUNDAY,391,,326,3,62
Montgomery,Ambler 2,Attorney General,,LIB,ROBERT COWBURN,19,,15,0,4
Montgomery,Ambler 2,Attorney General,,GRE,RICHARD L WEISS,13,,8,0,5
Montgomery,Ambler 2,Attorney General,,CON,JUSTIN L MAGILL,2,,2,0,0
Montgomery,Ambler 2,Attorney General,,FOR,ERIC L SETTLE,5,,4,0,1
Montgomery,Ambler 2,Attorney General,,,Write-Ins,0,,0,0,0
Montgomery,Ambler 2,U.S. House,4,DEM,MADELEINE DEAN,951,,649,9,293
Montgomery,Ambler 2,U.S. House,4,REP,DAVID WINKLER,361,,297,2,62
Montgomery,Ambler 2,U.S. House,4,,Write-Ins,1,,1,0,0
Montgomery,Ambler 2,State House,151,DEM,MELISSA CERRATO,947,,649,9,289
Montgomery,Ambler 2,State House,151,REP,ALLEN ARTHUR ANDERSON,354,,295,2,57
