county,precinct,office,district,party,candidate,votes,provisional,election_day,mail_in
Washington,ALLENPORT,President,,DEM,KAMALA D HARRIS,94,0,69,25
Washington,AMWELL 1,President,,DEM,KAMALA D HARRIS,287,0,162,125
Washington,AMWELL 2,President,,DEM,KAMALA D HARRIS,177,1,94,82
Washington,BEALLSVILLE,President,,DEM,KAMALA D HARRIS,71,0,56,15
Washington,BENTLEYVILLE,President,,DEM,KAMALA D HARRIS,419,8,262,149
Washington,BLAINE,President,,DEM,KAMALA D HARRIS,84,0,63,21
Washington,BUFFALO,President,,DEM,KAMALA D HARRIS,278,3,152,123
Washington,BURGETTSTOWN,President,,DEM,KAMALA D HARRIS,293,0,201,92
Washington,CALIFORNIA 1,President,,DEM,KAMALA D HARRIS,165,0,115,50
Washington,CALIFORNIA 2,President,,DEM,KAMALA D HARRIS,217,0,161,56
Washington,CALIFORNIA 3,President,,DEM,KAMALA D HARRIS,112,1,71,40
Washington,CALIFORNIA 4,President,,DEM,KAMALA D HARRIS,267,0,180,87
Washington,CANONSBURG 1 W 3,President,,DEM,KAMALA D HARRIS,387,6,268,113
Washington,CANONSBURG 1 W 4,President,,DEM,KAMALA D HARRIS,534,1,317,216
Washington,CANONSBURG 2 W 1,President,,DEM,KAMALA D HARRIS,289,2,203,84
Washington,CANONSBURG 2 W 2,President,,DEM,KAMALA D HARRIS,549,3,334,212
Washington,CANONSBURG 3 W 1,President,,DEM,KAMALA D HARRIS,223,0,156,67
Washington,CANONSBURG 3 W 3,President,,DEM,KAMALA D HARRIS,341,5,237,99
Washington,CANTON 1,President,,DEM,KAMALA D HARRIS,285,3,154,128
Washington,CANTON 2,President,,DEM,KAMALA D HARRIS,442,1,261,180
Washington,CANTON 4,President,,DEM,KAMALA D HARRIS,300,3,165,132
Washington,CANTON 5,President,,DEM,KAMALA D HARRIS,438,0,248,190
Washington,CARROLL 1,President,,DEM,KAMALA D HARRIS,71,1,47,23
Washington,CARROLL 2,President,,DEM,KAMALA D HARRIS,221,3,127,91
Washington,CARROLL 3,President,,DEM,KAMALA D HARRIS,256,1,149,106
Washington,CARROLL 4,President,,DEM,KAMALA D HARRIS,379,3,222,154
Washington,CARROLL 5,President,,DEM,KAMALA D HARRIS,237,0,159,78
Washington,CECIL 1,President,,DEM,KAMALA D HARRIS,289,2,196,91
Washington,CECIL 2,President,,DEM,KAMALA D HARRIS,256,0,155,101
Washington,CECIL 3,President,,DEM,KAMALA D HARRIS,430,0,273,157
Washington,CECIL 4,President,,DEM,KAMALA D HARRIS,419,4,230,185
Washington,CECIL 5,President,,DEM,KAMALA D HARRIS,546,3,328,215
Washington,CECIL 6,President,,DEM,KAMALA D HARRIS,1036,10,539,487
Washington,CECIL 7,President,,DEM,KAMALA D HARRIS,555,2,279,274
Washington,CECIL 8,President,,DEM,KAMALA D HARRIS,443,3,285,155
Washington,CENTERVILLE 1,President,,DEM,KAMALA D HARRIS,73,0,50,23
Washington,CENTERVILLE 2,President,,DEM,KAMALA D HARRIS,187,1,132,54
Washington,CENTERVILLE 3,President,,DEM,KAMALA D HARRIS,52,0,32,20
Washington,CENTERVILLE 4,President,,DEM,KAMALA D HARRIS,184,0,138,46
Washington,CENTERVILLE 5,President,,DEM,KAMALA D HARRIS,38,0,28,10
Washington,CENTERVILLE 6,President,,DEM,KAMALA D HARRIS,107,1,75,31
Washington,CHARLEROI 2,President,,DEM,KAMALA D HARRIS,167,4,105,58
Washington,CHARLEROI 3,President,,DEM,KAMALA D HARRIS,164,6,93,65
Washington,CHARLEROI 4,President,,DEM,KAMALA D HARRIS,110,3,69,38
Washington,CHARLEROI 6,President,,DEM,KAMALA D HARRIS,123,0,65,58
Washington,CHARTIERS 1,President,,DEM,KAMALA D HARRIS,70,0,45,25
Washington,CHARTIERS 2,President,,DEM,KAMALA D HARRIS,328,1,208,119
Washington,CHARTIERS 3,President,,DEM,KAMALA D HARRIS,613,3,333,277
Washington,CHARTIERS 5,President,,DEM,KAMALA D HARRIS,154,1,94,59
Washington,CHARTIERS 6,President,,DEM,KAMALA D HARRIS,402,1,253,148
Washington,CHARTIERS 7,President,,DEM,KAMALA D HARRIS,520,0,301,219
Washington,CLAYSVILLE,President,,DEM,KAMALA D HARRIS,103,2,85,16
Washington,COAL CENTER,President,,DEM,KAMALA D HARRIS,36,0,31,5
Washington,COKEBURG,President,,DEM,KAMALA D HARRIS,118,1,96,21
Washington,CROSS CREEK 1,President,,DEM,KAMALA D HARRIS,76,0,70,6
Washington,CROSS CREEK 2,President,,DEM,KAMALA D HARRIS,80,0,56,24
Washington,CROSS CREEK 3,President,,DEM,KAMALA D HARRIS,56,1,43,12
Washington,DEEMSTON,President,,DEM,KAMALA D HARRIS,99,0,75,24
Washington,DONEGAL 1,President,,DEM,KAMALA D HARRIS,132,2,90,40
Washington,DONEGAL 2,President,,DEM,KAMALA D HARRIS,139,1,89,49
Washington,DONORA 1,President,,DEM,KAMALA D HARRIS,120,2,80,38
Washington,DONORA 2,President,,DEM,KAMALA D HARRIS,213,2,149,62
Washington,DONORA 4,President,,DEM,KAMALA D HARRIS,230,1,165,64
Washington,DONORA 5,President,,DEM,KAMALA D HARRIS,193,4,139,50
Washington,DONORA 7,President,,DEM,KAMALA D HARRIS,124,0,79,45
Washington,DUNLEVY,President,,DEM,KAMALA D HARRIS,74,0,55,19
Washington,EAST BETHLEHEM 1 W,President,,DEM,KAMALA D HARRIS,103,0,84,19
Washington,EAST BETHLEHEM 2 W,President,,DEM,KAMALA D HARRIS,107,0,85,22
Washington,EAST BETHLEHEM 3 W,President,,DEM,KAMALA D HARRIS,58,1,47,10
Washington,EAST BETHLEHEM 4 W,President,,DEM,KAMALA D HARRIS,98,0,58,40
Washington,EAST FINLEY,President,,DEM,KAMALA D HARRIS,83,1,63,19
Washington,EAST WASHINGTON,President,,DEM,KAMALA D HARRIS,496,2,317,177
Washington,ELCO,President,,DEM,KAMALA D HARRIS,33,0,29,4
Washington,ELLSWORTH,President,,DEM,KAMALA D HARRIS,158,0,113,45
Washington,FALLOWFIELD 1,President,,DEM,KAMALA D HARRIS,335,2,217,116
Washington,FALLOWFIELD 2,President,,DEM,KAMALA D HARRIS,81,0,54,27
Washington,FALLOWFIELD 3,President,,DEM,KAMALA D HARRIS,217,2,147,68
Washington,FALLOWFIELD 4,President,,DEM,KAMALA D HARRIS,183,3,97,83
Washington,FINLEYVILLE,President,,DEM,KAMALA D HARRIS,65,0,45,20
Washington,GREEN HILLS,President,,DEM,KAMALA D HARRIS,0,0,0,0
Washington,HANOVER 1,President,,DEM,KAMALA D HARRIS,210,0,145,65
Washington,HANOVER 2,President,,DEM,KAMALA D HARRIS,185,1,129,55
Washington,HOPEWELL,President,,DEM,KAMALA D HARRIS,138,0,78,60
Washington,HOUSTON,President,,DEM,KAMALA D HARRIS,240,0,165,75
Washington,INDEPENDENCE 1,President,,DEM,KAMALA D HARRIS,88,0,53,35
Washington,INDEPENDENCE 2,President,,DEM,KAMALA D HARRIS,113,3,67,43
Washington,JEFFERSON,President,,DEM,KAMALA D HARRIS,184,0,123,61
Washington,LONG BRANCH,President,,DEM,KAMALA D HARRIS,80,0,51,29
Washington,MARIANNA,President,,DEM,KAMALA D HARRIS,61,0,43,18
Washington,MIDWAY,President,,DEM,KAMALA D HARRIS,175,0,133,42
Washington,MONONGAHELA 1,President,,DEM,KAMALA D HARRIS,166,1,95,70
Washington,MONONGAHELA 2 W 1,President,,DEM,KAMALA D HARRIS,152,0,99,53
Washington,MONONGAHELA 2 W 3,President,,DEM,KAMALA D HARRIS,150,0,106,44
Washington,MONONGAHELA 3 W 1,President,,DEM,KAMALA D HARRIS,100,0,68,32
Washington,MONONGAHELA 3 W 2,President,,DEM,KAMALA D HARRIS,295,0,204,91
Washington,MORRIS,President,,DEM,KAMALA D HARRIS,108,0,72,36
Washington,MT PLEASANT 1,President,,DEM,KAMALA D HARRIS,438,0,252,186
Washington,MT PLEASANT 2,President,,DEM,KAMALA D HARRIS,100,0,67,33
Washington,MT PLEASANT 3,President,,DEM,KAMALA D HARRIS,65,0,47,18
Washington,MT PLEASANT 4,President,,DEM,KAMALA D HARRIS,35,0,23,12
Washington,MCDONALD,President,,DEM,KAMALA D HARRIS,339,3,245,91
Washington,NEW EAGLE 1,President,,DEM,KAMALA D HARRIS,226,1,155,70
Washington,NEW EAGLE 2,President,,DEM,KAMALA D HARRIS,159,1,101,57
Washington,NORTH BETHLEHEM,President,,DEM,KAMALA D HARRIS,313,2,184,127
Washington,NORTH CHARLEROI,President,,DEM,KAMALA D HARRIS,256,2,181,73
Washington,NORTH FRANKLIN 1,President,,DEM,KAMALA D HARRIS,483,1,285,197
Washington,NORTH FRANKLIN 2,President,,DEM,KAMALA D HARRIS,271,0,173,98
Washington,NORTH FRANKLIN 3,President,,DEM,KAMALA D HARRIS,303,1,199,103
Washington,NORTH STRABANE 1,President,,DEM,KAMALA D HARRIS,409,1,170,238
Washington,NORTH STRABANE 2,President,,DEM,KAMALA D HARRIS,661,3,317,341
