county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Erie,ERIE WARD 01 DISTRICT 01,Registered Voters,,,,795,,,,
Erie,ERIE WARD 01 DISTRICT 01,Ballots Cast,,,,413,,,,
Erie,ERIE WARD 01 DISTRICT 01,President,,DEM,KAMALA D HARRIS,306,,,,
Erie,ERIE WARD 01 DISTRICT 01,President,,REP,DONALD J TRUMP,101,,,,
Erie,ERIE WARD 01 DISTRICT 01,President,,LIB,CHASE OLIVER,2,,,,
Erie,ERIE WARD 01 DISTRICT 01,President,,GRN,JILL STEIN,1,,,,
Erie,ERIE WARD 01 DISTRICT 01,President,,,Write-Ins,0,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,DEM,ROBERT P CASEY JR,285,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,REP,DAVE MCCORMICK,105,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,LIB,JOHN C THOMAS,5,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,GRN,LEILA HAZOU,10,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,CST,MARTY SELKER,1,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. Senate,,,Write-Ins,0,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,DEM,EUGENE DEPASQUALE,274,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,REP,DAVE SUNDAY,105,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,LIB,ROBERT COWBURN,11,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,GRN,RICHARD L WEISS,3,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,CST,JUSTIN L MAGILL,3,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,FWD,ERIC L SETTLE,2,,,,
Erie,ERIE WARD 01 DISTRICT 01,Attorney General,,,Write-Ins,1,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. House,16,DEM,PRESTON NOURI,280,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. House,16,REP,MIKE KELLY,118,,,,
Erie,ERIE WARD 01 DISTRICT 01,U.S. House,16,,Write-Ins,1,,,,
Erie,ERIE WARD 01 DISTRICT 01,State Senate,49,DEM,JIM WERTZ,278,,,,
Erie,ERIE WARD 01 DISTRICT 01,State Senate,49,REP,DAN LAUGHLIN,125,,,,
Erie,ERIE WARD 01 DISTRICT 01,State Senate,49,,Write-Ins,1,,,,
Erie,ERIE WARD 01 DISTRICT 01,State House,1,DEM,PATRICK J HARKINS,327,,,,
Erie,ERIE WARD 01 DISTRICT 01,State House,1,,Write-Ins,7,,,,
Erie,ERIE WARD 01 DISTRICT 03,Registered Voters,,,,1372,,,,
Erie,ERIE WARD 01 DISTRICT 03,Ballots Cast,,,,637,,,,
Erie,ERIE WARD 01 DISTRICT 03,President,,DEM,KAMALA D HARRIS,415,,,,
