county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Pike,BLOOMING GROVE TWP,President,,DEM,Joseph R. Biden Jr.,384,,,
Pike,BLOOMING GROVE TWP,President,,DEM,Dean Phillips,8,,,
Pike,BLOOMING GROVE TWP,President,,DEM,Write-In Totals,12,,,
Pike,DELAWARE TWP #1,President,,DEM,Joseph R. Biden Jr.,169,,,
Pike,DELAWARE TWP #1,President,,DEM,Dean Phillips,10,,,
Pike,DELAWARE TWP #1,President,,DEM,Write-In Totals,11,,,
Pike,DELAWARE TWP #2,President,,DEM,Joseph R. Biden Jr.,146,,,
Pike,DELAWARE TWP #2,President,,DEM,Dean Phillips,5,,,
Pike,DELAWARE TWP #2,President,,DEM,Write-In Totals,6,,,
Pike,DINGMAN TWP #1,President,,DEM,Joseph R. Biden Jr.,372,,,
Pike,DINGMAN TWP #1,President,,DEM,Dean Phillips,16,,,
Pike,DINGMAN TWP #1,President,,DEM,Write-In Totals,12,,,
Pike,DINGMAN TWP #2,President,,DEM,Joseph R. Biden Jr.,295,,,
Pike,DINGMAN TWP #2,President,,DEM,Dean Phillips,17,,,
Pike,DINGMAN TWP #2,President,,DEM,Write-In Totals,9,,,
Pike,GREENE TWP,President,,DEM,Joseph R. Biden Jr.,174,,,
Pike,GREENE TWP,President,,DEM,Dean Phillips,10,,,
Pike,GREENE TWP,President,,DEM,Write-In Totals,5,,,
Pike,LACKAWAXEN TWP #1,President,,DEM,Joseph R. Biden Jr.,135,,,
Pike,LACKAWAXEN TWP #1,President,,DEM,Dean Phillips,5,,,
Pike,LACKAWAXEN TWP #1,President,,DEM,Write-In Totals,6,,,
Pike,LACKAWAXEN TWP #2,President,,DEM,Joseph R. Biden Jr.,120,,,
Pike,LACKAWAXEN TWP #2,President,,DEM,Dean Phillips,8,,,
Pike,LACKAWAXEN TWP #2,President,,DEM,Write-In Totals,4,,,
Pike,LEHMAN TWP #1,President,,DEM,Joseph R. Biden Jr.,218,,,
Pike,LEHMAN TWP #1,President,,DEM,Dean Phillips,18,,,
Pike,LEHMAN TWP #1,President,,DEM,Write-In Totals,6,,,
Pike,LEHMAN TWP #2,President,,DEM,Joseph R. Biden Jr.,274,,,
Pike,LEHMAN TWP #2,President,,DEM,Dean Phillips,10,,,
Pike,LEHMAN TWP #2,President,,DEM,Write-In Totals,8,,,
Pike,MATAMORAS BORO,President,,DEM,Joseph R. Biden Jr.,118,,,
Pike,MATAMORAS BORO,President,,DEM,Dean Phillips,8,,,
Pike,MATAMORAS BORO,President,,DEM,Write-In Totals,9,,,
Pike,MILFORD BORO,President,,DEM,Joseph R. Biden Jr.,121,,,
Pike,MILFORD BORO,President,,DEM,Dean Phillips,2,,,
Pike,MILFORD BORO,President,,DEM,Write-In Totals,6,,,
Pike,MILFORD TWP,President,,DEM,Joseph R. Biden Jr.,92,,,
Pike,MILFORD TWP,President,,DEM,Dean Phillips,6,,,
Pike,MILFORD TWP,President,,DEM,Write-In Totals,5,,,
Pike,PALMYRA TWP,President,,DEM,Joseph R. Biden Jr.,247,,,
Pike,PALMYRA TWP,President,,DEM,Dean Phillips,11,,,
Pike,PALMYRA TWP,President,,DEM,Write-In Totals,11,,,
Pike,PORTER TWP,President,,DEM,Joseph R. Biden Jr.,19,,,
Pike,PORTER TWP,President,,DEM,Dean Phillips,2,,,
Pike,PORTER TWP,President,,DEM,Write-In Totals,0,,,
Pike,SHOHOLA TWP,President,,DEM,Joseph R. Biden Jr.,165,,,
Pike,SHOHOLA TWP,President,,DEM,Dean Phillips,12,,,
Pike,SHOHOLA TWP,President,,DEM,Write-In Totals,7,,,
Pike,WESTFALL TWP,President,,DEM,Joseph R. Biden Jr.,207,,,
Pike,WESTFALL TWP,President,,DEM,Dean Phillips,9,,,
Pike,WESTFALL TWP,President,,DEM,Write-In Totals,4,,,
Pike,BLOOMING GROVE TWP,U.S. Senate,,DEM,Robert P. Casey Jr.,382,,,
Pike,BLOOMING GROVE TWP,U.S. Senate,,DEM,Write-In Totals,6,,,
Pike,DELAWARE TWP #1,U.S. Senate,,DEM,Robert P. Casey Jr.,176,,,
