county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Cumberland,CAMP HILL 1,Registered Voters,,,,1074,,,
Cumberland,CAMP HILL 1,Ballots Cast,,,,916,654,255,7
Cumberland,CAMP HILL 1,President,,DEM,KAMALA D HARRIS,555,377,173,5
Cumberland,CAMP HILL 1,President,,REP,DONALD J TRUMP,344,268,74,2
Cumberland,CAMP HILL 1,President,,LIB,CHASE OLIVER,6,6,0,0
Cumberland,CAMP HILL 1,President,,GRN,JILL STEIN,3,0,3,0
Cumberland,CAMP HILL 1,President,,,Write-ins,6,3,3,0
Cumberland,CAMP HILL 1,U.S. Senate,,DEM,ROBERT P CASEY JR,550,370,176,4
Cumberland,CAMP HILL 1,U.S. Senate,,REP,DAVE MCCORMICK,330,257,71,2
Cumberland,CAMP HILL 1,U.S. Senate,,LIB,JOHN C THOMAS,10,10,0,0
Cumberland,CAMP HILL 1,U.S. Senate,,GRN,LEILA HAZOU,10,6,4,0
Cumberland,CAMP HILL 1,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Cumberland,CAMP HILL 1,U.S. Senate,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,Attorney General,,DEM,EUGENE DEPASQUALE,504,343,159,2
Cumberland,CAMP HILL 1,Attorney General,,REP,DAVE SUNDAY,359,276,80,3
Cumberland,CAMP HILL 1,Attorney General,,LIB,ROBERT COWBURN,13,12,1,0
Cumberland,CAMP HILL 1,Attorney General,,GRN,RICHARD L WEISS,8,5,3,0
Cumberland,CAMP HILL 1,Attorney General,,CST,JUSTIN L MAGILL,4,3,1,0
Cumberland,CAMP HILL 1,Attorney General,,FWD,ERIC L SETTLE,4,2,2,0
Cumberland,CAMP HILL 1,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,Auditor General,,DEM,MALCOLM KENYATTA,494,329,162,3
Cumberland,CAMP HILL 1,Auditor General,,REP,TIM DEFOOR,370,288,80,2
Cumberland,CAMP HILL 1,Auditor General,,LIB,REECE SMITH,17,17,0,0
Cumberland,CAMP HILL 1,Auditor General,,ASP,ERIC K ANTON,1,1,0,0
Cumberland,CAMP HILL 1,Auditor General,,CST,BOB GOODRICH,6,4,2,0
Cumberland,CAMP HILL 1,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,State Treasurer,,DEM,ERIN MCCLELLAND,472,312,157,3
Cumberland,CAMP HILL 1,State Treasurer,,REP,STACY GARRITY,394,308,84,2
Cumberland,CAMP HILL 1,State Treasurer,,LIB,NICKOLAS CIESIELSKI,17,16,1,0
Cumberland,CAMP HILL 1,State Treasurer,,CST,TROY BOWMAN,2,2,0,0
Cumberland,CAMP HILL 1,State Treasurer,,FWD,CHRIS FOSTER,1,0,1,0
Cumberland,CAMP HILL 1,State Treasurer,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,U.S. House,10,DEM,JANELLE STELSON,565,385,176,4
Cumberland,CAMP HILL 1,U.S. House,10,REP,SCOTT PERRY,332,258,72,2
Cumberland,CAMP HILL 1,U.S. House,10,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,General Assembly,103,DEM,NATE DAVIDSON,524,359,162,3
Cumberland,CAMP HILL 1,General Assembly,103,REP,CINDI WARD,360,281,77,2
Cumberland,CAMP HILL 1,General Assembly,103,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 2,Registered Voters,,,,1375,,,
Cumberland,CAMP HILL 2,Ballots Cast,,,,1178,792,381,5
Cumberland,CAMP HILL 2,President,,DEM,KAMALA D HARRIS,677,416,258,3
Cumberland,CAMP HILL 2,President,,REP,DONALD J TRUMP,474,358,114,2
Cumberland,CAMP HILL 2,President,,LIB,CHASE OLIVER,5,4,1,0
Cumberland,CAMP HILL 2,President,,GRN,JILL STEIN,9,5,4,0
Cumberland,CAMP HILL 2,President,,,Write-ins,9,7,2,0
Cumberland,CAMP HILL 2,U.S. Senate,,DEM,ROBERT P CASEY JR,653,398,252,3
Cumberland,CAMP HILL 2,U.S. Senate,,REP,DAVE MCCORMICK,484,364,119,1
Cumberland,CAMP HILL 2,U.S. Senate,,LIB,JOHN C THOMAS,16,13,3,0
Cumberland,CAMP HILL 2,U.S. Senate,,GRN,LEILA HAZOU,11,8,3,0
Cumberland,CAMP HILL 2,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Cumberland,CAMP HILL 2,U.S. Senate,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 2,Attorney General,,DEM,EUGENE DEPASQUALE,618,381,234,3
Cumberland,CAMP HILL 2,Attorney General,,REP,DAVE SUNDAY,511,381,129,1
Cumberland,CAMP HILL 2,Attorney General,,LIB,ROBERT COWBURN,13,11,2,0
Cumberland,CAMP HILL 2,Attorney General,,GRN,RICHARD L WEISS,4,2,2,0
Cumberland,CAMP HILL 2,Attorney General,,CST,JUSTIN L MAGILL,4,1,3,0
Cumberland,CAMP HILL 2,Attorney General,,FWD,ERIC L SETTLE,6,6,0,0
Cumberland,CAMP HILL 2,Attorney General,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 2,Auditor General,,DEM,MALCOLM KENYATTA,572,346,223,3
Cumberland,CAMP HILL 2,Auditor General,,REP,TIM DEFOOR,552,415,136,1
Cumberland,CAMP HILL 2,Auditor General,,LIB,REECE SMITH,17,12,5,0
Cumberland,CAMP HILL 2,Auditor General,,ASP,ERIC K ANTON,1,1,0,0
Cumberland,CAMP HILL 2,Auditor General,,CST,BOB GOODRICH,5,2,3,0
Cumberland,CAMP HILL 2,Auditor General,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 2,State Treasurer,,DEM,ERIN MCCLELLAND,579,346,230,3
Cumberland,CAMP HILL 2,State Treasurer,,REP,STACY GARRITY,542,410,131,1
Cumberland,CAMP HILL 2,State Treasurer,,LIB,NICKOLAS CIESIELSKI,16,14,2,0
Cumberland,CAMP HILL 2,State Treasurer,,CST,TROY BOWMAN,0,0,0,0
Cumberland,CAMP HILL 2,State Treasurer,,FWD,CHRIS FOSTER,6,5,1,0
