county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Forest,Barnett,President,,DEM,KAMALA D. HARRIS,50,,,,
Forest,Barnett,President,,REP,DONALD J. TRUMP,183,,,,
Forest,Barnett,President,,LIB,CHASE OLIVER,0,,,,
Forest,Barnett,President,,GRN,JILL STEIN,2,,,,
Forest,Barnett,President,,,DOUGLAS BELL,0,,,,
Forest,Barnett,President,,,Write-Ins,1,,,,
Forest,Barnett,U.S. Senate,,DEM,"ROBERT P. CASEY, JR.",56,,,,
Forest,Barnett,U.S. Senate,,REP,DAVE MCCORMICK,171,,,,
Forest,Barnett,U.S. Senate,,LIB,JOHN C. THOMAS,3,,,,
Forest,Barnett,U.S. Senate,,GRN,LEILA HAZOU,3,,,,
Forest,Barnett,U.S. Senate,,CST,MARTY SELKER,3,,,,
Forest,Barnett,U.S. Senate,,,Write-Ins,0,,,,
Forest,Barnett,Attorney General,,DEM,EUGENE DEPASQUALE,48,,,,
Forest,Barnett,Attorney General,,REP,DAVE SUNDAY,179,,,,
Forest,Barnett,Attorney General,,LIB,ROBERT COWBURN,2,,,,
Forest,Barnett,Attorney General,,GRN,RICHARD L WEISS,2,,,,
Forest,Barnett,Attorney General,,CST,JUSTIN L. MAGILL,2,,,,
Forest,Barnett,Attorney General,,FWD,ERIC L. SETTLE,2,,,,
Forest,Barnett,Attorney General,,,Write-Ins,0,,,,
Forest,Barnett,U.S. House,15,DEM,ZACH WOMER,50,,,,
Forest,Barnett,U.S. House,15,REP,GLENN GT THOMPSON,183,,,,
Forest,Barnett,U.S. House,15,,Write-Ins,2,,,,
Forest,Barnett,State Senate,21,REP,SCOTT E. HUTCHINSON,211,,,,
Forest,Barnett,State Senate,21,,Write-Ins,9,,,,
Forest,Barnett,State House,65,DEM,ERIN WILLMAN,48,,,,
Forest,Barnett,State House,65,REP,KATHY L. RAPP,186,,,,
Forest,Barnett,State House,65,,Write-Ins,0,,,,
Forest,Green,President,,DEM,KAMALA D. HARRIS,67,,,,
Forest,Green,President,,REP,DONALD J. TRUMP,173,,,,
Forest,Green,President,,LIB,CHASE OLIVER,1,,,,
Forest,Green,President,,GRN,JILL STEIN,1,,,,
Forest,Green,President,,,DOUGLAS BELL,0,,,,
Forest,Green,President,,,Write-Ins,0,,,,
Forest,Green,U.S. Senate,,DEM,"ROBERT P. CASEY, JR.",66,,,,
Forest,Green,U.S. Senate,,REP,DAVE MCCORMICK,164,,,,
Forest,Green,U.S. Senate,,LIB,JOHN C. THOMAS,2,,,,
Forest,Green,U.S. Senate,,GRN,LEILA HAZOU,5,,,,
Forest,Green,U.S. Senate,,CST,MARTY SELKER,2,,,,
Forest,Green,U.S. Senate,,,Write-Ins,1,,,,
Forest,Green,Attorney General,,DEM,EUGENE DEPASQUALE,66,,,,
Forest,Green,Attorney General,,REP,DAVE SUNDAY,169,,,,
Forest,Green,Attorney General,,LIB,ROBERT COWBURN,2,,,,
Forest,Green,Attorney General,,GRN,RICHARD L WEISS,2,,,,
Forest,Green,Attorney General,,CST,JUSTIN L. MAGILL,1,,,,
Forest,Green,Attorney General,,FWD,ERIC L. SETTLE,0,,,,
Forest,Green,Attorney General,,,Write-Ins,0,,,,
Forest,Green,U.S. House,15,DEM,ZACH WOMER,58,,,,
Forest,Green,U.S. House,15,REP,GLENN GT THOMPSON,181,,,,
Forest,Green,U.S. House,15,,Write-Ins,1,,,,
Forest,Green,State Senate,21,REP,SCOTT E. HUTCHINSON,209,,,,
Forest,Green,State Senate,21,,Write-Ins,5,,,,
Forest,Green,State House,65,DEM,ERIN WILLMAN,48,,,,
Forest,Green,State House,65,REP,KATHY L. RAPP,187,,,,
Forest,Green,State House,65,,Write-Ins,1,,,,
Forest,Harmony,President,,DEM,KAMALA D. HARRIS,78,,,,
Forest,Harmony,President,,REP,DONALD J. TRUMP,202,,,,
Forest,Harmony,President,,LIB,CHASE OLIVER,1,,,,
Forest,Harmony,President,,GRN,JILL STEIN,0,,,,
Forest,Harmony,President,,,DOUGLAS BELL,2,,,,
Forest,Harmony,President,,,Write-Ins,3,,,,
