county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Armstrong,Apollo Boro,STATE TREASURER,,STACY GARRITY,REP,354,45,8,407
Armstrong,Apollo Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,154,46,2,202
Armstrong,Apollo Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,14,0,0,14
Armstrong,Apollo Boro,STATE TREASURER,,TROY BOWMAN,CST,8,3,0,11
Armstrong,Apollo Boro,STATE TREASURER,,CHRIS FOSTER,FWD,2,1,0,3
Armstrong,Apollo Boro,STATE TREASURER,,Write-ins,,1,0,1,2
Armstrong,Apollo Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,U.S. House,15,GLENN GT THOMPSON,REP,365,45,9,419
Armstrong,Apollo Boro,U.S. House,15,ZACH WOMER,DEM,151,53,2,206
Armstrong,Apollo Boro,U.S. House,15,Write-ins,,2,0,1,3
Armstrong,Apollo Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,State Senate,41,JOE PITTMAN,REP,441,67,10,518
Armstrong,Apollo Boro,State Senate,41,Write-ins,,13,7,1,21
Armstrong,Apollo Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,State House,60,ABBY MAJOR,REP,459,66,11,536
Armstrong,Apollo Boro,State House,60,Write-ins,,13,7,0,20
Armstrong,Apollo Boro,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,Registered Voters,,,,,,,198
Armstrong,Applewold Boro,Ballots Cast,,,,139,34,1,174
Armstrong,Applewold Boro,PRESIDENT,,DONALD J TRUMP,REP,95,21,1,117
Armstrong,Applewold Boro,PRESIDENT,,KAMALA D HARRIS,DEM,40,13,0,53
Armstrong,Applewold Boro,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Applewold Boro,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Applewold Boro,PRESIDENT,,Write-ins,,1,0,0,1
Armstrong,Applewold Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Applewold Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,U.S. SENATE,,DAVE MCCORMICK,REP,87,19,1,107
Armstrong,Applewold Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,40,14,0,54
Armstrong,Applewold Boro,U.S. SENATE,,JOHN C THOMAS,LIB,9,1,0,10
Armstrong,Applewold Boro,U.S. SENATE,,LEILA HAZOU,GRN,1,0,0,1
Armstrong,Applewold Boro,U.S. SENATE,,MARTY SELKER,CST,1,0,0,1
Armstrong,Applewold Boro,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Applewold Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,90,17,1,108
Armstrong,Applewold Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,40,13,0,53
Armstrong,Applewold Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,3,0,0,3
Armstrong,Applewold Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,0,0,2
Armstrong,Applewold Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,1,1,0,2
Armstrong,Applewold Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Applewold Boro,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Applewold Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,89,17,1,107
Armstrong,Applewold Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,39,12,0,51
Armstrong,Applewold Boro,AUDITOR GENERAL,,REECE SMITH,LIB,5,0,0,5
Armstrong,Applewold Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,0,0,2
Armstrong,Applewold Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,1,1,0,2
Armstrong,Applewold Boro,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Applewold Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,STATE TREASURER,,STACY GARRITY,REP,86,18,1,105
Armstrong,Applewold Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,37,12,0,49
Armstrong,Applewold Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,11,0,0,11
Armstrong,Applewold Boro,STATE TREASURER,,CHRIS FOSTER,FWD,1,0,0,1
Armstrong,Applewold Boro,STATE TREASURER,,TROY BOWMAN,CST,0,0,0,0
Armstrong,Applewold Boro,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Applewold Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,U.S. House,15,GLENN GT THOMPSON,REP,93,18,1,112
Armstrong,Applewold Boro,U.S. House,15,ZACH WOMER,DEM,41,13,0,54
Armstrong,Applewold Boro,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Applewold Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,State Senate,41,JOE PITTMAN,REP,118,28,1,147
Armstrong,Applewold Boro,State Senate,41,Write-ins,,1,1,0,2
Armstrong,Applewold Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Applewold Boro,State House,60,ABBY MAJOR,REP,118,29,1,148
Armstrong,Applewold Boro,State House,60,Write-ins,,3,1,0,4
Armstrong,Applewold Boro,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,Registered Voters,,,,,,,68
Armstrong,Atwood Boro,Ballots Cast,,,,53,7,0,60
Armstrong,Atwood Boro,PRESIDENT,,DONALD J TRUMP,REP,46,1,0,47
Armstrong,Atwood Boro,PRESIDENT,,KAMALA D HARRIS,DEM,7,6,0,13
Armstrong,Atwood Boro,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Atwood Boro,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Atwood Boro,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Atwood Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,U.S. SENATE,,DAVE MCCORMICK,REP,46,1,0,47
Armstrong,Atwood Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,7,6,0,13
Armstrong,Atwood Boro,U.S. SENATE,,JOHN C THOMAS,LIB,0,0,0,0
Armstrong,Atwood Boro,U.S. SENATE,,LEILA HAZOU,GRN,0,0,0,0
Armstrong,Atwood Boro,U.S. SENATE,,MARTY SELKER,CST,0,0,0,0
Armstrong,Atwood Boro,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,42,1,0,43
Armstrong,Atwood Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,7,6,0,13
Armstrong,Atwood Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,1,0,0,1
Armstrong,Atwood Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Atwood Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,0,0,0,0
Armstrong,Atwood Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Atwood Boro,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,47,1,0,48
Armstrong,Atwood Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,5,5,0,10
Armstrong,Atwood Boro,AUDITOR GENERAL,,REECE SMITH,LIB,0,0,0,0
Armstrong,Atwood Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Armstrong,Atwood Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,0,0,0,0
Armstrong,Atwood Boro,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,STATE TREASURER,,STACY GARRITY,REP,47,1,0,48
Armstrong,Atwood Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,5,5,0,10
Armstrong,Atwood Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,0,0,0,0
Armstrong,Atwood Boro,STATE TREASURER,,TROY BOWMAN,CST,0,0,0,0
Armstrong,Atwood Boro,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Armstrong,Atwood Boro,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,U.S. House,15,GLENN GT THOMPSON,REP,46,1,0,47
Armstrong,Atwood Boro,U.S. House,15,ZACH WOMER,DEM,5,5,0,10
Armstrong,Atwood Boro,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,State Senate,41,JOE PITTMAN,REP,48,4,0,52
Armstrong,Atwood Boro,State Senate,41,Write-ins,,3,0,0,3
Armstrong,Atwood Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Atwood Boro,State House,63,JOSH BASHLINE,REP,47,1,0,48
Armstrong,Atwood Boro,State House,63,PAT RITCHIE,DEM,5,5,0,10
Armstrong,Atwood Boro,State House,63,Write-ins,,0,0,0,0
Armstrong,Atwood Boro,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,Registered Voters,,,,,,,822
Armstrong,Bethel Twp,Ballots Cast,,,,585,123,12,720
Armstrong,Bethel Twp,PRESIDENT,,DONALD J TRUMP,REP,462,67,9,538
Armstrong,Bethel Twp,PRESIDENT,,KAMALA D HARRIS,DEM,118,56,2,176
Armstrong,Bethel Twp,PRESIDENT,,CHASE OLIVER,LIB,3,0,0,3
Armstrong,Bethel Twp,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Bethel Twp,PRESIDENT,,SHIVA AYYADURAI,,1,0,0,1
Armstrong,Bethel Twp,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,U.S. SENATE,,DAVE MCCORMICK,REP,440,60,10,510
Armstrong,Bethel Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,131,57,2,190
Armstrong,Bethel Twp,U.S. SENATE,,JOHN C THOMAS,LIB,7,3,0,10
Armstrong,Bethel Twp,U.S. SENATE,,LEILA HAZOU,GRN,4,1,0,5
Armstrong,Bethel Twp,U.S. SENATE,,MARTY SELKER,CST,2,0,0,2
Armstrong,Bethel Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,449,62,10,521
Armstrong,Bethel Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,119,56,1,176
Armstrong,Bethel Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,3,1,1,5
Armstrong,Bethel Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,1,0,4
Armstrong,Bethel Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,3,0,0,3
Armstrong,Bethel Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Bethel Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,451,64,10,525
Armstrong,Bethel Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,114,52,2,168
Armstrong,Bethel Twp,AUDITOR GENERAL,,REECE SMITH,LIB,5,1,0,6
Armstrong,Bethel Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,4,1,0,5
Armstrong,Bethel Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Bethel Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,STATE TREASURER,,STACY GARRITY,REP,453,63,11,527
Armstrong,Bethel Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,113,53,1,167
Armstrong,Bethel Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,3,2,0,5
Armstrong,Bethel Twp,STATE TREASURER,,TROY BOWMAN,CST,5,0,0,5
Armstrong,Bethel Twp,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Armstrong,Bethel Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,U.S. House,15,GLENN GT THOMPSON,REP,454,63,11,528
Armstrong,Bethel Twp,U.S. House,15,ZACH WOMER,DEM,116,54,1,171
Armstrong,Bethel Twp,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Bethel Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,State Senate,41,JOE PITTMAN,REP,525,85,11,621
Armstrong,Bethel Twp,State Senate,41,Write-ins,,6,6,0,12
Armstrong,Bethel Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Bethel Twp,State House,60,ABBY MAJOR,REP,537,92,12,641
Armstrong,Bethel Twp,State House,60,Write-ins,,8,6,0,14
Armstrong,Bethel Twp,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,Registered Voters,,,,,,,643
Armstrong,Boggs Twp,Ballots Cast,,,,462,86,2,550
Armstrong,Boggs Twp,PRESIDENT,,DONALD J TRUMP,REP,415,66,1,482
Armstrong,Boggs Twp,PRESIDENT,,KAMALA D HARRIS,DEM,46,20,1,67
Armstrong,Boggs Twp,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,Boggs Twp,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Boggs Twp,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Boggs Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,U.S. SENATE,,DAVE MCCORMICK,REP,396,65,1,462
Armstrong,Boggs Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,50,17,1,68
Armstrong,Boggs Twp,U.S. SENATE,,JOHN C THOMAS,LIB,8,2,0,10
Armstrong,Boggs Twp,U.S. SENATE,,MARTY SELKER,CST,6,0,0,6
Armstrong,Boggs Twp,U.S. SENATE,,LEILA HAZOU,GRN,1,0,0,1
Armstrong,Boggs Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,390,66,1,457
Armstrong,Boggs Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,42,18,1,61
Armstrong,Boggs Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,8,1,0,9
Armstrong,Boggs Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,0,0,3
Armstrong,Boggs Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Boggs Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Boggs Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,388,65,1,454
Armstrong,Boggs Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,46,17,1,64
Armstrong,Boggs Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,6,1,0,7
Armstrong,Boggs Twp,AUDITOR GENERAL,,REECE SMITH,LIB,2,2,0,4
Armstrong,Boggs Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,0,0,2
Armstrong,Boggs Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,STATE TREASURER,,STACY GARRITY,REP,394,66,1,461
Armstrong,Boggs Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,44,17,1,62
Armstrong,Boggs Twp,STATE TREASURER,,TROY BOWMAN,CST,5,0,0,5
Armstrong,Boggs Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,1,0,3
Armstrong,Boggs Twp,STATE TREASURER,,CHRIS FOSTER,FWD,1,0,0,1
Armstrong,Boggs Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,U.S. House,15,GLENN GT THOMPSON,REP,400,65,1,466
Armstrong,Boggs Twp,U.S. House,15,ZACH WOMER,DEM,41,20,1,62
Armstrong,Boggs Twp,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,State Senate,41,JOE PITTMAN,REP,416,79,2,497
Armstrong,Boggs Twp,State Senate,41,Write-ins,,3,0,0,3
Armstrong,Boggs Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Boggs Twp,State House,63,JOSH BASHLINE,REP,397,66,1,464
Armstrong,Boggs Twp,State House,63,PAT RITCHIE,DEM,47,19,1,67
Armstrong,Boggs Twp,State House,63,Write-ins,,0,0,0,0
Armstrong,Boggs Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,Registered Voters,,,,,,,535
Armstrong,Bradys Bend Twp,Ballots Cast,,,,399,66,0,465
Armstrong,Bradys Bend Twp,PRESIDENT,,DONALD J TRUMP,REP,320,36,0,356
Armstrong,Bradys Bend Twp,PRESIDENT,,KAMALA D HARRIS,DEM,76,30,0,106
Armstrong,Bradys Bend Twp,PRESIDENT,,CHASE OLIVER,LIB,1,0,0,1
Armstrong,Bradys Bend Twp,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Bradys Bend Twp,PRESIDENT,,Write-ins,,2,0,0,2
Armstrong,Bradys Bend Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Bradys Bend Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,U.S. SENATE,,DAVE MCCORMICK,REP,301,32,0,333
Armstrong,Bradys Bend Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,84,33,0,117
Armstrong,Bradys Bend Twp,U.S. SENATE,,JOHN C THOMAS,LIB,6,0,0,6
Armstrong,Bradys Bend Twp,U.S. SENATE,,MARTY SELKER,CST,2,1,0,3
Armstrong,Bradys Bend Twp,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Bradys Bend Twp,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Bradys Bend Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,293,34,0,327
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,76,31,0,107
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,5,0,0,5
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,5,0,0,5
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,0,0,3
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,1,0,2
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,Write-ins,,3,0,0,3
Armstrong,Bradys Bend Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,289,34,0,323
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,73,29,0,102
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,REECE SMITH,LIB,10,0,0,10
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,6,0,0,6
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,1,0,2
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,Write-ins,,5,0,0,5
Armstrong,Bradys Bend Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,STATE TREASURER,,STACY GARRITY,REP,292,34,0,326
Armstrong,Bradys Bend Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,78,30,0,108
Armstrong,Bradys Bend Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,8,0,0,8
Armstrong,Bradys Bend Twp,STATE TREASURER,,TROY BOWMAN,CST,3,0,0,3
Armstrong,Bradys Bend Twp,STATE TREASURER,,CHRIS FOSTER,FWD,2,0,0,2
Armstrong,Bradys Bend Twp,STATE TREASURER,,Write-ins,,3,0,0,3
Armstrong,Bradys Bend Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,U.S. House,15,GLENN GT THOMPSON,REP,303,34,0,337
Armstrong,Bradys Bend Twp,U.S. House,15,ZACH WOMER,DEM,75,29,0,104
Armstrong,Bradys Bend Twp,U.S. House,15,Write-ins,,3,0,0,3
Armstrong,Bradys Bend Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,State Senate,41,JOE PITTMAN,REP,336,40,0,376
Armstrong,Bradys Bend Twp,State Senate,41,Write-ins,,7,4,0,11
Armstrong,Bradys Bend Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Bradys Bend Twp,State House,63,JOSH BASHLINE,REP,300,33,0,333
Armstrong,Bradys Bend Twp,State House,63,PAT RITCHIE,DEM,79,30,0,109
Armstrong,Bradys Bend Twp,State House,63,Write-ins,,3,1,0,4
Armstrong,Bradys Bend Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Burrell Twp,Registered Voters,,,,,,,456
Armstrong,Burrell Twp,Ballots Cast,,,,351,63,1,415
Armstrong,Burrell Twp,PRESIDENT,,DONALD J TRUMP,REP,300,48,1,349
Armstrong,Burrell Twp,PRESIDENT,,KAMALA D HARRIS,DEM,43,15,0,58
Armstrong,Burrell Twp,PRESIDENT,,CHASE OLIVER,LIB,6,0,0,6
Armstrong,Burrell Twp,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Burrell Twp,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Burrell Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Burrell Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Burrell Twp,U.S. SENATE,,DAVE MCCORMICK,REP,278,44,1,323
Armstrong,Burrell Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,59,17,0,76
Armstrong,Burrell Twp,U.S. SENATE,,JOHN C THOMAS,LIB,7,1,0,8
Armstrong,Burrell Twp,U.S. SENATE,,MARTY SELKER,CST,2,0,0,2
Armstrong,Burrell Twp,U.S. SENATE,,LEILA HAZOU,GRN,1,0,0,1
Armstrong,Burrell Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Burrell Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Burrell Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,278,46,1,325
Armstrong,Burrell Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,50,13,0,63
Armstrong,Burrell Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,8,1,0,9
Armstrong,Burrell Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,1,0,3
