county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Armstrong,Apollo Boro,Registered Voters,,,,,,,883
Armstrong,Apollo Boro,Ballots Cast,,,,551,98,12,661
Armstrong,Apollo Boro,PRESIDENT,,DONALD J TRUMP,REP,379,46,10,435
Armstrong,Apollo Boro,PRESIDENT,,KAMALA D HARRIS,DEM,158,49,2,209
Armstrong,Apollo Boro,PRESIDENT,,CHASE OLIVER,LIB,6,1,0,7
Armstrong,Apollo Boro,PRESIDENT,,JILL STEIN,GRN,2,1,0,3
Armstrong,Apollo Boro,PRESIDENT,,Write-ins,,5,1,0,6
Armstrong,Apollo Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Apollo Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,U.S. SENATE,,DAVE MCCORMICK,REP,358,44,10,412
Armstrong,Apollo Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,169,49,2,220
Armstrong,Apollo Boro,U.S. SENATE,,JOHN C THOMAS,LIB,14,1,0,15
Armstrong,Apollo Boro,U.S. SENATE,,MARTY SELKER,CST,4,2,0,6
Armstrong,Apollo Boro,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Apollo Boro,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Apollo Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,353,41,8,402
Armstrong,Apollo Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,152,51,2,205
Armstrong,Apollo Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,17,1,0,18
Armstrong,Apollo Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,7,0,0,7
Armstrong,Apollo Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,4,2,0,6
Armstrong,Apollo Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,0,0,2
Armstrong,Apollo Boro,ATTORNEY GENERAL,,Write-ins,,1,1,1,3
Armstrong,Apollo Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Apollo Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,351,43,9,403
Armstrong,Apollo Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,147,49,2,198
Armstrong,Apollo Boro,AUDITOR GENERAL,,REECE SMITH,LIB,19,1,0,20
Armstrong,Apollo Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,10,1,0,11
Armstrong,Apollo Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,4,2,0,6
Armstrong,Apollo Boro,AUDITOR GENERAL,,Write-ins,,0,0,1,1
Armstrong,Apollo Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
