county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
McKean,Annin Township,Registered Voters,,,,435,,,
McKean,Annin Township,Ballots Cast,,,,366,304,61,1
McKean,Annin Township,Ballots Cast,,,,0,0,0,0
McKean,Annin Township,President,,DEM,KAMALA D HARRIS,61,43,18,0
McKean,Annin Township,President,,REP,DONALD J TRUMP,300,257,42,1
McKean,Annin Township,President,,LIB,CHASE OLIVER,3,2,1,0
McKean,Annin Township,President,,GRN,JILL STEIN,0,0,0,0
McKean,Annin Township,President,,,Write-ins,2,2,0,0
McKean,Annin Township,President,,,Write-In: Nikki Haley,0,0,0,0
McKean,Annin Township,President,,,Write-In: Robert F. Kennedy Jr,0,0,0,0
McKean,Annin Township,President,,,Write-In: Scattered,2,2,0,0
McKean,Annin Township,President,,,Not Assigned,0,0,0,0
McKean,Annin Township,U.S. Senate,,DEM,ROBERT P CASEY JR,62,44,18,0
McKean,Annin Township,U.S. Senate,,REP,DAVE MCCORMICK,298,256,41,1
McKean,Annin Township,U.S. Senate,,LIB,JOHN C THOMAS,0,0,0,0
McKean,Annin Township,U.S. Senate,,GRN,LEILA HAZOU,2,1,1,0
McKean,Annin Township,U.S. Senate,,CST,MARTY SELKER,2,1,1,0
McKean,Annin Township,U.S. Senate,,,Write-ins,0,0,0,0
McKean,Annin Township,U.S. Senate,,,Write-In: Scattered,0,0,0,0
McKean,Annin Township,U.S. Senate,,,Not Assigned,0,0,0,0
McKean,Annin Township,Attorney General,,DEM,EUGENE DEPASQUALE,50,34,16,0
McKean,Annin Township,Attorney General,,REP,DAVE SUNDAY,299,257,41,1
McKean,Annin Township,Attorney General,,LIB,ROBERT COWBURN,8,6,2,0
McKean,Annin Township,Attorney General,,GRN,RICHARD L WEISS,2,2,0,0
McKean,Annin Township,Attorney General,,CST,JUSTIN L MAGILL,1,1,0,0
McKean,Annin Township,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
McKean,Annin Township,Attorney General,,,Write-ins,0,0,0,0
McKean,Annin Township,Attorney General,,,Write-In: Scattered,0,0,0,0
McKean,Annin Township,Attorney General,,,Not Assigned,0,0,0,0
McKean,Annin Township,Auditor General,,DEM,MALCOLM KENYATTA,51,35,16,0
McKean,Annin Township,Auditor General,,REP,TIM DEFOOR,294,252,41,1
McKean,Annin Township,Auditor General,,LIB,REECE SMITH,6,5,1,0
