county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Venango,Franklin 1,Registered Voters,,,,1312,,,
Venango,Franklin 1,Ballots Cast,,,,977,692,275,10
Venango,Franklin 1,President,,DEM,KAMALA D HARRIS,423,264,152,7
Venango,Franklin 1,President,,REP,DONALD J TRUMP,541,418,120,3
Venango,Franklin 1,President,,LIB,CHASE OLIVER,8,5,3,0
Venango,Franklin 1,President,,GRN,JILL STEIN,1,1,0,0
Venango,Franklin 1,President,,,Write-ins,2,2,0,0
Venango,Franklin 1,President,,,Over Votes,0,0,0,0
Venango,Franklin 1,President,,,Under Votes,2,2,0,0
Venango,Franklin 1,U.S. Senate,,DEM,ROBERT P CASEY JR,432,275,150,7
Venango,Franklin 1,U.S. Senate,,REP,DAVE MCCORMICK,499,383,113,3
Venango,Franklin 1,U.S. Senate,,LIB,JOHN C THOMAS,17,15,2,0
Venango,Franklin 1,U.S. Senate,,GRN,LEILA HAZOU,12,7,5,0
Venango,Franklin 1,U.S. Senate,,CST,MARTY SELKER,7,5,2,0
Venango,Franklin 1,U.S. Senate,,,Write-ins,1,1,0,0
Venango,Franklin 1,U.S. Senate,,,Over Votes,0,0,0,0
Venango,Franklin 1,U.S. Senate,,,Under Votes,9,6,3,0
Venango,Franklin 1,Attorney General,,DEM,EUGENE DEPASQUALE,409,259,144,6
Venango,Franklin 1,Attorney General,,REP,DAVE SUNDAY,515,391,121,3
Venango,Franklin 1,Attorney General,,LIB,ROBERT COWBURN,14,12,2,0
Venango,Franklin 1,Attorney General,,GRN,RICHARD L WEISS,9,7,2,0
Venango,Franklin 1,Attorney General,,CST,JUSTIN L MAGILL,10,9,1,0
Venango,Franklin 1,Attorney General,,FWD,ERIC L SETTLE,4,3,1,0
Venango,Franklin 1,Attorney General,,,Write-ins,1,1,0,0
Venango,Franklin 1,Attorney General,,,Over Votes,0,0,0,0
Venango,Franklin 1,Attorney General,,,Under Votes,15,10,4,1
Venango,Franklin 1,Auditor General,,DEM,MALCOLM KENYATTA,401,251,144,6
Venango,Franklin 1,Auditor General,,REP,TIM DEFOOR,512,389,120,3
Venango,Franklin 1,Auditor General,,LIB,REECE SMITH,25,23,2,0
Venango,Franklin 1,Auditor General,,ASP,ERIC K ANTON,2,2,0,0
Venango,Franklin 1,Auditor General,,CST,BOB GOODRICH,17,14,3,0
Venango,Franklin 1,Auditor General,,,Write-ins,1,1,0,0
Venango,Franklin 1,Auditor General,,,Over Votes,0,0,0,0
Venango,Franklin 1,Auditor General,,,Under Votes,19,12,6,1
Venango,Franklin 1,State Treasurer,,DEM,ERIN MCCLELLAND,402,252,145,5
Venango,Franklin 1,State Treasurer,,REP,STACY GARRITY,527,403,120,4
Venango,Franklin 1,State Treasurer,,LIB,NICKOLAS CIESIELSKI,17,14,3,0
Venango,Franklin 1,State Treasurer,,CST,TROY BOWMAN,8,8,0,0
Venango,Franklin 1,State Treasurer,,FWD,CHRIS FOSTER,6,4,2,0
Venango,Franklin 1,State Treasurer,,,Write-ins,2,2,0,0
Venango,Franklin 1,State Treasurer,,,Over Votes,0,0,0,0
Venango,Franklin 1,State Treasurer,,,Under Votes,15,9,5,1
Venango,Franklin 1,U.S. House,16,DEM,PRESTON NOURI,397,250,140,7
Venango,Franklin 1,U.S. House,16,REP,MIKE KELLY,556,426,127,3
Venango,Franklin 1,U.S. House,16,,Write-ins,2,2,0,0
Venango,Franklin 1,U.S. House,16,,Over Votes,0,0,0,0
Venango,Franklin 1,U.S. House,16,,Under Votes,22,14,8,0
Venango,Franklin 1,State Senate,21,REP,SCOTT E HUTCHINSON,779,572,201,6
Venango,Franklin 1,State Senate,21,,Write-ins,46,33,13,0
Venango,Franklin 1,State Senate,21,,Over Votes,0,0,0,0
Venango,Franklin 1,State Senate,21,,Under Votes,152,87,61,4
Venango,Franklin 1,General Assembly,64,REP,R LEE JAMES,661,488,170,3
Venango,Franklin 1,General Assembly,64,CST,RON JOHNSON,168,117,49,2
Venango,Franklin 1,General Assembly,64,,Write-ins,27,18,9,0
Venango,Franklin 1,General Assembly,64,,Over Votes,0,0,0,0
Venango,Franklin 1,General Assembly,64,,Under Votes,121,69,47,5
Venango,Franklin 2,Registered Voters,,,,1434,,,
Venango,Franklin 2,Ballots Cast,,,,1088,740,339,9
Venango,Franklin 2,President,,DEM,KAMALA D HARRIS,430,241,184,5
Venango,Franklin 2,President,,REP,DONALD J TRUMP,630,482,144,4
Venango,Franklin 2,President,,LIB,CHASE OLIVER,8,6,2,0
Venango,Franklin 2,President,,GRN,JILL STEIN,5,4,1,0
Venango,Franklin 2,President,,,Write-ins,10,7,3,0
Venango,Franklin 2,President,,,Over Votes,0,0,0,0
Venango,Franklin 2,President,,,Under Votes,5,0,5,0
Venango,Franklin 2,U.S. Senate,,DEM,ROBERT P CASEY JR,432,238,188,6
Venango,Franklin 2,U.S. Senate,,REP,DAVE MCCORMICK,596,454,139,3
Venango,Franklin 2,U.S. Senate,,LIB,JOHN C THOMAS,26,20,6,0
Venango,Franklin 2,U.S. Senate,,GRN,LEILA HAZOU,5,5,0,0
Venango,Franklin 2,U.S. Senate,,CST,MARTY SELKER,13,11,2,0
Venango,Franklin 2,U.S. Senate,,,Write-ins,3,2,1,0
Venango,Franklin 2,U.S. Senate,,,Over Votes,0,0,0,0
Venango,Franklin 2,U.S. Senate,,,Under Votes,13,10,3,0
Venango,Franklin 2,Attorney General,,DEM,EUGENE DEPASQUALE,389,213,173,3
Venango,Franklin 2,Attorney General,,REP,DAVE SUNDAY,634,476,154,4
Venango,Franklin 2,Attorney General,,LIB,ROBERT COWBURN,22,18,4,0
Venango,Franklin 2,Attorney General,,GRN,RICHARD L WEISS,9,8,1,0
Venango,Franklin 2,Attorney General,,CST,JUSTIN L MAGILL,9,6,3,0
Venango,Franklin 2,Attorney General,,FWD,ERIC L SETTLE,5,4,1,0
Venango,Franklin 2,Attorney General,,,Write-ins,1,1,0,0
Venango,Franklin 2,Attorney General,,,Over Votes,0,0,0,0
Venango,Franklin 2,Attorney General,,,Under Votes,19,14,3,2
Venango,Franklin 2,Auditor General,,DEM,MALCOLM KENYATTA,367,195,168,4
Venango,Franklin 2,Auditor General,,REP,TIM DEFOOR,633,471,159,3
Venango,Franklin 2,Auditor General,,LIB,REECE SMITH,32,28,4,0
Venango,Franklin 2,Auditor General,,ASP,ERIC K ANTON,14,14,0,0
Venango,Franklin 2,Auditor General,,CST,BOB GOODRICH,16,14,2,0
Venango,Franklin 2,Auditor General,,,Write-ins,2,1,1,0
Venango,Franklin 2,Auditor General,,,Over Votes,0,0,0,0
Venango,Franklin 2,Auditor General,,,Under Votes,24,17,5,2
Venango,Franklin 2,State Treasurer,,DEM,ERIN MCCLELLAND,373,196,173,4
Venango,Franklin 2,State Treasurer,,REP,STACY GARRITY,647,488,156,3
Venango,Franklin 2,State Treasurer,,LIB,NICKOLAS CIESIELSKI,21,19,2,0
Venango,Franklin 2,State Treasurer,,CST,TROY BOWMAN,10,8,2,0
Venango,Franklin 2,State Treasurer,,FWD,CHRIS FOSTER,10,9,1,0
Venango,Franklin 2,State Treasurer,,,Write-ins,2,2,0,0
Venango,Franklin 2,State Treasurer,,,Over Votes,0,0,0,0
Venango,Franklin 2,State Treasurer,,,Under Votes,25,18,5,2
Venango,Franklin 2,U.S. House,16,DEM,PRESTON NOURI,377,210,164,3
Venango,Franklin 2,U.S. House,16,REP,MIKE KELLY,679,505,170,4
Venango,Franklin 2,U.S. House,16,,Write-ins,5,5,0,0
Venango,Franklin 2,U.S. House,16,,Over Votes,0,0,0,0
Venango,Franklin 2,U.S. House,16,,Under Votes,27,20,5,2
Venango,Franklin 2,State Senate,21,REP,SCOTT E HUTCHINSON,918,648,265,5
Venango,Franklin 2,State Senate,21,,Write-ins,40,25,15,0
Venango,Franklin 2,State Senate,21,,Over Votes,0,0,0,0
Venango,Franklin 2,State Senate,21,,Under Votes,130,67,59,4
Venango,Franklin 2,General Assembly,64,REP,R LEE JAMES,813,570,238,5
Venango,Franklin 2,General Assembly,64,CST,RON JOHNSON,132,103,28,1
Venango,Franklin 2,General Assembly,64,,Write-ins,24,13,11,0
Venango,Franklin 2,General Assembly,64,,Over Votes,0,0,0,0
Venango,Franklin 2,General Assembly,64,,Under Votes,119,54,62,3
Venango,Franklin 3,Registered Voters,,,,1003,,,
Venango,Franklin 3,Ballots Cast,,,,721,536,176,9
Venango,Franklin 3,President,,DEM,KAMALA D HARRIS,280,171,105,4
Venango,Franklin 3,President,,REP,DONALD J TRUMP,428,354,69,5
Venango,Franklin 3,President,,LIB,CHASE OLIVER,8,7,1,0
Venango,Franklin 3,President,,GRN,JILL STEIN,2,1,1,0
Venango,Franklin 3,President,,,Write-ins,2,2,0,0
Venango,Franklin 3,President,,,Over Votes,0,0,0,0
Venango,Franklin 3,President,,,Under Votes,1,1,0,0
Venango,Franklin 3,U.S. Senate,,DEM,ROBERT P CASEY JR,271,166,101,4
Venango,Franklin 3,U.S. Senate,,REP,DAVE MCCORMICK,405,331,69,5
Venango,Franklin 3,U.S. Senate,,LIB,JOHN C THOMAS,21,21,0,0
Venango,Franklin 3,U.S. Senate,,GRN,LEILA HAZOU,7,5,2,0
Venango,Franklin 3,U.S. Senate,,CST,MARTY SELKER,8,5,3,0
Venango,Franklin 3,U.S. Senate,,,Write-ins,0,0,0,0
Venango,Franklin 3,U.S. Senate,,,Over Votes,0,0,0,0
Venango,Franklin 3,U.S. Senate,,,Under Votes,9,8,1,0
Venango,Franklin 3,Attorney General,,DEM,EUGENE DEPASQUALE,261,160,96,5
Venango,Franklin 3,Attorney General,,REP,DAVE SUNDAY,416,342,70,4
Venango,Franklin 3,Attorney General,,LIB,ROBERT COWBURN,12,10,2,0
Venango,Franklin 3,Attorney General,,GRN,RICHARD L WEISS,6,2,4,0
Venango,Franklin 3,Attorney General,,CST,JUSTIN L MAGILL,7,6,1,0
Venango,Franklin 3,Attorney General,,FWD,ERIC L SETTLE,4,3,1,0
Venango,Franklin 3,Attorney General,,,Write-ins,0,0,0,0
Venango,Franklin 3,Attorney General,,,Over Votes,0,0,0,0
Venango,Franklin 3,Attorney General,,,Under Votes,15,13,2,0
Venango,Franklin 3,Auditor General,,DEM,MALCOLM KENYATTA,258,164,90,4
Venango,Franklin 3,Auditor General,,REP,TIM DEFOOR,413,334,75,4
Venango,Franklin 3,Auditor General,,LIB,REECE SMITH,16,14,1,1
Venango,Franklin 3,Auditor General,,ASP,ERIC K ANTON,4,3,1,0
Venango,Franklin 3,Auditor General,,CST,BOB GOODRICH,9,7,2,0
Venango,Franklin 3,Auditor General,,,Write-ins,0,0,0,0
Venango,Franklin 3,Auditor General,,,Over Votes,1,0,1,0
Venango,Franklin 3,Auditor General,,,Under Votes,20,14,6,0
Venango,Franklin 3,State Treasurer,,DEM,ERIN MCCLELLAND,253,151,97,5
Venango,Franklin 3,State Treasurer,,REP,STACY GARRITY,423,348,72,3
Venango,Franklin 3,State Treasurer,,LIB,NICKOLAS CIESIELSKI,18,17,1,0
