county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Chester,005 Atglen,President,,DEM,Joseph R. Biden Jr.,67,45,0,22
Chester,005 Atglen,President,,DEM,Dean Phillips,6,5,0,1
Chester,005 Atglen,President,,DEM,Write-In Totals,2,2,0,0
Chester,005 Atglen,President,,DEM,Not Assigned,2,2,0,0
Chester,005 Atglen,U.S. Senate,,DEM,Robert P. Casey Jr.,73,50,0,23
Chester,005 Atglen,U.S. Senate,,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,U.S. Senate,,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,Attorney General,,DEM,Jack Stollsteimer,31,24,0,7
Chester,005 Atglen,Attorney General,,DEM,Eugene Depasquale,16,6,0,10
Chester,005 Atglen,Attorney General,,DEM,Joe Khan,10,6,0,4
Chester,005 Atglen,Attorney General,,DEM,Keir Bradford-Grey,11,9,0,2
Chester,005 Atglen,Attorney General,,DEM,Jared Solomon,5,5,0,0
Chester,005 Atglen,Attorney General,,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,Attorney General,,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,Auditor General,,DEM,Malcolm Kenyatta,49,36,0,13
Chester,005 Atglen,Auditor General,,DEM,Mark Pinsley,24,14,0,10
Chester,005 Atglen,Auditor General,,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,Auditor General,,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,State Treasurer,,DEM,Ryan Bizzarro,37,31,0,6
Chester,005 Atglen,State Treasurer,,DEM,Erin Mcclelland,36,19,0,17
Chester,005 Atglen,State Treasurer,,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,State Treasurer,,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,U.S. House,6,DEM,Chrissy Houlahan,74,51,0,23
Chester,005 Atglen,U.S. House,6,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,U.S. House,6,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,General Assembly,74,DEM,Dan Williams,74,51,0,23
Chester,005 Atglen,General Assembly,74,DEM,Write-In Totals,0,0,0,0
Chester,005 Atglen,General Assembly,74,DEM,Not Assigned,0,0,0,0
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Tom Herman,60,39,0,21
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Marian Moskowitz,65,43,0,22
Chester,005 Atglen,Delegate to the National Convention,6,DEM,George Piasecki Iii,60,39,0,21
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Ashley Gagne,65,42,0,23
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Hans Van Mol,58,37,0,21
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Kieran Francke,58,36,0,22
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Johanny Cepeda Freytiz,60,38,0,22
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Write-In Totals,2,2,0,0
Chester,005 Atglen,Delegate to the National Convention,6,DEM,Not Assigned,2,2,0,0
Chester,005 Atglen,President,,REP,Nikki R. Haley,17,13,0,4
Chester,005 Atglen,President,,REP,Donald J. Trump,82,77,0,5
Chester,005 Atglen,President,,REP,Write-In Totals,3,2,0,1
Chester,005 Atglen,President,,REP,Not Assigned,3,2,0,1
Chester,005 Atglen,U.S. Senate,,REP,Dave Mccormick,99,91,0,8
Chester,005 Atglen,U.S. Senate,,REP,Write-In Totals,1,1,0,0
Chester,005 Atglen,U.S. Senate,,REP,Not Assigned,1,1,0,0
Chester,005 Atglen,Attorney General,,REP,Dave Sunday,77,73,0,4
Chester,005 Atglen,Attorney General,,REP,Craig Williams,28,22,0,6
Chester,005 Atglen,Attorney General,,REP,Write-In Totals,0,0,0,0
Chester,005 Atglen,Attorney General,,REP,Not Assigned,0,0,0,0
Chester,005 Atglen,Auditor General,,REP,Tim Defoor,102,93,0,9
