county,precinct,office,district,candidate,party,votes,election_day,mail,provisional
Lancaster,0100 City 1,President,,Kamala D Harris,DEM,338,207,124,7
Lancaster,0201 City 2-1,President,,Kamala D Harris,DEM,503,311,183,9
Lancaster,0202 City 2-2,President,,Kamala D Harris,DEM,554,414,123,17
Lancaster,0300 City 3,President,,Kamala D Harris,DEM,446,312,115,19
Lancaster,0401 City 4-1,President,,Kamala D Harris,DEM,283,185,82,16
Lancaster,0402 City 4-2,President,,Kamala D Harris,DEM,258,182,60,16
Lancaster,0501 City 5-1,President,,Kamala D Harris,DEM,525,359,156,10
Lancaster,0502 City 5-2,President,,Kamala D Harris,DEM,342,264,74,4
Lancaster,0503 City 5-3,President,,Kamala D Harris,DEM,513,356,153,4
Lancaster,0601 City 6-1,President,,Kamala D Harris,DEM,475,322,143,10
Lancaster,0602 City 6-2,President,,Kamala D Harris,DEM,357,261,90,6
Lancaster,0603 City 6-3,President,,Kamala D Harris,DEM,565,410,148,7
Lancaster,0604 City 6-4,President,,Kamala D Harris,DEM,532,389,136,7
Lancaster,0605 City 6-5,President,,Kamala D Harris,DEM,515,361,144,10
Lancaster,0606 City 6-6,President,,Kamala D Harris,DEM,274,199,73,2
Lancaster,0607 City 6-7,President,,Kamala D Harris,DEM,525,371,144,10
Lancaster,0608 City 6-8,President,,Kamala D Harris,DEM,448,372,69,7
Lancaster,0701 City 7-1,President,,Kamala D Harris,DEM,398,304,84,10
Lancaster,0702 City 7-2,President,,Kamala D Harris,DEM,331,276,45,10
Lancaster,0703 City 7-3,President,,Kamala D Harris,DEM,259,207,49,3
Lancaster,0704 City 7-4,President,,Kamala D Harris,DEM,305,232,52,21
Lancaster,0705 City 7-5,President,,Kamala D Harris,DEM,254,191,45,18
Lancaster,0706 City 7-6,President,,Kamala D Harris,DEM,231,170,52,9
Lancaster,0707 City 7-7,President,,Kamala D Harris,DEM,376,281,89,6
Lancaster,0708-2 CV,President,,Kamala D Harris,DEM,113,87,26,0
Lancaster,0708-3 LS,President,,Kamala D Harris,DEM,175,119,56,0
Lancaster,0801 City 8-1,President,,Kamala D Harris,DEM,357,288,58,11
Lancaster,0802 City 8-2,President,,Kamala D Harris,DEM,345,252,78,15
Lancaster,0803 City 8-3,President,,Kamala D Harris,DEM,335,251,76,8
Lancaster,0804 City 8-4,President,,Kamala D Harris,DEM,669,528,128,13
Lancaster,0805 City 8-5,President,,Kamala D Harris,DEM,368,276,78,14
Lancaster,0806 City 8-6,President,,Kamala D Harris,DEM,306,258,43,5
Lancaster,0807 City 8-7,President,,Kamala D Harris,DEM,528,385,123,20
Lancaster,0808 City 8-8,President,,Kamala D Harris,DEM,503,409,83,11
Lancaster,0809 City 8-9,President,,Kamala D Harris,DEM,409,325,81,3
Lancaster,0901 City 9-1,President,,Kamala D Harris,DEM,620,408,193,19
Lancaster,0902 City 9-2,President,,Kamala D Harris,DEM,218,148,62,8
Lancaster,0903 City 9-3,President,,Kamala D Harris,DEM,536,378,148,10
Lancaster,0904 City 9-4,President,,Kamala D Harris,DEM,1011,878,120,13
Lancaster,0905 City 9-5,President,,Kamala D Harris,DEM,708,518,188,2
Lancaster,1000 Adamstwn,President,,Kamala D Harris,DEM,389,284,100,5
