county,precinct,office,district,party,candidate,votes,mail,provisional,election_day
Fayette,Belle Vernon Borough - 02-01,President,,DEM,Kamala D Harris,168,66,1,101
Fayette,Brownsville Township - 04-01,President,,DEM,Kamala D Harris,127,42,1,84
Fayette,Brownsville Borough 1 - 06-01,President,,DEM,Kamala D Harris,123,28,9,86
Fayette,Brownsville Borough 2 - 06-02,President,,DEM,Kamala D Harris,120,39,1,80
Fayette,Brownsville Borough 3 - 06-03,President,,DEM,Kamala D Harris,183,53,2,128
Fayette,Bullskin Township 1 - 08-01,President,,DEM,Kamala D Harris,457,204,6,247
Fayette,Bullskin Township 2 - 08-02,President,,DEM,Kamala D Harris,163,55,0,108
Fayette,Bullskin Township 3 - 08-03,President,,DEM,Kamala D Harris,232,87,1,144
Fayette,Connellsville City 1- 10-01,President,,DEM,Kamala D Harris,346,117,3,226
Fayette,Connellsville City 2- 10-02,President,,DEM,Kamala D Harris,314,94,4,216
Fayette,Connellsville City 3- 10-03,President,,DEM,Kamala D Harris,129,37,1,91
Fayette,Connellsville City 4- 10-04,President,,DEM,Kamala D Harris,235,70,0,165
Fayette,Connellsville Township - 12-01,President,,DEM,Kamala D Harris,289,92,1,196
Fayette,Dawson Borough - 14-01,President,,DEM,Kamala D Harris,42,12,0,30
Fayette,Dunbar Township 1 - 16-01,President,,DEM,Kamala D Harris,305,139,3,163
Fayette,Dunbar Township 2 - 16-02,President,,DEM,Kamala D Harris,662,309,2,351
Fayette,Dunbar  Borough - 18-01,President,,DEM,Kamala D Harris,108,36,1,71
Fayette,Everson Borough - 20-01,President,,DEM,Kamala D Harris,81,19,0,62
Fayette,Fairchance Borough - 22-01,President,,DEM,Kamala D Harris,247,97,1,149
Fayette,Fayette City Borough - 24-01,President,,DEM,Kamala D Harris,81,11,1,69
Fayette,Franklin Township 1 - 26-01,President,,DEM,Kamala D Harris,162,71,1,90
Fayette,Franklin Township 2 - 26-02,President,,DEM,Kamala D Harris,152,61,0,91
Fayette,Georges Township 1 - 28-01,President,,DEM,Kamala D Harris,184,69,1,114
Fayette,Georges Township 2 - 28-02,President,,DEM,Kamala D Harris,303,128,5,170
Fayette,Georges Township 3 - 28-03,President,,DEM,Kamala D Harris,302,134,0,168
Fayette,German Township 1 - 30-01,President,,DEM,Kamala D Harris,323,92,1,230
Fayette,German Township 2 - 30-02,President,,DEM,Kamala D Harris,201,49,2,150
Fayette,German Township 3 - 30-03,President,,DEM,Kamala D Harris,162,42,1,119
Fayette,German Township 4 - 30-04,President,,DEM,Kamala D Harris,61,12,2,47
Fayette,Henry Clay Township - 32-01,President,,DEM,Kamala D Harris,202,84,5,113
Fayette,Jefferson Township - 34-01,President,,DEM,Kamala D Harris,294,107,1,186
Fayette,Lower Tyrone Township - 36-01,President,,DEM,Kamala D Harris,116,43,0,73
Fayette,Luzerne Township 1 - 38-01,President,,DEM,Kamala D Harris,223,94,2,127
Fayette,Luzerne Township 2 - 38-02,President,,DEM,Kamala D Harris,295,134,6,155
Fayette,Luzerne Township 3 - 38-03,President,,DEM,Kamala D Harris,131,32,0,99
Fayette,Luzerne Township 4 - 38-04,President,,DEM,Kamala D Harris,66,22,0,44
Fayette,Markleysburg Borough - 40-01,President,,DEM,Kamala D Harris,29,12,0,17
Fayette,Masontown Borough - 42-01,President,,DEM,Kamala D Harris,482,207,0,275
Fayette,Menallen Township 1 - 44-01,President,,DEM,Kamala D Harris,200,78,1,121
Fayette,Menallen Township 2 - 44-02,President,,DEM,Kamala D Harris,325,140,3,182
Fayette,Menallen Township 3 - 44-03,President,,DEM,Kamala D Harris,182,57,1,124
Fayette,Newell Borough - 46-01,President,,DEM,Kamala D Harris,115,28,0,87
