county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Venango,Franklin 1,Registered Voters,,,,1068,,,
Venango,Franklin 1,Ballots Cast,,,,310,194,2,114
Venango,Franklin 1,Ballots Cast Blank,,,,0,0,0,0
Venango,Franklin 1,President,,DEM,Joseph R Biden Jr,117,53,0,64
Venango,Franklin 1,President,,DEM,Dean Phillips,11,7,0,4
Venango,Franklin 1,President,,DEM,Write-In Totals,8,4,0,4
Venango,Franklin 1,President,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,President,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,President,,DEM,Undervotes,4,1,1,2
Venango,Franklin 1,U.S. Senate,,DEM,Robert P Casey Jr,132,61,0,71
Venango,Franklin 1,U.S. Senate,,DEM,Write-In Totals,0,0,0,0
Venango,Franklin 1,U.S. Senate,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,U.S. Senate,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. Senate,,DEM,Undervotes,8,4,1,3
Venango,Franklin 1,Attorney General,,DEM,Jack Stollsteimer,14,6,0,8
Venango,Franklin 1,Attorney General,,DEM,Eugene Depasquale,88,37,1,50
Venango,Franklin 1,Attorney General,,DEM,Joe Khan,14,8,0,6
Venango,Franklin 1,Attorney General,,DEM,Keir Bradford-grey,6,2,0,4
Venango,Franklin 1,Attorney General,,DEM,Jared Solomon,12,8,0,4
Venango,Franklin 1,Attorney General,,DEM,Write-In Totals,0,0,0,0
Venango,Franklin 1,Attorney General,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,Attorney General,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,Attorney General,,DEM,Undervotes,6,4,0,2
Venango,Franklin 1,Auditor General,,DEM,Malcolm Kenyatta,60,30,0,30
Venango,Franklin 1,Auditor General,,DEM,Mark Pinsley,67,29,1,37
Venango,Franklin 1,Auditor General,,DEM,Write-In Totals,0,0,0,0
Venango,Franklin 1,Auditor General,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,Auditor General,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,Auditor General,,DEM,Undervotes,13,6,0,7
Venango,Franklin 1,State Treasurer,,DEM,Ryan Bizzarro,81,37,1,43
Venango,Franklin 1,State Treasurer,,DEM,Erin McClelland,51,23,0,28
Venango,Franklin 1,State Treasurer,,DEM,Write-In Totals,0,0,0,0
Venango,Franklin 1,State Treasurer,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,State Treasurer,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,State Treasurer,,DEM,Undervotes,8,5,0,3
Venango,Franklin 1,U.S. House,,DEM,Preston Nouri,128,58,0,70
Venango,Franklin 1,U.S. House,,DEM,Write-In Totals,0,0,0,0
Venango,Franklin 1,U.S. House,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,U.S. House,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. House,,DEM,Undervotes,12,7,1,4
Venango,Franklin 1,State Senate,,DEM,No Candidate Filed,0,0,0,0
Venango,Franklin 1,State Senate,,DEM,Write-In Totals,6,2,0,4
Venango,Franklin 1,State Senate,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,State Senate,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,State Senate,,DEM,Undervotes,134,63,1,70
Venango,Franklin 1,State House,,DEM,No Candidate Filed,0,0,0,0
Venango,Franklin 1,State House,,DEM,Write-In Totals,10,5,0,5
Venango,Franklin 1,State House,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,State House,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,State House,,DEM,Undervotes,130,60,1,69
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Chelcie Alcorn,115,49,0,66
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Lindsey J Scott,114,48,1,65
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,J Howard Thompson,99,40,1,58
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Kevin E Boozel,96,39,1,56
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Gavin S Griffin,100,40,1,59
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Write-In Totals,2,1,0,1
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Not Assigned,0,0,0,0
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Overvotes,0,0,0,0
Venango,Franklin 1,Delegate to the Democratic National Convention 16th Congressional District,,DEM,Undervotes,174,108,1,65
Venango,Franklin 1,President,,REP,Nikki R Haley,39,25,0,14
Venango,Franklin 1,President,,REP,Donald J Trump,127,101,1,25
Venango,Franklin 1,President,,REP,Write-In Totals,2,2,0,0
Venango,Franklin 1,President,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,President,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,President,,REP,Undervotes,2,1,0,1
Venango,Franklin 1,U.S. Senate,,REP,Dave McCormick,150,112,1,37
Venango,Franklin 1,U.S. Senate,,REP,Write-In Totals,7,6,0,1
Venango,Franklin 1,U.S. Senate,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,U.S. Senate,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. Senate,,REP,Undervotes,13,11,0,2
Venango,Franklin 1,Attorney General,,REP,Dave Sunday,113,88,0,25
Venango,Franklin 1,Attorney General,,REP,Craig Williams,45,30,1,14
Venango,Franklin 1,Attorney General,,REP,Write-In Totals,1,1,0,0
Venango,Franklin 1,Attorney General,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,Attorney General,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,Attorney General,,REP,Undervotes,11,10,0,1
Venango,Franklin 1,Auditor General,,REP,Tim Defoor,147,107,1,39
Venango,Franklin 1,Auditor General,,REP,Write-In Totals,4,4,0,0
Venango,Franklin 1,Auditor General,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,Auditor General,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,Auditor General,,REP,Undervotes,19,18,0,1
Venango,Franklin 1,State Treasurer,,REP,Stacy Garrity,154,115,1,38
Venango,Franklin 1,State Treasurer,,REP,Write-In Totals,1,1,0,0
Venango,Franklin 1,State Treasurer,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,State Treasurer,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,State Treasurer,,REP,Undervotes,15,13,0,2
Venango,Franklin 1,U.S. House,,REP,Mike Kelly,152,114,1,37
Venango,Franklin 1,U.S. House,,REP,Write-In Totals,5,4,0,1
Venango,Franklin 1,U.S. House,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,U.S. House,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. House,,REP,Undervotes,13,11,0,2
Venango,Franklin 1,State Senate,,REP,Scott E Hutchinson,157,117,1,39
Venango,Franklin 1,State Senate,,REP,Write-In Totals,4,4,0,0
Venango,Franklin 1,State Senate,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,State Senate,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,State Senate,,REP,Undervotes,9,8,0,1
Venango,Franklin 1,State House,,REP,R Lee James,151,115,1,35
Venango,Franklin 1,State House,,REP,Write-In Totals,6,4,0,2
Venango,Franklin 1,State House,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,State House,,REP,Overvotes,0,0,0,0
Venango,Franklin 1,State House,,REP,Undervotes,13,10,0,3
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Julie Swartfager,65,47,0,18
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Lynne Ryan,30,25,1,4
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Jondavid R Longo,17,13,0,4
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Tim Kuzma,42,28,1,13
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Michele Mustello,43,24,0,19
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Thomas Eddy,32,28,0,4
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Nathan Rybner,21,16,1,4
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Corey V Check,15,12,0,3
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Mary Kaye Soriano,46,33,0,13
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Fred W Hensel,36,24,0,12
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,John Grenci,27,19,0,8
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Write-In Totals,0,0,0,0
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Not Assigned,0,0,0,0
Venango,Franklin 1,Delegate to the Republican National Convention 16th Congressional District,,REP,Overvotes,3,3,0,0
