county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Columbia,BEAVER TWP,Registered Voters,,,,643,,,,
Columbia,BEAVER TWP,Ballots Cast,,,,569,,,,
Columbia,BEAVER TWP,President,,DEM,KAMALA D HARRIS / TIM WALZ,122,,,,
Columbia,BEAVER TWP,President,,REP,DONALD J TRUMP/ JD VANCE,440,,,,
Columbia,BEAVER TWP,President,,,CHASE OLIVER / MIKE TER,0,,,,
Columbia,BEAVER TWP,President,,GRN,JILL STEIN / RUDOLPH WARE,1,,,,
Columbia,BEAVER TWP,President,,,Write-Ins,3,,,,
Columbia,BEAVER TWP,U.S. Senate,,DEM,ROBERT P CASEY JR ,125,,,,
Columbia,BEAVER TWP,U.S. Senate,,REP,DAVE MCCORMICK,428,,,,
Columbia,BEAVER TWP,U.S. Senate,,LIB,JOHN C THOMAS,5,,,,
Columbia,BEAVER TWP,U.S. Senate,,GRN,LEILA HAZOU,0,,,,
Columbia,BEAVER TWP,U.S. Senate,,CST,MARTY SELKER,3,,,,
Columbia,BEAVER TWP,U.S. Senate,,,Write-Ins,1,,,,
Columbia,BEAVER TWP,Attorney General,,DEM,EUGENE DEPASQUALE,116,,,,
Columbia,BEAVER TWP,Attorney General,,REP,DAVE SUNDAY,424,,,,
Columbia,BEAVER TWP,Attorney General,,LIB,ROBERT COWBURN,6,,,,
Columbia,BEAVER TWP,Attorney General,,GRN,RICHARD L WEISS,6,,,,
Columbia,BEAVER TWP,Attorney General,,CST,JUSTIN L MAGILL,0,,,,
Columbia,BEAVER TWP,Attorney General,,FWD,ERIC L SETTLE,0,,,,
Columbia,BEAVER TWP,Attorney General,,,Write-ins,1,,,,
Columbia,BEAVER TWP,U.S. House,9,DEM,AMANDA WALDMAN,109,,,,
Columbia,BEAVER TWP,U.S. House,9,REP,DAN MEUSER,450,,,,
Columbia,BEAVER TWP,U.S. House,9,,Write-Ins,0,,,,
Columbia,BEAVER TWP,State Senate,27,DEM,LAWTON PATRICIA,124,,,,
Columbia,BEAVER TWP,State Senate,27,REP,LYNDA J SCHLEGEL CULVER,431,,,,
Columbia,BEAVER TWP,State Senate,27,,Write-ins,1,,,,
Columbia,BEAVER TWP,State House,109,DEM,NICK MCGAW,108,,,,
Columbia,BEAVER TWP,State House,109,REP,ROBERT LEADBETER,451,,,,
Columbia,BEAVER TWP,State House,109,,Write-Ins,0,,,,
Columbia,BENTON TWP,Registered Voters,,,,924,,,,
Columbia,BENTON TWP,Ballots Cast,,,,790,,,,
Columbia,BENTON TWP,President,,DEM,KAMALA D HARRIS / TIM WALZ,199,,,,
Columbia,BENTON TWP,President,,REP,DONALD J TRUMP/ JD VANCE,580,,,,
Columbia,BENTON TWP,President,,,CHASE OLIVER / MIKE TER,6,,,,
Columbia,BENTON TWP,President,,GRN,JILL STEIN / RUDOLPH WARE,1,,,,
Columbia,BENTON TWP,President,,,Write-Ins,0,,,,
Columbia,BENTON TWP,U.S. Senate,,DEM,ROBERT P CASEY JR ,189,,,,
Columbia,BENTON TWP,U.S. Senate,,REP,DAVE MCCORMICK,569,,,,
Columbia,BENTON TWP,U.S. Senate,,LIB,JOHN C THOMAS,6,,,,
Columbia,BENTON TWP,U.S. Senate,,GRN,LEILA HAZOU,3,,,,
Columbia,BENTON TWP,U.S. Senate,,CST,MARTY SELKER,6,,,,
Columbia,BENTON TWP,U.S. Senate,,,Write-Ins,0,,,,
Columbia,BENTON TWP,Attorney General,,DEM,EUGENE DEPASQUALE,170,,,,
Columbia,BENTON TWP,Attorney General,,REP,DAVE SUNDAY,581,,,,
Columbia,BENTON TWP,Attorney General,,LIB,ROBERT COWBURN,8,,,,
Columbia,BENTON TWP,Attorney General,,GRN,RICHARD L WEISS,6,,,,
Columbia,BENTON TWP,Attorney General,,CST,JUSTIN L MAGILL,4,,,,
Columbia,BENTON TWP,Attorney General,,FWD,ERIC L SETTLE,1,,,,
Columbia,BENTON TWP,Attorney General,,,Write-ins,0,,,,
Columbia,BENTON TWP,U.S. House,9,DEM,AMANDA WALDMAN,179,,,,
Columbia,BENTON TWP,U.S. House,9,REP,DAN MEUSER,596,,,,
Columbia,BENTON TWP,U.S. House,9,,Write-Ins,0,,,,
Columbia,BENTON TWP,State Senate,27,DEM,LAWTON PATRICIA,183,,,,
Columbia,BENTON TWP,State Senate,27,REP,LYNDA J SCHLEGEL CULVER,585,,,,
Columbia,BENTON TWP,State Senate,27,,Write-ins,1,,,,
Columbia,BENTON TWP,State House,109,DEM,NICK MCGAW,181,,,,
Columbia,BENTON TWP,State House,109,REP,ROBERT LEADBETER,591,,,,
Columbia,BENTON TWP,State House,109,,Write-Ins,0,,,,
Columbia,BENTON BOROUGH,Registered Voters,,,,510,,,,
Columbia,BENTON BOROUGH,Ballots Cast,,,,392,,,,
Columbia,BENTON BOROUGH,President,,DEM,KAMALA D HARRIS / TIM WALZ,122,,,,
Columbia,BENTON BOROUGH,President,,REP,DONALD J TRUMP/ JD VANCE,262,,,,
Columbia,BENTON BOROUGH,President,,,CHASE OLIVER / MIKE TER,5,,,,
Columbia,BENTON BOROUGH,President,,GRN,JILL STEIN / RUDOLPH WARE,0,,,,
Columbia,BENTON BOROUGH,President,,,Write-Ins,1,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,DEM,ROBERT P CASEY JR ,120,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,REP,DAVE MCCORMICK,243,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,LIB,JOHN C THOMAS,16,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,GRN,LEILA HAZOU,3,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,CST,MARTY SELKER,4,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,,Write-Ins,0,,,,
Columbia,BENTON BOROUGH,Attorney General,,DEM,EUGENE DEPASQUALE,107,,,,
Columbia,BENTON BOROUGH,Attorney General,,REP,DAVE SUNDAY,255,,,,
Columbia,BENTON BOROUGH,Attorney General,,LIB,ROBERT COWBURN,6,,,,
Columbia,BENTON BOROUGH,Attorney General,,GRN,RICHARD L WEISS,5,,,,
Columbia,BENTON BOROUGH,Attorney General,,CST,JUSTIN L MAGILL,6,,,,
Columbia,BENTON BOROUGH,Attorney General,,FWD,ERIC L SETTLE,3,,,,
Columbia,BENTON BOROUGH,Attorney General,,,Write-ins,0,,,,
Columbia,BENTON BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,118,,,,
Columbia,BENTON BOROUGH,U.S. House,9,REP,DAN MEUSER,269,,,,
