county,precinct,office,district,party,candidate,votes,provisional,election_day,mail
York,Carroll Township,President,,DEM,Kamala D. Harris,1497,21,803,673
York,Chanceford Township 1,President,,DEM,Kamala D. Harris,353,3,186,164
York,Chanceford Township 2,President,,DEM,Kamala D. Harris,91,0,54,37
York,Chanceford Township 3,President,,DEM,Kamala D. Harris,180,2,118,60
York,Codorus Township 1,President,,DEM,Kamala D. Harris,175,2,116,57
York,Codorus Township 2,President,,DEM,Kamala D. Harris,210,4,132,74
York,Codorus Township 3,President,,DEM,Kamala D. Harris,245,4,165,76
York,Conewago Township 1,President,,DEM,Kamala D. Harris,1111,11,600,500
York,Conewago Township 2,President,,DEM,Kamala D. Harris,573,9,333,231
York,Dover Township 1,President,,DEM,Kamala D. Harris,1316,21,758,537
York,Dover Township 2,President,,DEM,Kamala D. Harris,1212,15,644,553
York,Dover Township 3,President,,DEM,Kamala D. Harris,738,13,325,400
York,Dover Township 4,President,,DEM,Kamala D. Harris,848,10,438,400
York,East Hopewell Township,President,,DEM,Kamala D. Harris,359,8,200,151
York,East Manchester Township,President,,DEM,Kamala D. Harris,1808,33,776,999
York,Fairview Township 1,President,,DEM,Kamala D. Harris,730,10,473,247
York,Fairview Township 2,President,,DEM,Kamala D. Harris,1143,10,667,466
York,Fairview Township 3,President,,DEM,Kamala D. Harris,1728,21,849,858
York,Fairview Township 4,President,,DEM,Kamala D. Harris,730,5,376,349
York,Fawn Township,President,,DEM,Kamala D. Harris,302,5,186,111
York,Franklin Township,President,,DEM,Kamala D. Harris,806,12,426,368
York,Heidelberg Township,President,,DEM,Kamala D. Harris,463,11,278,174
York,Hellam Township 1,President,,DEM,Kamala D. Harris,488,6,282,200
York,Hellam Township 2,President,,DEM,Kamala D. Harris,645,4,379,262
York,Hopewell Township,President,,DEM,Kamala D. Harris,1179,16,628,535
York,Jackson Township 1,President,,DEM,Kamala D. Harris,730,7,433,290
York,Jackson Township 2,President,,DEM,Kamala D. Harris,829,21,469,339
York,Lower Chanceford Township 1,President,,DEM,Kamala D. Harris,117,1,74,42
York,Lower Chanceford Township 2,President,,DEM,Kamala D. Harris,136,1,95,40
York,Lower Windsor Township 1,President,,DEM,Kamala D. Harris,188,1,107,80
York,Lower Windsor Township 2,President,,DEM,Kamala D. Harris,466,8,306,152
York,Lower Windsor Township 3,President,,DEM,Kamala D. Harris,492,14,293,185
York,Manchester Township 1,President,,DEM,Kamala D. Harris,410,5,289,116
York,Manchester Township 2,President,,DEM,Kamala D. Harris,651,11,387,253
York,Manchester Township 3,President,,DEM,Kamala D. Harris,885,14,627,244
York,Manchester Township 4,President,,DEM,Kamala D. Harris,592,10,350,232
York,Manchester Township 5,President,,DEM,Kamala D. Harris,872,6,535,331
York,Manchester Township 6,President,,DEM,Kamala D. Harris,858,14,500,344
York,Manchester Township 7,President,,DEM,Kamala D. Harris,689,6,379,304
York,Manheim Township,President,,DEM,Kamala D. Harris,489,7,249,233
York,Monaghan Township,President,,DEM,Kamala D. Harris,596,8,354,234
York,Newberry Township 1,President,,DEM,Kamala D. Harris,1100,15,528,557
York,Newberry Township 2,President,,DEM,Kamala D. Harris,629,23,367,239
York,Newberry Township 3,President,,DEM,Kamala D. Harris,966,20,564,382
York,North Codorus Township 1,President,,DEM,Kamala D. Harris,1006,17,583,406
York,North Codorus Township 2,President,,DEM,Kamala D. Harris,475,7,289,179
York,North Hopewell Township,President,,DEM,Kamala D. Harris,346,4,187,155
York,Paradise Township,President,,DEM,Kamala D. Harris,541,13,317,211
York,Peach Bottom Township,President,,DEM,Kamala D. Harris,538,3,321,214
York,Penn Township 1,President,,DEM,Kamala D. Harris,763,9,362,392
York,Penn Township 2,President,,DEM,Kamala D. Harris,887,11,545,331
York,Penn Township 3,President,,DEM,Kamala D. Harris,517,10,330,177
York,Penn Township 4,President,,DEM,Kamala D. Harris,977,3,576,398
York,Shrewsbury Township 1,President,,DEM,Kamala D. Harris,474,11,245,218
York,Shrewsbury Township 2,President,,DEM,Kamala D. Harris,1067,20,623,424
York,Springettsbury Township 1,President,,DEM,Kamala D. Harris,510,8,332,170
York,Springettsbury Township 2,President,,DEM,Kamala D. Harris,1066,12,600,454
York,Springettsbury Township 3,President,,DEM,Kamala D. Harris,1379,25,668,686
York,Springettsbury Township 4,President,,DEM,Kamala D. Harris,1146,27,595,524
York,Springettsbury Township 5,President,,DEM,Kamala D. Harris,448,4,281,163
York,Springettsbury Township 6,President,,DEM,Kamala D. Harris,523,0,356,167
York,Springettsbury Township 7,President,,DEM,Kamala D. Harris,649,14,421,214
York,Springettsbury Township 8,President,,DEM,Kamala D. Harris,1006,11,527,468
York,Springfield Township,President,,DEM,Kamala D. Harris,1454,29,722,703
York,Spring Garden Township 1,President,,DEM,Kamala D. Harris,490,10,338,142
York,Spring Garden Township 2,President,,DEM,Kamala D. Harris,555,5,400,150
York,Spring Garden Township 3,President,,DEM,Kamala D. Harris,920,11,532,377
York,Spring Garden Township 4,President,,DEM,Kamala D. Harris,1345,28,797,520
York,Spring Garden Township 5,President,,DEM,Kamala D. Harris,786,19,522,245
York,Warrington Township,President,,DEM,Kamala D. Harris,726,11,332,383
York,Washington Township,President,,DEM,Kamala D. Harris,323,4,188,131
York,West Manchester Township 1,President,,DEM,Kamala D. Harris,668,11,436,221
York,West Manchester Township 2,President,,DEM,Kamala D. Harris,1293,17,798,478
York,West Manchester Township 3,President,,DEM,Kamala D. Harris,819,6,454,359
York,West Manchester Township 4,President,,DEM,Kamala D. Harris,372,5,234,133
York,West Manchester Township 5,President,,DEM,Kamala D. Harris,1248,22,622,604
York,West Manheim Township 1,President,,DEM,Kamala D. Harris,754,5,421,328
York,West Manheim Township 2,President,,DEM,Kamala D. Harris,681,15,433,233
York,West Manheim Township 3,President,,DEM,Kamala D. Harris,460,7,226,227
York,Windsor Township 1,President,,DEM,Kamala D. Harris,1303,18,711,574
York,Windsor Township 2,President,,DEM,Kamala D. Harris,514,17,317,180
York,Windsor Township 3,President,,DEM,Kamala D. Harris,832,15,482,335
York,Windsor Township 4,President,,DEM,Kamala D. Harris,1033,16,570,447
York,York Township 1-1,President,,DEM,Kamala D. Harris,549,6,278,265
York,York Township 1-2,President,,DEM,Kamala D. Harris,372,7,267,98
York,York Township 1-3,President,,DEM,Kamala D. Harris,855,11,520,324
York,York Township 2-1,President,,DEM,Kamala D. Harris,455,3,286,166
York,York Township 2-2,President,,DEM,Kamala D. Harris,285,5,177,103
York,York Township 2-3,President,,DEM,Kamala D. Harris,612,16,372,224
York,York Township 3-1,President,,DEM,Kamala D. Harris,502,10,312,180
York,York Township 3-2,President,,DEM,Kamala D. Harris,416,5,245,166
York,York Township 3-3,President,,DEM,Kamala D. Harris,375,3,225,147
York,York Township 4-1,President,,DEM,Kamala D. Harris,465,5,332,128
York,York Township 4-2,President,,DEM,Kamala D. Harris,524,2,352,170
York,York Township 4-3,President,,DEM,Kamala D. Harris,597,7,357,233
York,York Township 5-1,President,,DEM,Kamala D. Harris,561,12,319,230
York,York Township 5-2,President,,DEM,Kamala D. Harris,374,9,258,107
York,York Township 5-3,President,,DEM,Kamala D. Harris,787,21,484,282
York,Cross Roads Borough,President,,DEM,Kamala D. Harris,43,0,43,0
York,Dallastown Borough 1,President,,DEM,Kamala D. Harris,301,7,185,109
York,Dallastown Borough 2,President,,DEM,Kamala D. Harris,399,7,303,89
York,Delta Borough,President,,DEM,Kamala D. Harris,69,0,59,10
York,Dillsburg Borough,President,,DEM,Kamala D. Harris,503,5,319,179
York,Dover Borough,President,,DEM,Kamala D. Harris,298,4,215,79
York,East Prospect Borough,President,,DEM,Kamala D. Harris,154,1,130,23
York,Fawn Grove Borough,President,,DEM,Kamala D. Harris,73,0,54,19
York,Felton Borough,President,,DEM,Kamala D. Harris,54,0,38,16
York,Franklintown Borough,President,,DEM,Kamala D. Harris,110,1,80,29
York,Glen Rock Borough,President,,DEM,Kamala D. Harris,402,2,289,111
York,Goldsboro Borough,President,,DEM,Kamala D. Harris,163,1,120,42
York,Hallam Borough,President,,DEM,Kamala D. Harris,540,11,377,152
York,Hanover Borough 1,President,,DEM,Kamala D. Harris,745,18,470,257
York,Hanover Borough 2,President,,DEM,Kamala D. Harris,797,17,443,337
York,Hanover Borough 3,President,,DEM,Kamala D. Harris,468,10,326,132
York,Hanover Borough 4,President,,DEM,Kamala D. Harris,480,17,322,141
York,Hanover Borough 5,President,,DEM,Kamala D. Harris,441,3,312,126
York,Jacobus Borough,President,,DEM,Kamala D. Harris,378,0,281,97
York,Jefferson Borough,President,,DEM,Kamala D. Harris,103,2,75,26
York,Lewisberry Borough,President,,DEM,Kamala D. Harris,57,0,46,11
York,Loganville Borough,President,,DEM,Kamala D. Harris,313,5,225,83
York,Manchester Borough,President,,DEM,Kamala D. Harris,495,10,314,171
York,Mount Wolf Borough,President,,DEM,Kamala D. Harris,308,6,229,73
York,New Freedom Borough,President,,DEM,Kamala D. Harris,1248,23,750,475
York,New Salem Borough,President,,DEM,Kamala D. Harris,168,4,110,54
York,North York Borough,President,,DEM,Kamala D. Harris,452,7,356,89
York,Railroad Borough,President,,DEM,Kamala D. Harris,36,0,31,5
York,Red Lion Borough 1,President,,DEM,Kamala D. Harris,253,10,166,77
York,Red Lion Borough 2,President,,DEM,Kamala D. Harris,394,10,274,110
York,Red Lion Borough 3,President,,DEM,Kamala D. Harris,402,5,289,108
York,Seven Valleys Borough,President,,DEM,Kamala D. Harris,81,0,57,24
York,Shrewsbury Borough,President,,DEM,Kamala D. Harris,834,4,507,323
York,Spring Grove Borough,President,,DEM,Kamala D. Harris,400,5,285,110
York,Stewartstown Borough,President,,DEM,Kamala D. Harris,456,5,316,135
York,Wellsville Borough,President,,DEM,Kamala D. Harris,38,0,38,0
York,West York Borough 1,President,,DEM,Kamala D. Harris,342,2,251,89
York,West York Borough 2,President,,DEM,Kamala D. Harris,526,9,412,105
York,Windsor Borough,President,,DEM,Kamala D. Harris,188,1,145,42
York,Winterstown Borough,President,,DEM,Kamala D. Harris,76,2,58,16
York,Wrightsville Borough 1,President,,DEM,Kamala D. Harris,106,2,82,22
York,Wrightsville Borough 2,President,,DEM,Kamala D. Harris,111,1,81,29
York,Wrightsville Borough 3,President,,DEM,Kamala D. Harris,156,1,112,43
York,Yoe Borough,President,,DEM,Kamala D. Harris,157,5,119,33
York,Yorkana Borough,President,,DEM,Kamala D. Harris,43,1,29,13
York,York Haven Borough,President,,DEM,Kamala D. Harris,74,0,52,22
York,York City 1,President,,DEM,Kamala D. Harris,328,1,240,87
York,York City 5,President,,DEM,Kamala D. Harris,732,53,469,210
York,York City 6,President,,DEM,Kamala D. Harris,446,31,321,94
York,York City 7,President,,DEM,Kamala D. Harris,380,14,259,107
York,York City 8,President,,DEM,Kamala D. Harris,702,26,489,187
York,York City 9-1,President,,DEM,Kamala D. Harris,468,44,344,80
York,York City 9-2,President,,DEM,Kamala D. Harris,315,6,248,61
York,York City 11,President,,DEM,Kamala D. Harris,730,26,531,173
York,York City 12-1,President,,DEM,Kamala D. Harris,607,61,393,153
York,York City 12-2,President,,DEM,Kamala D. Harris,350,8,270,72
York,York City 12-3,President,,DEM,Kamala D. Harris,344,8,245,91
York,York City 12-4,President,,DEM,Kamala D. Harris,532,11,395,126
York,York City 13,President,,DEM,Kamala D. Harris,366,7,260,99
York,York City 14-1,President,,DEM,Kamala D. Harris,401,10,282,109
York,York City 14-2,President,,DEM,Kamala D. Harris,499,13,326,160
York,York City 14-3,President,,DEM,Kamala D. Harris,593,9,382,202
York,York City 15,President,,DEM,Kamala D. Harris,650,14,434,202
York,Carroll Township,President,,REP,Donald J. Trump,2853,27,2268,558
York,Chanceford Township 1,President,,REP,Donald J. Trump,1261,8,1063,190
York,Chanceford Township 2,President,,REP,Donald J. Trump,490,3,439,48
York,Chanceford Township 3,President,,REP,Donald J. Trump,837,7,747,83
York,Codorus Township 1,President,,REP,Donald J. Trump,580,4,505,71
York,Codorus Township 2,President,,REP,Donald J. Trump,667,10,590,67
York,Codorus Township 3,President,,REP,Donald J. Trump,533,6,465,62
York,Conewago Township 1,President,,REP,Donald J. Trump,2009,21,1602,386
York,Conewago Township 2,President,,REP,Donald J. Trump,1078,8,913,157
York,Dover Township 1,President,,REP,Donald J. Trump,2535,24,2026,485
York,Dover Township 2,President,,REP,Donald J. Trump,2708,23,2129,556
York,Dover Township 3,President,,REP,Donald J. Trump,1726,6,1329,391
York,Dover Township 4,President,,REP,Donald J. Trump,1621,28,1199,394
York,East Hopewell Township,President,,REP,Donald J. Trump,1234,5,1071,158
York,East Manchester Township,President,,REP,Donald J. Trump,2848,29,1857,962
York,Fairview Township 1,President,,REP,Donald J. Trump,1062,8,906,148
York,Fairview Township 2,President,,REP,Donald J. Trump,1650,18,1251,381
York,Fairview Township 3,President,,REP,Donald J. Trump,2604,20,2072,512
