county,precinct,office,district,party,candidate,votes,mail,election_day,provisional
Delaware,ALDAN BOR PRECINCT EASTERN,President,,DEM,Kamala D. Harris,926,227,688,11
Delaware,ALDAN BOR PRECINCT WESTERN,President,,DEM,Kamala D. Harris,717,229,475,13
Delaware,ASTON TWP WD 01,President,,DEM,Kamala D. Harris,642,274,362,6
Delaware,ASTON TWP WD 02,President,,DEM,Kamala D. Harris,925,427,494,4
Delaware,ASTON TWP WD 03,President,,DEM,Kamala D. Harris,616,252,362,2
Delaware,ASTON TWP WD 04,President,,DEM,Kamala D. Harris,521,202,315,4
Delaware,ASTON TWP WD 05,President,,DEM,Kamala D. Harris,557,223,329,5
Delaware,ASTON TWP WD 06,President,,DEM,Kamala D. Harris,620,236,376,8
Delaware,ASTON TWP WD 07,President,,DEM,Kamala D. Harris,540,217,318,5
Delaware,BETHEL TWP PRECINCT 01,President,,DEM,Kamala D. Harris,603,271,331,1
Delaware,BETHEL TWP PRECINCT 02,President,,DEM,Kamala D. Harris,543,201,335,7
Delaware,BETHEL TWP PRECINCT 03,President,,DEM,Kamala D. Harris,570,200,365,5
Delaware,BETHEL TWP PRECINCT 04,President,,DEM,Kamala D. Harris,686,342,343,1
Delaware,BETHEL TWP PRECINCT 05,President,,DEM,Kamala D. Harris,537,214,320,3
Delaware,BETHEL TWP PRECINCT 06,President,,DEM,Kamala D. Harris,342,131,209,2
Delaware,CHADDS FORD TWP PRECINCT NORTHEAST,President,,DEM,Kamala D. Harris,646,302,342,2
Delaware,CHADDS FORD TWP PRECINCT SOUTHWEST,President,,DEM,Kamala D. Harris,737,348,378,11
Delaware,BROOKHAVEN BOR PRECINCT 01,President,,DEM,Kamala D. Harris,676,273,401,2
Delaware,BROOKHAVEN BOR PRECINCT 02,President,,DEM,Kamala D. Harris,343,109,232,2
Delaware,BROOKHAVEN BOR PRECINCT 03,President,,DEM,Kamala D. Harris,454,154,295,5
Delaware,BROOKHAVEN BOR PRECINCT 04,President,,DEM,Kamala D. Harris,330,95,232,3
