county,precinct,office,district,party,candidate,election_day,mail,provisional,votes
Warren,BEAR LAKE BORO,President,,DEM,Kamala D. Harris,10,0,1,11
Warren,BEAR LAKE BORO,President,,REP,Donald J. Trump,59,5,0,64
Warren,BEAR LAKE BORO,President,,LIB,Chase Oliver,0,1,0,1
Warren,BEAR LAKE BORO,President,,GRE,Jill Stein,0,0,0,0
Warren,BEAR LAKE BORO,President,,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,DEM,ROBERT P CASEY JR,10,0,1,11
Warren,BEAR LAKE BORO,U.S. Senate,,REP,DAVE MCCORMICK,57,5,0,62
Warren,BEAR LAKE BORO,U.S. Senate,,LIB,JOHN C THOMAS,1,0,0,1
Warren,BEAR LAKE BORO,U.S. Senate,,GRE,LEILA HAZOU,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,CON,MARTY SELKER,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,DEM,EUGENE DEPASQUALE,8,0,1,9
Warren,BEAR LAKE BORO,Attorney General,,REP,DAVE SUNDAY,59,5,0,64
Warren,BEAR LAKE BORO,Attorney General,,LIB,ROBERT COWBURN,0,1,0,1
Warren,BEAR LAKE BORO,Attorney General,,GRN,RICHARD L WEISS,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,CON,JUSTIN L MAGILL,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,DEM,MALCOLM KENYATTA,7,0,1,8
Warren,BEAR LAKE BORO,Auditor General,,REP,TIM DEFOOR,60,5,0,65
Warren,BEAR LAKE BORO,Auditor General,,LIB,REECE SMITH,0,1,0,1
Warren,BEAR LAKE BORO,Auditor General,,ASP,ERIC K ANTON,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,CON,BOB GOODRICH,2,0,0,2
Warren,BEAR LAKE BORO,Auditor General,,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,DEM,ERIN MCCLELLAND,9,0,1,10
Warren,BEAR LAKE BORO,State Treasurer,,REP,STACY GARRITY,60,5,0,65
Warren,BEAR LAKE BORO,State Treasurer,,LIB,NICKOLAS CIESIELSKI,0,1,0,1
Warren,BEAR LAKE BORO,State Treasurer,,CON,TROY BOWMAN,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,FWD,CHRIS FOSTER,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,U.S. House,15,DEM,ZACH WOMER,7,1,1,9
Warren,BEAR LAKE BORO,U.S. House,15,REP,GLENN GT THOMPSON,59,5,0,64
Warren,BEAR LAKE BORO,U.S. House,15,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,State Senate,21,REP,SCOTT E HUTCHINSON,60,6,1,67
Warren,BEAR LAKE BORO,State Senate,21,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,General Assembly,65,DEM,ERIN WILLMAN,11,1,1,13
Warren,BEAR LAKE BORO,General Assembly,65,REP,KATHY L RAPP,57,5,0,62
Warren,BEAR LAKE BORO,General Assembly,65,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,Referendum,,,YES,10,4,1,15
Warren,BEAR LAKE BORO,Referendum,,,NO,51,2,0,53
Warren,CLARENDON BORO,President,,DEM,Kamala D. Harris,17,18,0,35
Warren,CLARENDON BORO,President,,REP,Donald J. Trump,129,18,1,148
Warren,CLARENDON BORO,President,,LIB,Chase Oliver,0,0,0,0
Warren,CLARENDON BORO,President,,GRE,Jill Stein,1,0,0,1
Warren,CLARENDON BORO,President,,,Write-ins,0,0,0,0
Warren,CLARENDON BORO,U.S. Senate,,DEM,ROBERT P CASEY JR,47,17,0,64
Warren,CLARENDON BORO,U.S. Senate,,REP,DAVE MCCORMICK,114,15,1,130
Warren,CLARENDON BORO,U.S. Senate,,LIB,JOHN C THOMAS,4,2,0,6
Warren,CLARENDON BORO,U.S. Senate,,GRE,LEILA HAZOU,1,0,0,1
Warren,CLARENDON BORO,U.S. Senate,,CON,MARTY SELKER,1,1,0,2
Warren,CLARENDON BORO,U.S. Senate,,,Write-ins,0,0,0,0
Warren,CLARENDON BORO,Attorney General,,DEM,EUGENE DEPASQUALE,32,17,0,49
Warren,CLARENDON BORO,Attorney General,,REP,DAVE SUNDAY,128,15,1,144
Warren,CLARENDON BORO,Attorney General,,LIB,ROBERT COWBURN,3,0,0,3
Warren,CLARENDON BORO,Attorney General,,GRN,RICHARD L WEISS,2,1,0,3
Warren,CLARENDON BORO,Attorney General,,CON,JUSTIN L MAGILL,2,2,0,4
Warren,CLARENDON BORO,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Warren,CLARENDON BORO,Attorney General,,,Write-ins,0,0,0,0
