county,precinct,office,district,party,candidate,votes,provisional,election_day,mail_in_/_absentee
Luzerne,Forty Fort Boro Ward 01,President,,DEM,HARRIS / WALZ,460,11,284,165
Luzerne,Forty Fort Boro Ward 02,President,,DEM,HARRIS / WALZ,367,2,224,141
Luzerne,Forty Fort Boro Ward 03,President,,DEM,HARRIS / WALZ,428,8,235,185
Luzerne,Foster Township Dist 01,President,,DEM,HARRIS / WALZ,213,1,126,86
Luzerne,Foster Township Dist 02,President,,DEM,HARRIS / WALZ,159,0,94,65
Luzerne,Franklin Township,President,,DEM,HARRIS / WALZ,327,3,185,139
Luzerne,Freeland Boro,President,,DEM,HARRIS / WALZ,461,8,285,168
Luzerne,Hanover Township Ward 01,President,,DEM,HARRIS / WALZ,326,5,200,121
Luzerne,Hanover Township Ward 02,President,,DEM,HARRIS / WALZ,371,9,209,153
Luzerne,Hanover Township Ward 03,President,,DEM,HARRIS / WALZ,591,10,345,236
Luzerne,Hanover Township Ward 04,President,,DEM,HARRIS / WALZ,331,6,217,108
Luzerne,Hanover Township Ward 05,President,,DEM,HARRIS / WALZ,342,4,188,150
Luzerne,Hanover Township Ward 06,President,,DEM,HARRIS / WALZ,204,5,116,83
Luzerne,Harveys Lake Boro,President,,DEM,HARRIS / WALZ,590,3,327,260
Luzerne,Hazle Township Dist 01,President,,DEM,HARRIS / WALZ,321,1,184,136
Luzerne,Hazle Township Dist 02,President,,DEM,HARRIS / WALZ,334,17,153,164
Luzerne,Hazle Township Dist 03,President,,DEM,HARRIS / WALZ,183,2,98,83
Luzerne,Hazle Township Dist 04,President,,DEM,HARRIS / WALZ,288,2,163,123
Luzerne,Hazle Township Dist 05,President,,DEM,HARRIS / WALZ,193,3,109,81
Luzerne,Hazleton City Ward 01,President,,DEM,HARRIS / WALZ,349,10,234,105
Luzerne,Hazleton City Ward 02,President,,DEM,HARRIS / WALZ,243,17,154,72
Luzerne,Hazleton City Ward 03,President,,DEM,HARRIS / WALZ,230,1,130,99
Luzerne,Hazleton City Ward 04,President,,DEM,HARRIS / WALZ,229,12,159,58
Luzerne,Hazleton City Ward 05,President,,DEM,HARRIS / WALZ,213,2,138,73
Luzerne,Hazleton City Ward 06,President,,DEM,HARRIS / WALZ,262,8,188,66
Luzerne,Hazleton City Ward 07,President,,DEM,HARRIS / WALZ,289,6,189,94
Luzerne,Hazleton City Ward 08,President,,DEM,HARRIS / WALZ,286,15,191,80
Luzerne,Hazleton City Ward 09,President,,DEM,HARRIS / WALZ,317,10,216,91
Luzerne,Hazleton City Ward 10,President,,DEM,HARRIS / WALZ,179,4,116,59
Luzerne,Hazleton City Ward 11,President,,DEM,HARRIS / WALZ,290,8,199,83
Luzerne,Hollenback Township,President,,DEM,HARRIS / WALZ,126,1,82,43
Luzerne,Hughestown Boro,President,,DEM,HARRIS / WALZ,409,3,263,143
Luzerne,Hunlock Township,President,,DEM,HARRIS / WALZ,326,1,206,119
Luzerne,Huntington Township,President,,DEM,HARRIS / WALZ,265,2,160,103
Luzerne,Jackson Township,President,,DEM,HARRIS / WALZ,664,5,374,285
Luzerne,Jeddo Boro,President,,DEM,HARRIS / WALZ,14,1,12,1
Luzerne,Jenkins Township Dist 01,President,,DEM,HARRIS / WALZ,450,3,268,179
Luzerne,Jenkins Township Dist 02,President,,DEM,HARRIS / WALZ,248,2,144,102
Luzerne,Jenkins Township Dist 03,President,,DEM,HARRIS / WALZ,485,4,228,253
Luzerne,Kingston Boro Ward 01,President,,DEM,HARRIS / WALZ,408,3,233,172
Luzerne,Kingston Boro Ward 02,President,,DEM,HARRIS / WALZ,430,10,252,168
Luzerne,Kingston Boro Ward 03,President,,DEM,HARRIS / WALZ,356,6,235,115
Luzerne,Kingston Boro Ward 04,President,,DEM,HARRIS / WALZ,373,7,210,156
Luzerne,Kingston Boro Ward 05,President,,DEM,HARRIS / WALZ,464,3,216,245
Luzerne,Kingston Boro Ward 06,President,,DEM,HARRIS / WALZ,457,7,311,139
Luzerne,Kingston Boro Ward 07,President,,DEM,HARRIS / WALZ,394,5,222,167
Luzerne,Kingston Boro Ward 08,President,,DEM,HARRIS / WALZ,421,7,234,180
Luzerne,Kingston Township Dist 01,President,,DEM,HARRIS / WALZ,380,5,211,164
Luzerne,Kingston Township Dist 02,President,,DEM,HARRIS / WALZ,648,3,310,335
Luzerne,Kingston Township Dist 03,President,,DEM,HARRIS / WALZ,469,6,193,270
Luzerne,Kingston Township Dist 04,President,,DEM,HARRIS / WALZ,355,3,148,204
Luzerne,Laflin Boro,President,,DEM,HARRIS / WALZ,432,1,261,170
Luzerne,Lake Township,President,,DEM,HARRIS / WALZ,302,2,187,113
Luzerne,Larksville Boro Ward 01,President,,DEM,HARRIS / WALZ,287,2,181,104
Luzerne,Larksville Boro Ward 02,President,,DEM,HARRIS / WALZ,346,4,203,139
Luzerne,Larksville Boro Ward 03,President,,DEM,HARRIS / WALZ,253,1,160,92
Luzerne,Laurel Run Boro,President,,DEM,HARRIS / WALZ,90,1,54,35
Luzerne,Lehman Township Dist 01,President,,DEM,HARRIS / WALZ,173,2,95,76
Luzerne,Lehman Township Dist 02,President,,DEM,HARRIS / WALZ,316,4,166,146
Luzerne,Lehman Township Dist 03,President,,DEM,HARRIS / WALZ,202,3,98,101
Luzerne,Luzerne Boro,President,,DEM,HARRIS / WALZ,703,10,414,279
Luzerne,Nanticoke City Ward 01,President,,DEM,HARRIS / WALZ,235,2,123,110
Luzerne,Nanticoke City Ward 02,President,,DEM,HARRIS / WALZ,358,4,222,132
Luzerne,Nanticoke City Ward 03,President,,DEM,HARRIS / WALZ,410,14,220,176
Luzerne,Nanticoke City Ward 04,President,,DEM,HARRIS / WALZ,424,9,210,205
Luzerne,Nanticoke City Ward 05,President,,DEM,HARRIS / WALZ,314,8,182,124
Luzerne,Nanticoke City Ward 06,President,,DEM,HARRIS / WALZ,320,6,210,104
Luzerne,Nescopeck Boro,President,,DEM,HARRIS / WALZ,178,2,129,47
Luzerne,Nescopeck Township,President,,DEM,HARRIS / WALZ,135,2,101,32
Luzerne,New Columbus Boro,President,,DEM,HARRIS / WALZ,20,0,13,7
Luzerne,Newport Township Ward 01,President,,DEM,HARRIS / WALZ,290,3,171,116
Luzerne,Newport Township Ward 02,President,,DEM,HARRIS / WALZ,486,9,289,188
Luzerne,Nuangola Boro,President,,DEM,HARRIS / WALZ,178,1,130,47
Luzerne,Penn Lake Park Boro,President,,DEM,HARRIS / WALZ,118,0,91,27
Luzerne,Pittston City Ward 01,President,,DEM,HARRIS / WALZ,464,5,299,160
Luzerne,Pittston City Ward 02,President,,DEM,HARRIS / WALZ,558,9,342,207
Luzerne,Pittston City Ward 03,President,,DEM,HARRIS / WALZ,474,12,317,145
Luzerne,Pittston City Ward 04,President,,DEM,HARRIS / WALZ,314,4,181,129
Luzerne,Pittston Township 01,President,,DEM,HARRIS / WALZ,621,8,295,318
Luzerne,Pittston Township 02,President,,DEM,HARRIS / WALZ,277,3,141,133
Luzerne,Plains Township Ward 01,President,,DEM,HARRIS / WALZ,430,2,247,181
Luzerne,Plains Township Ward 02,President,,DEM,HARRIS / WALZ,388,4,224,160
Luzerne,Plains Township Ward 03,President,,DEM,HARRIS / WALZ,561,2,278,281
Luzerne,Plains Township Ward 04,President,,DEM,HARRIS / WALZ,315,5,168,142
Luzerne,Plains Township Ward 05,President,,DEM,HARRIS / WALZ,511,9,249,253
Luzerne,Plymouth Boro Ward 01,President,,DEM,HARRIS / WALZ,368,11,222,135
Luzerne,Plymouth Boro Ward 02,President,,DEM,HARRIS / WALZ,376,7,260,109
Luzerne,Plymouth Boro Ward 03,President,,DEM,HARRIS / WALZ,271,12,171,88
Luzerne,Plymouth Township,President,,DEM,HARRIS / WALZ,297,24,147,126
Luzerne,Pringle Boro,President,,DEM,HARRIS / WALZ,203,1,131,71
Luzerne,Rice Township Dist 01,President,,DEM,HARRIS / WALZ,506,16,222,268
Luzerne,Rice Township Dist 02,President,,DEM,HARRIS / WALZ,338,7,172,159
Luzerne,Ross Township,President,,DEM,HARRIS / WALZ,385,3,230,152
Luzerne,Salem Township Dist 01,President,,DEM,HARRIS / WALZ,209,3,120,86
Luzerne,Salem Township Dist 02,President,,DEM,HARRIS / WALZ,390,2,229,159
Luzerne,Shickshinny Boro,President,,DEM,HARRIS / WALZ,100,1,60,39
Luzerne,Slocum Township,President,,DEM,HARRIS / WALZ,180,1,101,78
Luzerne,Sugar Notch Boro,President,,DEM,HARRIS / WALZ,208,0,112,96
Luzerne,Sugarloaf Township Dist 01,President,,DEM,HARRIS / WALZ,188,1,89,98
Luzerne,Sugarloaf Township Dist 02,President,,DEM,HARRIS / WALZ,205,1,112,92
