county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Bucks,Bedminster Twp East,President,,DEM,Kamala D. Harris,1099,509,583,7
Bucks,Bedminster Twp East,President,,REP,Donald J. Trump,1522,1073,439,10
Bucks,Bedminster Twp East,President,,LIB,Chase Oliver,15,8,7,0
Bucks,Bedminster Twp East,President,,GRN,Jill Stein,11,8,3,0
Bucks,Bedminster Twp East,President,,,Write-in,8,5,3,0
Bucks,Bedminster Twp East,U.S. Senate,,DEM,"Robert P. Casey, Jr.",1072,488,574,10
Bucks,Bedminster Twp East,U.S. Senate,,REP,Dave McCormick,1511,1070,435,6
Bucks,Bedminster Twp East,U.S. Senate,,LIB,John C. Thomas,44,28,16,0
Bucks,Bedminster Twp East,U.S. Senate,,GRN,Leila Hazou,20,13,7,0
Bucks,Bedminster Twp East,U.S. Senate,,CST,Marty Selker,1,1,0,0
Bucks,Bedminster Twp East,U.S. Senate,,,Write-in,1,0,1,0
Bucks,Bedminster Twp East,Attorney General,,DEM,Eugene DePasquale,958,429,522,7
Bucks,Bedminster Twp East,Attorney General,,REP,Dave Sunday,1594,1114,472,8
Bucks,Bedminster Twp East,Attorney General,,LIB,Robert Cowburn,35,23,11,1
Bucks,Bedminster Twp East,Attorney General,,GRN,Richard L. Weiss,18,12,6,0
Bucks,Bedminster Twp East,Attorney General,,CST,Justin L. Magill,9,7,2,0
Bucks,Bedminster Twp East,Attorney General,,FWD,Eric L. Settle,10,3,7,0
Bucks,Bedminster Twp East,Attorney General,,,Write-in,1,0,1,0
Bucks,Bedminster Twp East,Auditor General,,DEM,Malcolm Kenyatta,948,426,514,8
Bucks,Bedminster Twp East,Auditor General,,REP,Tim DeFoor,1582,1097,477,8
Bucks,Bedminster Twp East,Auditor General,,LIB,Reece Smith,55,36,19,0
Bucks,Bedminster Twp East,Auditor General,,ASP,Eric K. Anton,2,1,1,0
Bucks,Bedminster Twp East,Auditor General,,CST,Bob Goodrich,14,12,2,0
Bucks,Bedminster Twp East,Auditor General,,,Write-in,1,0,1,0
Bucks,Bedminster Twp East,State Treasurer,,DEM,Erin McClelland,961,440,513,8
Bucks,Bedminster Twp East,State Treasurer,,REP,Stacy Garrity,1582,1097,477,8
Bucks,Bedminster Twp East,State Treasurer,,LIB,Nickolas Ciesielski,43,28,15,0
Bucks,Bedminster Twp East,State Treasurer,,CST,Troy Bowman,10,9,1,0
Bucks,Bedminster Twp East,State Treasurer,,FWD,Chris Foster,7,2,5,0
Bucks,Bedminster Twp East,State Treasurer,,,Write-in,2,0,2,0
Bucks,Bedminster Twp East,U.S. House,1,DEM,Ashley Ehasz,935,416,513,6
Bucks,Bedminster Twp East,U.S. House,1,REP,Brian Fitzpatrick,1642,1134,498,10
Bucks,Bedminster Twp East,U.S. House,1,,Write-in,29,19,10,0
Bucks,Bedminster Twp East,State House,143,DEM,Eleanor Breslin,993,455,530,8
Bucks,Bedminster Twp East,State House,143,REP,Shelby Labs,1620,1125,488,7
Bucks,Bedminster Twp East,State House,143,,Write-in,4,2,2,0
Bucks,Bedminster Twp West,President,,DEM,Kamala D. Harris,1108,516,586,6
Bucks,Bedminster Twp West,President,,REP,Donald J. Trump,1382,928,447,7
Bucks,Bedminster Twp West,President,,LIB,Chase Oliver,12,8,4,0
Bucks,Bedminster Twp West,President,,GRN,Jill Stein,9,3,6,0
Bucks,Bedminster Twp West,President,,,Write-in,16,14,2,0
Bucks,Bedminster Twp West,U.S. Senate,,DEM,"Robert P. Casey, Jr.",1080,507,567,6
Bucks,Bedminster Twp West,U.S. Senate,,REP,Dave McCormick,1409,941,461,7
Bucks,Bedminster Twp West,U.S. Senate,,LIB,John C. Thomas,17,14,3,0
Bucks,Bedminster Twp West,U.S. Senate,,GRN,Leila Hazou,14,4,10,0
Bucks,Bedminster Twp West,U.S. Senate,,CST,Marty Selker,6,2,4,0
Bucks,Bedminster Twp West,U.S. Senate,,,Write-in,2,2,0,0
Bucks,Bedminster Twp West,Attorney General,,DEM,Eugene DePasquale,1003,469,528,6
Bucks,Bedminster Twp West,Attorney General,,REP,Dave Sunday,1458,962,489,7
Bucks,Bedminster Twp West,Attorney General,,LIB,Robert Cowburn,19,17,2,0
