county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Centre,1 BELLEFONTE NORTH,President,,DEM,KAMALA D HARRIS,243,171,71,1
Centre,1 BELLEFONTE NORTH,President,,REP,DONALD J TRUMP,152,127,25,0
Centre,1 BELLEFONTE NORTH,President,,LIB,CHASE OLIVER,5,5,0,0
Centre,1 BELLEFONTE NORTH,President,,GRN,JILL STEIN,0,0,0,0
Centre,1 BELLEFONTE NORTH,President,,,Write-ins,1,1,0,0
Centre,1 BELLEFONTE NORTH,U.S. Senate,,DEM,ROBERT P CASEY JR,245,176,68,1
Centre,1 BELLEFONTE NORTH,U.S. Senate,,REP,DAVE MCCORMICK,146,122,24,0
Centre,1 BELLEFONTE NORTH,U.S. Senate,,LIB,JOHN C THOMAS,5,3,2,0
Centre,1 BELLEFONTE NORTH,U.S. Senate,,GRN,LEILA HAZOU,1,1,0,0
Centre,1 BELLEFONTE NORTH,U.S. Senate,,CST,MARTY SELKER,1,1,0,0
Centre,1 BELLEFONTE NORTH,U.S. Senate,,,Write-ins,0,0,0,0
Centre,1 BELLEFONTE NORTH,Attorney General,,DEM,EUGENE DEPASQUALE,228,163,65,0
Centre,1 BELLEFONTE NORTH,Attorney General,,REP,DAVE SUNDAY,155,130,25,0
Centre,1 BELLEFONTE NORTH,Attorney General,,LIB,ROBERT COWBURN,5,5,0,0
Centre,1 BELLEFONTE NORTH,Attorney General,,GRN,RICHARD L WEISS,4,1,3,0
Centre,1 BELLEFONTE NORTH,Attorney General,,CST,JUSTIN L MAGILL,3,3,0,0
Centre,1 BELLEFONTE NORTH,Attorney General,,FWD,ERIC L SETTLE,2,1,0,1
Centre,1 BELLEFONTE NORTH,Attorney General,,,Write-ins,0,0,0,0
Centre,1 BELLEFONTE NORTH,Auditor General,,DEM,MALCOLM KENYATTA,227,160,66,1
Centre,1 BELLEFONTE NORTH,Auditor General,,REP,TIM DEFOOR,157,132,25,0
Centre,1 BELLEFONTE NORTH,Auditor General,,LIB,REECE SMITH,9,8,1,0
Centre,1 BELLEFONTE NORTH,Auditor General,,ASP,ERIC K ANTON,0,0,0,0
Centre,1 BELLEFONTE NORTH,Auditor General,,CST,BOB GOODRICH,2,1,1,0
Centre,1 BELLEFONTE NORTH,Auditor General,,,Write-ins,0,0,0,0
Centre,1 BELLEFONTE NORTH,State Treasurer,,DEM,ERIN MCCLELLAND,217,152,65,0
Centre,1 BELLEFONTE NORTH,State Treasurer,,REP,STACY GARRITY,166,138,28,0
