county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Columbia,BEAVER TWP,President,,DEM,Joseph R Biden Jr,49,,,
Columbia,BEAVER TWP,President,,DEM,Dean Phillips,7,,,
Columbia,BEAVER TWP,President,,DEM,Write-In Totals,3,,,
Columbia,BENTON TWP,President,,DEM,Joseph R Biden Jr,51,,,
Columbia,BENTON TWP,President,,DEM,Dean Phillips,11,,,
Columbia,BENTON TWP,President,,DEM,Write-In Totals,5,,,
Columbia,BENTON BOROUGH,President,,DEM,Joseph R Biden Jr,31,,,
Columbia,BENTON BOROUGH,President,,DEM,Dean Phillips,3,,,
Columbia,BENTON BOROUGH,President,,DEM,Write-In Totals,1,,,
Columbia,BERWICK 1ST WARD,President,,DEM,Joseph R Biden Jr,134,,,
Columbia,BERWICK 1ST WARD,President,,DEM,Dean Phillips,17,,,
Columbia,BERWICK 1ST WARD,President,,DEM,Write-In Totals,11,,,
Columbia,BERWICK 2ND WARD,President,,DEM,Joseph R Biden Jr,53,,,
Columbia,BERWICK 2ND WARD,President,,DEM,Dean Phillips,7,,,
Columbia,BERWICK 2ND WARD,President,,DEM,Write-In Totals,6,,,
Columbia,BERWICK 3RD WARD,President,,DEM,Joseph R Biden Jr,73,,,
Columbia,BERWICK 3RD WARD,President,,DEM,Dean Phillips,17,,,
Columbia,BERWICK 3RD WARD,President,,DEM,Write-In Totals,9,,,
Columbia,BERWICK 4TH WARD,President,,DEM,Joseph R Biden Jr,116,,,
Columbia,BERWICK 4TH WARD,President,,DEM,Dean Phillips,14,,,
Columbia,BERWICK 4TH WARD,President,,DEM,Write-In Totals,8,,,
Columbia,BLOOMSBURG 1ST WARD,President,,DEM,Joseph R Biden Jr,46,,,
Columbia,BLOOMSBURG 1ST WARD,President,,DEM,Dean Phillips,10,,,
Columbia,BLOOMSBURG 1ST WARD,President,,DEM,Write-In Totals,3,,,
Columbia,BLOOMSBURG 2ND WARD,President,,DEM,Joseph R Biden Jr,138,,,
Columbia,BLOOMSBURG 2ND WARD,President,,DEM,Dean Phillips,8,,,
Columbia,BLOOMSBURG 2ND WARD,President,,DEM,Write-In Totals,8,,,
Columbia,BLOOMSBURG 3-1 WARD,President,,DEM,Joseph R Biden Jr,147,,,
Columbia,BLOOMSBURG 3-1 WARD,President,,DEM,Dean Phillips,8,,,
Columbia,BLOOMSBURG 3-1 WARD,President,,DEM,Write-In Totals,10,,,
Columbia,BLOOMSBURG 3-2 WARD,President,,DEM,Joseph R Biden Jr,23,,,
Columbia,BLOOMSBURG 3-2 WARD,President,,DEM,Dean Phillips,4,,,
Columbia,BLOOMSBURG 3-2 WARD,President,,DEM,Write-In Totals,7,,,
Columbia,BLOOMSBURG 4TH WARD,President,,DEM,Joseph R Biden Jr,128,,,
Columbia,BLOOMSBURG 4TH WARD,President,,DEM,Dean Phillips,6,,,
Columbia,BLOOMSBURG 4TH WARD,President,,DEM,Write-In Totals,5,,,
Columbia,BRIARCREEK TWP NORTHEAST,President,,DEM,Joseph R Biden Jr,60,,,
Columbia,BRIARCREEK TWP NORTHEAST,President,,DEM,Dean Phillips,8,,,
Columbia,BRIARCREEK TWP NORTHEAST,President,,DEM,Write-In Totals,7,,,
Columbia,BRIARCREEK TWP WEST,President,,DEM,Joseph R Biden Jr,64,,,
Columbia,BRIARCREEK TWP WEST,President,,DEM,Dean Phillips,9,,,
Columbia,BRIARCREEK TWP WEST,President,,DEM,Write-In Totals,9,,,
Columbia,BRIARCREEK BORO,President,,DEM,Joseph R Biden Jr,21,,,
Columbia,BRIARCREEK BORO,President,,DEM,Dean Phillips,6,,,
Columbia,BRIARCREEK BORO,President,,DEM,Write-In Totals,0,,,
Columbia,CATAWISSA TWP,President,,DEM,Joseph R Biden Jr,43,,,
Columbia,CATAWISSA TWP,President,,DEM,Dean Phillips,9,,,
Columbia,CATAWISSA TWP,President,,DEM,Write-In Totals,1,,,
Columbia,CATAWISSA BOROUGH,President,,DEM,Joseph R Biden Jr,41,,,
Columbia,CATAWISSA BOROUGH,President,,DEM,Dean Phillips,5,,,
Columbia,CATAWISSA BOROUGH,President,,DEM,Write-In Totals,6,,,
Columbia,CENTRALIA BOROUGH,President,,DEM,Joseph R Biden Jr,0,,,
Columbia,CENTRALIA BOROUGH,President,,DEM,Dean Phillips,1,,,
Columbia,CENTRALIA BOROUGH,President,,DEM,Write-In Totals,0,,,
Columbia,CLEVELAND TWP,President,,DEM,Joseph R Biden Jr,60,,,
Columbia,CLEVELAND TWP,President,,DEM,Dean Phillips,8,,,
Columbia,CLEVELAND TWP,President,,DEM,Write-In Totals,4,,,
Columbia,CONYNGHAM TWP,President,,DEM,Joseph R Biden Jr,34,,,
Columbia,CONYNGHAM TWP,President,,DEM,Dean Phillips,7,,,
Columbia,CONYNGHAM TWP,President,,DEM,Write-In Totals,5,,,
Columbia,FISHINGCREEK TWP,President,,DEM,Joseph R Biden Jr,61,,,
Columbia,FISHINGCREEK TWP,President,,DEM,Dean Phillips,11,,,
Columbia,FISHINGCREEK TWP,President,,DEM,Write-In Totals,6,,,
Columbia,FRANKLIN TWP,President,,DEM,Joseph R Biden Jr,28,,,
Columbia,FRANKLIN TWP,President,,DEM,Dean Phillips,9,,,
Columbia,FRANKLIN TWP,President,,DEM,Write-In Totals,2,,,
Columbia,GREENWOOD TWP,President,,DEM,Joseph R Biden Jr,76,,,
Columbia,GREENWOOD TWP,President,,DEM,Dean Phillips,16,,,
Columbia,GREENWOOD TWP,President,,DEM,Write-In Totals,9,,,
Columbia,HEMLOCK TWP,President,,DEM,Joseph R Biden Jr,154,,,
Columbia,HEMLOCK TWP,President,,DEM,Dean Phillips,9,,,
Columbia,HEMLOCK TWP,President,,DEM,Write-In Totals,7,,,
Columbia,JACKSON TWP,President,,DEM,Joseph R Biden Jr,26,,,
Columbia,JACKSON TWP,President,,DEM,Dean Phillips,3,,,
Columbia,JACKSON TWP,President,,DEM,Write-In Totals,5,,,
Columbia,LOCUST TWP,President,,DEM,Joseph R Biden Jr,67,,,
Columbia,LOCUST TWP,President,,DEM,Dean Phillips,8,,,
Columbia,LOCUST TWP,President,,DEM,Write-In Totals,6,,,
Columbia,MADISON TWP,President,,DEM,Joseph R Biden Jr,81,,,
