county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Huntingdon,ALEXANDRIA,Registered Voters,,,,263,,,
Huntingdon,ALEXANDRIA,Ballots Cast,,,,210,184,26,0
Huntingdon,ALEXANDRIA,Ballots Cast - Blank,,,,0,0,0,0
Huntingdon,ALEXANDRIA,President,,DEM,HARRIS / WALZ,75,57,18,0
Huntingdon,ALEXANDRIA,President,,REP,TRUMP / VANCE,132,124,8,0
Huntingdon,ALEXANDRIA,President,,LIB,OLIVER / TER MAAT,1,1,0,0
Huntingdon,ALEXANDRIA,President,,GRN,STEIN / WARE,1,1,0,0
Huntingdon,ALEXANDRIA,President,,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,President,,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,President,,,Undervotes,1,1,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,DEM,ROBERT P CASEY JR,76,58,18,0
Huntingdon,ALEXANDRIA,U.S. Senate,,REP,DAVE MCCORMICK,128,121,7,0
Huntingdon,ALEXANDRIA,U.S. Senate,,LIB,JOHN C THOMAS,1,1,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,GRN,LEILA HAZOU,0,0,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,U.S. Senate,,,Undervotes,3,2,1,0
Huntingdon,ALEXANDRIA,Attorney General,,DEM,EUGENE DEPASQUALE,67,49,18,0
Huntingdon,ALEXANDRIA,Attorney General,,REP,DAVE SUNDAY,135,129,6,0
Huntingdon,ALEXANDRIA,Attorney General,,LIB,ROBERT COWBURN,2,2,0,0
Huntingdon,ALEXANDRIA,Attorney General,,GRN,RICHARD L WEISS,2,2,0,0
Huntingdon,ALEXANDRIA,Attorney General,,CST,JUSTIN L MAGILL,1,1,0,0
Huntingdon,ALEXANDRIA,Attorney General,,FWD,ERIC L SETTLE,1,1,0,0
Huntingdon,ALEXANDRIA,Attorney General,,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,Attorney General,,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,Attorney General,,,Undervotes,2,0,2,0
Huntingdon,ALEXANDRIA,Auditor General,,DEM,MALCOLM KENYATTA,66,50,16,0
Huntingdon,ALEXANDRIA,Auditor General,,REP,TIM DEFOOR,135,127,8,0
Huntingdon,ALEXANDRIA,Auditor General,,LIB,REECE SMITH,4,4,0,0
Huntingdon,ALEXANDRIA,Auditor General,,AST,ERIC K ANTON,2,2,0,0
Huntingdon,ALEXANDRIA,Auditor General,,CST,BOB GOODRICH,0,0,0,0
Huntingdon,ALEXANDRIA,Auditor General,,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,Auditor General,,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,Auditor General,,,Undervotes,3,1,2,0
Huntingdon,ALEXANDRIA,State Treasurer,,DEM,ERIN MCCLELLAND,67,50,17,0
Huntingdon,ALEXANDRIA,State Treasurer,,REP,STACY GARRITY,135,128,7,0
Huntingdon,ALEXANDRIA,State Treasurer,,LIB,NICKOLAS CIESIELSKI,3,3,0,0
Huntingdon,ALEXANDRIA,State Treasurer,,CST,TROY BOWMAN,1,1,0,0
Huntingdon,ALEXANDRIA,State Treasurer,,FWD,CHRIS FOSTER,0,0,0,0
Huntingdon,ALEXANDRIA,State Treasurer,,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,State Treasurer,,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,State Treasurer,,,Undervotes,4,2,2,0
Huntingdon,ALEXANDRIA,U.S. House,13,DEM,BETH FARNHAM,68,51,17,0
Huntingdon,ALEXANDRIA,U.S. House,13,REP,JOHN JOYCE,138,131,7,0
Huntingdon,ALEXANDRIA,U.S. House,13,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,U.S. House,13,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,U.S. House,13,,Undervotes,4,2,2,0
Huntingdon,ALEXANDRIA,General Assembly,81,DEM,SEAN STEEG,59,43,16,0
Huntingdon,ALEXANDRIA,General Assembly,81,REP,RICH IRVIN,148,139,9,0
Huntingdon,ALEXANDRIA,General Assembly,81,,Write-ins,0,0,0,0
Huntingdon,ALEXANDRIA,General Assembly,81,,Overvotes,0,0,0,0
Huntingdon,ALEXANDRIA,General Assembly,81,,Undervotes,3,2,1,0
Huntingdon,BARREE,Registered Voters,,,,316,,,
Huntingdon,BARREE,Ballots Cast,,,,274,225,49,0
Huntingdon,BARREE,Ballots Cast - Blank,,,,0,0,0,0
Huntingdon,BARREE,President,,DEM,HARRIS / WALZ,50,26,24,0
Huntingdon,BARREE,President,,REP,TRUMP / VANCE,219,195,24,0
Huntingdon,BARREE,President,,LIB,OLIVER / TER MAAT,2,2,0,0
Huntingdon,BARREE,President,,GRN,STEIN / WARE,0,0,0,0
Huntingdon,BARREE,President,,,Write-ins,2,1,1,0
Huntingdon,BARREE,President,,,Overvotes,0,0,0,0
Huntingdon,BARREE,President,,,Undervotes,1,1,0,0
Huntingdon,BARREE,U.S. Senate,,DEM,ROBERT P CASEY JR,52,28,24,0
Huntingdon,BARREE,U.S. Senate,,REP,DAVE MCCORMICK,211,188,23,0
Huntingdon,BARREE,U.S. Senate,,LIB,JOHN C THOMAS,9,7,2,0
Huntingdon,BARREE,U.S. Senate,,GRN,LEILA HAZOU,1,1,0,0
Huntingdon,BARREE,U.S. Senate,,CST,MARTY SELKER,0,0,0,0
Huntingdon,BARREE,U.S. Senate,,,Write-ins,0,0,0,0
Huntingdon,BARREE,U.S. Senate,,,Overvotes,0,0,0,0
Huntingdon,BARREE,U.S. Senate,,,Undervotes,1,1,0,0
Huntingdon,BARREE,Attorney General,,DEM,EUGENE DEPASQUALE,50,28,22,0
Huntingdon,BARREE,Attorney General,,REP,DAVE SUNDAY,216,191,25,0
Huntingdon,BARREE,Attorney General,,LIB,ROBERT COWBURN,4,3,1,0
Huntingdon,BARREE,Attorney General,,GRN,RICHARD L WEISS,1,0,1,0
