county,precinct,office,district,candidate,party,mail,election_day,provisional,votes
Fulton,Ayr Township,Registered Voters,,,,,,,1404
Fulton,Ayr Township,Ballots Cast,,,,,,,1179
Fulton,Ayr Township,President,,KAMALA D HARRIS,DEM,61,100,0,161
Fulton,Ayr Township,President,,DONALD J TRUMP,REP,164,847,0,1011
Fulton,Ayr Township,President,,CHASE OLIVER,LIB,0,2,0,2
Fulton,Ayr Township,President,,JILL STEIN,GRN,1,1,0,2
Fulton,Ayr Township,President,,Under Votes,,1,2,0,3
Fulton,Ayr Township,President,,Over Votes,,0,0,0,0
Fulton,Ayr Township,U.S. Senate,,ROBERT P CASEY JR,DEM,63,109,0,172
Fulton,Ayr Township,U.S. Senate,,DAVE MCCORMICK,REP,159,811,0,970
Fulton,Ayr Township,U.S. Senate,,JOHN C THOMAS,LIB,1,11,0,12
Fulton,Ayr Township,U.S. Senate,,LEILA HAZOU,GRN,0,3,0,3
Fulton,Ayr Township,U.S. Senate,,MARTY SELKER,CON,0,2,0,2
Fulton,Ayr Township,U.S. Senate,,Under Votes,,3,16,0,19
Fulton,Ayr Township,U.S. Senate,,Over Votes,,1,0,0,1
Fulton,Ayr Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,58,89,0,147
Fulton,Ayr Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,159,814,0,973
Fulton,Ayr Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,1,10,0,11
Fulton,Ayr Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,1,0,1
Fulton,Ayr Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,4,0,4
Fulton,Ayr Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,3,0,4
Fulton,Ayr Township,ATTORNEY GENERAL,,Under Votes,,8,31,0,39
Fulton,Ayr Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Ayr Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,58,80,0,138
Fulton,Ayr Township,AUDITOR GENERAL,,TIM DEFOOR,REP,161,817,0,978
Fulton,Ayr Township,AUDITOR GENERAL,,REECE SMITH,LIB,1,10,0,11
Fulton,Ayr Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,2,0,2
Fulton,Ayr Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,9,0,9
Fulton,Ayr Township,AUDITOR GENERAL,,Under Votes,,7,34,0,41
Fulton,Ayr Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Ayr Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,58,84,0,142
Fulton,Ayr Township,STATE TREASURER,,STACY GARRITY,REP,161,826,0,987
Fulton,Ayr Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,2,0,3
Fulton,Ayr Township,STATE TREASURER,,TROY BOWMAN,CON,0,7,0,7
Fulton,Ayr Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,2,0,2
Fulton,Ayr Township,STATE TREASURER,,Under Votes,,7,31,0,38
Fulton,Ayr Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Ayr Township,U.S. House,13,BETH FARNHAM,DEM,59,94,0,153
Fulton,Ayr Township,U.S. House,13,JOHN JOYCE,REP,165,838,0,1003
Fulton,Ayr Township,U.S. House,13,Under Votes,,3,20,0,23
Fulton,Ayr Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Ayr Township,General Assembly,78,JESSE TOPPER,REP,190,884,0,1074
