county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Beaver,0001 ADAMS TOWNSHIP 1,,,,Registered Voters,3957,,,
Beaver,0001 ADAMS TOWNSHIP 1,,,,Ballots Cast,2446,2323,122,1
Beaver,0001 ADAMS TOWNSHIP 1,STRAIGHT PARTY VOTING,,DEM,DEMOCRATIC,521,491,29,1
Beaver,0001 ADAMS TOWNSHIP 1,STRAIGHT PARTY VOTING,,REP,REPUBLICAN,811,758,53,0
Beaver,0001 ADAMS TOWNSHIP 1,STRAIGHT PARTY VOTING,,GRN,GREEN,1,1,0,0
Beaver,0001 ADAMS TOWNSHIP 1,STRAIGHT PARTY VOTING,,IND,INDEPENDENT,0,0,0,0
Beaver,0001 ADAMS TOWNSHIP 1,STRAIGHT PARTY VOTING,,LIB,LIBERTARIAN,1,1,0,0
Beaver,0001 ADAMS TOWNSHIP 1,UNITED STATES SENATOR,,DEM,"BOB CASEY, JR",1047,996,50,1
Beaver,0001 ADAMS TOWNSHIP 1,UNITED STATES SENATOR,,REP,LOU BARLETTA,1369,1297,72,0
Beaver,0001 ADAMS TOWNSHIP 1,UNITED STATES SENATOR,,GRN,NEAL GALE,6,6,0,0
Beaver,0001 ADAMS TOWNSHIP 1,UNITED STATES SENATOR,,LIB,"DALE R KERNS, JR",15,15,0,0
Beaver,0001 ADAMS TOWNSHIP 1,UNITED STATES SENATOR,,,Write-ins,1,1,0,0
Beaver,0001 ADAMS TOWNSHIP 1,GOVERNOR,,DEM,TOM WOLF,1115,1066,48,1
Beaver,0001 ADAMS TOWNSHIP 1,GOVERNOR,,REP,SCOTT R WAGNER,1295,1222,73,0
Beaver,0001 ADAMS TOWNSHIP 1,GOVERNOR,,GRN,PAUL GLOVER,4,4,0,0
Beaver,0001 ADAMS TOWNSHIP 1,GOVERNOR,,LIB,KEN V KRAWCHUK,24,24,0,0
Beaver,0001 ADAMS TOWNSHIP 1,GOVERNOR,,,Write-ins,1,1,0,0
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,DEM,RON DINICOLA,947,903,43,1
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,REP,MIKE KELLY,1473,1396,77,0
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,LIB,EBERT G BILL BEEMAN,23,21,2,0
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,Write-ins,0,0,0,0
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE,,DEM,"DANIEL B SMITH, JR",1105,1057,47,1
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE,,REP,DARYL METCALFE,1319,1244,75,0
Beaver,0001 ADAMS TOWNSHIP 1,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE,,,Write-ins,2,2,0,0
Beaver,0002 ADAMS TOWNSHIP 2,,,,Registered Voters,3140,,,
Beaver,0002 ADAMS TOWNSHIP 2,,,,Ballots Cast,1956,1777,173,6
Beaver,0002 ADAMS TOWNSHIP 2,STRAIGHT PARTY VOTING,,DEM,DEMOCRATIC,330,292,37,1
Beaver,0002 ADAMS TOWNSHIP 2,STRAIGHT PARTY VOTING,,REP,REPUBLICAN,759,693,65,1
Beaver,0002 ADAMS TOWNSHIP 2,STRAIGHT PARTY VOTING,,GRN,GREEN,1,1,0,0
Beaver,0002 ADAMS TOWNSHIP 2,STRAIGHT PARTY VOTING,,IND,INDEPENDENT,0,0,0,0
Beaver,0002 ADAMS TOWNSHIP 2,STRAIGHT PARTY VOTING,,LIB,LIBERTARIAN,2,2,0,0
Beaver,0002 ADAMS TOWNSHIP 2,UNITED STATES SENATOR,,DEM,"BOB CASEY, JR",702,631,70,1
Beaver,0002 ADAMS TOWNSHIP 2,UNITED STATES SENATOR,,REP,LOU BARLETTA,1212,1106,101,5
Beaver,0002 ADAMS TOWNSHIP 2,UNITED STATES SENATOR,,GRN,NEAL GALE,5,5,0,0
Beaver,0002 ADAMS TOWNSHIP 2,UNITED STATES SENATOR,,LIB,"DALE R KERNS, JR",21,20,1,0
Beaver,0002 ADAMS TOWNSHIP 2,UNITED STATES SENATOR,,,Write-ins,2,2,0,0
Beaver,0002 ADAMS TOWNSHIP 2,GOVERNOR,,DEM,TOM WOLF,756,686,69,1
Beaver,0002 ADAMS TOWNSHIP 2,GOVERNOR,,REP,SCOTT R WAGNER,1158,1052,101,5
Beaver,0002 ADAMS TOWNSHIP 2,GOVERNOR,,GRN,PAUL GLOVER,7,7,0,0
Beaver,0002 ADAMS TOWNSHIP 2,GOVERNOR,,LIB,KEN V KRAWCHUK,24,22,2,0
Beaver,0002 ADAMS TOWNSHIP 2,GOVERNOR,,,Write-ins,3,3,0,0
Beaver,0002 ADAMS TOWNSHIP 2,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,DEM,RON DINICOLA,646,581,64,1
Beaver,0002 ADAMS TOWNSHIP 2,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,REP,MIKE KELLY,1281,1171,105,5
Beaver,0002 ADAMS TOWNSHIP 2,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,LIB,EBERT G BILL BEEMAN,21,18,3,0
Beaver,0002 ADAMS TOWNSHIP 2,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,Write-ins,1,1,0,0
Beaver,0002 ADAMS TOWNSHIP 2,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE,,DEM,"DANIEL B SMITH, JR",729,658,70,1
