candidate,office,district,party,county,precinct,total votes,
Bob Casey,U.S. Senate,,DEM,Cambria,Adams Twp 1,262,
Lou Barletta,U.S. Senate,,REP,Cambria,Adams Twp 1,399,
Neal Gale,U.S. Senate,,GR,Cambria,Adams Twp 1,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Adams Twp 1,5,
Write In,U.S. Senate,,,Cambria,Adams Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Adams Twp 1,278,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Adams Twp 1,387,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Adams Twp 1,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Adams Twp 1,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Adams Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Adams Twp 1,,
John Joyce,US House,13,REP,Cambria,Adams Twp 1,,
Write In,US House,13,,Cambria,Adams Twp 1,,
Susan Boser,US House,15,DEM,Cambria,Adams Twp 1,212,
Glenn Gt Thompson,US House,15,REP,Cambria,Adams Twp 1,458,
Write In,US House,15,,Cambria,Adams Twp 1,0,
Bryan Barbin,State House,71,DEM,Cambria,Adams Twp 1,299,
Jim Rigby,State House,71,REP,Cambria,Adams Twp 1,370,
Write In,State House,71,,Cambria,Adams Twp 1,2,
Frank Burns,State House,72,DEM,Cambria,Adams Twp 1,,
Jerry Carnicella,State House,72,REP,Cambria,Adams Twp 1,,
Write In,State House,72,,Cambria,Adams Twp 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Adams Twp 1,,
Write In,State House,73,,Cambria,Adams Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Adams Twp-Dunlo,134,
Lou Barletta,U.S. Senate,,REP,Cambria,Adams Twp-Dunlo,163,
Neal Gale,U.S. Senate,,GR,Cambria,Adams Twp-Dunlo,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Adams Twp-Dunlo,4,
Write In,U.S. Senate,,,Cambria,Adams Twp-Dunlo,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Adams Twp-Dunlo,132,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Adams Twp-Dunlo,167,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Adams Twp-Dunlo,2,
