county,precinct,precinct_name,party,office,district,candidate,votes
Centre,1,01 BELLEFONTE NORTH,,REGISTERED VOTERS - TOTAL,,,512
Centre,1,01 BELLEFONTE NORTH,,BALLOTS CAST - TOTAL,,,357
Centre,1,01 BELLEFONTE NORTH,,VOTER TURNOUT - TOTAL,,,
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,STRAIGHT PARTY,,DEMOCRATIC,87
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,STRAIGHT PARTY,,REPUBLICAN,83
Centre,1,01 BELLEFONTE NORTH,GREEN,STRAIGHT PARTY,,GREEN,0
Centre,1,01 BELLEFONTE NORTH,LIBERTARIAN,STRAIGHT PARTY,,LIBERTARIAN,0
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,UNITED STATES SENATOR,,BOB CASEY JR,201
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,UNITED STATES SENATOR,,LOU BARLETTA,145
Centre,1,01 BELLEFONTE NORTH,GREEN,UNITED STATES SENATOR,,NEAL GALE,5
Centre,1,01 BELLEFONTE NORTH,LIBERTARIAN,UNITED STATES SENATOR,,DALE R KERNS JR,4
Centre,1,01 BELLEFONTE NORTH,,UNITED STATES SENATOR,,WRITE-IN,0
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,GOVERNOR AND LIEUTENANT GOVERNOR,,TOM WOLF,206
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,GOVERNOR AND LIEUTENANT GOVERNOR,,SCOTT R WAGNER,140
Centre,1,01 BELLEFONTE NORTH,GREEN,GOVERNOR AND LIEUTENANT GOVERNOR,,PAUL GLOVER,4
Centre,1,01 BELLEFONTE NORTH,LIBERTARIAN,GOVERNOR AND LIEUTENANT GOVERNOR,,KEN V KRAWCHUK,5
Centre,1,01 BELLEFONTE NORTH,,GOVERNOR AND LIEUTENANT GOVERNOR,,WRITE-IN,0
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL,,SUSAN BOSER,185
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL,,GLENN GT THOMPSON,171
Centre,1,01 BELLEFONTE NORTH,,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL,,WRITE-IN,0
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,SENATOR IN THE GENERAL ASSEMBLY 34TH SENATORIAL,,EZRA NANES,182
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,SENATOR IN THE GENERAL ASSEMBLY 34TH SENATORIAL,,JACOB D CORMAN III,171
Centre,1,01 BELLEFONTE NORTH,,SENATOR IN THE GENERAL ASSEMBLY 34TH SENATORIAL,,WRITE-IN,2
Centre,1,01 BELLEFONTE NORTH,DEMOCRATIC,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171ST LEGISLATIVE,,ERIN MCCRACKEN,161
Centre,1,01 BELLEFONTE NORTH,REPUBLICAN,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171ST LEGISLATIVE,,KERRY A BENNINGHOFF,194
Centre,1,01 BELLEFONTE NORTH,,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171ST LEGISLATIVE,,WRITE-IN,0
Centre,2,02 BELLEFONTE NORTHEAST,,REGISTERED VOTERS - TOTAL,,,862
Centre,2,02 BELLEFONTE NORTHEAST,,BALLOTS CAST - TOTAL,,,637
Centre,2,02 BELLEFONTE NORTHEAST,,VOTER TURNOUT - TOTAL,,,
