county,precinct,office,district,party,candidate,election_day,absentee,provisional,emergency,votes
Dauphin,"City--1st Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--1st Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,"City--1st Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--2nd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,"City--2nd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,City--3rd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,City--4th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,1,0,0,13
Dauphin,City--5th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,0,0,0,11
Dauphin,City--6th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,"City--7th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--7th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,0,0,0,0,0
Dauphin,City--8th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,1,0,0,5
Dauphin,"City--9th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,1,0,0,0,1
Dauphin,"City--9th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--9th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,"City--9th Ward, 4th Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,"City--9th Ward, 5th Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
