county,precinct_id,precinct,office,district,candidate,party,votes
Lehigh,10101,Allentown 1st Ward 1st District,Straight Party,,Democratic,Dem,335
Lehigh,10201,Allentown 2nd Ward 1st District,Straight Party,,Democratic,Dem,216
Lehigh,10301,Allentown 3rd Ward 1st District,Straight Party,,Democratic,Dem,280
Lehigh,10401,Allentown 4th Ward 1st District,Straight Party,,Democratic,Dem,176
Lehigh,10501,Allentown 5th Ward 1st District,Straight Party,,Democratic,Dem,222
Lehigh,10601,Allentown 6th Ward 1st District,Straight Party,,Democratic,Dem,154
Lehigh,10602,Allentown 6th Ward 2nd District,Straight Party,,Democratic,Dem,202
Lehigh,10701,Allentown 7th Ward,Straight Party,,Democratic,Dem,337
Lehigh,10801,Allentown 8th Ward 1st District,Straight Party,,Democratic,Dem,131
Lehigh,10802,Allentown 8th Ward 2nd District,Straight Party,,Democratic,Dem,190
Lehigh,10803,Allentown 8th Ward 3rd District,Straight Party,,Democratic,Dem,264
Lehigh,10804,Allentown 8th Ward 4th District,Straight Party,,Democratic,Dem,384
Lehigh,10805,Allentown 8th Ward 5th District,Straight Party,,Democratic,Dem,195
Lehigh,10806,Allentown 8th Ward 6th District,Straight Party,,Democratic,Dem,274
Lehigh,10807,Allentown 8th Ward 7th District,Straight Party,,Democratic,Dem,262
Lehigh,10901,Allentown 9th Ward 1st District,Straight Party,,Democratic,Dem,286
Lehigh,11001,Allentown 10th Ward 1st District,Straight Party,,Democratic,Dem,314
Lehigh,11003,Allentown 10th Ward 3rd District,Straight Party,,Democratic,Dem,233
Lehigh,11004,Allentown 10th Ward 4th District,Straight Party,,Democratic,Dem,234
Lehigh,11101,Allentown 11th Ward 1st District,Straight Party,,Democratic,Dem,209
Lehigh,11102,Allentown 11th Ward 2nd District,Straight Party,,Democratic,Dem,261
Lehigh,11103,Allentown 11th Ward 3rd District,Straight Party,,Democratic,Dem,271
Lehigh,11104,Allentown 11th Ward 4th District,Straight Party,,Democratic,Dem,516
Lehigh,11105,Allentown 11th Ward 5th District,Straight Party,,Democratic,Dem,201
Lehigh,11106,Allentown 11th Ward 6th District,Straight Party,,Democratic,Dem,304
Lehigh,11107,Allentown 11th Ward 7th District,Straight Party,,Democratic,Dem,221
Lehigh,11201,Allentown 12th Ward 1st District,Straight Party,,Democratic,Dem,294
Lehigh,11202,Allentown 12th Ward 2nd District,Straight Party,,Democratic,Dem,362
Lehigh,11203,Allentown 12th Ward 3rd District,Straight Party,,Democratic,Dem,231
Lehigh,11204,Allentown 12th Ward 4th District,Straight Party,,Democratic,Dem,220
Lehigh,11205,Allentown 12th Ward 5th District,Straight Party,,Democratic,Dem,257
Lehigh,11301,Allentown 13th Ward 1st District,Straight Party,,Democratic,Dem,277
Lehigh,11302,Allentown 13th Ward 2nd District,Straight Party,,Democratic,Dem,224
Lehigh,11303,Allentown 13th Ward 3rd District,Straight Party,,Democratic,Dem,279
Lehigh,11304,Allentown 13th Ward 4th District,Straight Party,,Democratic,Dem,184
Lehigh,11401,Allentown 14th Ward 1st District,Straight Party,,Democratic,Dem,394
Lehigh,11402,Allentown 14th Ward 2nd District,Straight Party,,Democratic,Dem,449
Lehigh,11501,Allentown 15th Ward 1st District,Straight Party,,Democratic,Dem,269
Lehigh,11502,Allentown 15th Ward 2nd District,Straight Party,,Democratic,Dem,328
Lehigh,11503,Allentown 15th Ward 3rd District,Straight Party,,Democratic,Dem,344
Lehigh,11504,Allentown 15th Ward 4th District,Straight Party,,Democratic,Dem,295
Lehigh,11601,Allentown 16th Ward 1st District,Straight Party,,Democratic,Dem,322
Lehigh,11602,Allentown 16th Ward 2nd District,Straight Party,,Democratic,Dem,454
Lehigh,11701,Allentown 17th Ward 1st District,Straight Party,,Democratic,Dem,202
Lehigh,11702,Allentown 17th Ward 2nd District,Straight Party,,Democratic,Dem,201
Lehigh,11703,Allentown 17th Ward 3rd District,Straight Party,,Democratic,Dem,221
Lehigh,11704,Allentown 17th Ward 4th District,Straight Party,,Democratic,Dem,604
Lehigh,11801,Allentown 18th Ward 1st District,Straight Party,,Democratic,Dem,273
Lehigh,11802,Allentown 18th Ward 2nd District,Straight Party,,Democratic,Dem,282
Lehigh,11901,Allentown 19th Ward 1st District,Straight Party,,Democratic,Dem,188
Lehigh,11902,Allentown 19th Ward 2nd District,Straight Party,,Democratic,Dem,406
Lehigh,11903,Allentown 19th Ward 3rd District,Straight Party,,Democratic,Dem,179
Lehigh,11904,Allentown 19th Ward 4th District,Straight Party,,Democratic,Dem,256
Lehigh,11905,Allentown 19th Ward 5th District,Straight Party,,Democratic,Dem,267
Lehigh,11906,Allentown 19th Ward 6th District,Straight Party,,Democratic,Dem,462
Lehigh,21001,Bethlehem 10th Ward 1st District,Straight Party,,Democratic,Dem,301
Lehigh,21101,Bethlehem 11th Ward 1st District,Straight Party,,Democratic,Dem,229
Lehigh,21201,Bethlehem 12th Ward 1st District,Straight Party,,Democratic,Dem,215
Lehigh,21202,Bethlehem 12th Ward 2nd District,Straight Party,,Democratic,Dem,223
Lehigh,21301,Bethlehem 13th Ward 1st District,Straight Party,,Democratic,Dem,411
Lehigh,21302,Bethlehem 13th Ward 2nd District,Straight Party,,Democratic,Dem,241
Lehigh,21303,Bethlehem 13th Ward 3rd District,Straight Party,,Democratic,Dem,281
Lehigh,21304,Bethlehem 13th Ward 4th District,Straight Party,,Democratic,Dem,325
Lehigh,21305,Bethlehem 13th Ward 5th District,Straight Party,,Democratic,Dem,258
Lehigh,21306,Bethlehem 13th Ward 6th District,Straight Party,,Democratic,Dem,201
Lehigh,21307,Bethlehem 13th Ward 7th District,Straight Party,,Democratic,Dem,262
Lehigh,21308,Bethlehem 13th Ward 8th District,Straight Party,,Democratic,Dem,254
Lehigh,30101,Alburtis,Straight Party,,Democratic,Dem,244
Lehigh,40101,Catasauqua 1st District,Straight Party,,Democratic,Dem,268
Lehigh,40102,Catasauqua 2nd District,Straight Party,,Democratic,Dem,204
Lehigh,40103,Catasauqua 3rd District,Straight Party,,Democratic,Dem,266
Lehigh,50101,Coopersburg,Straight Party,,Democratic,Dem,287
Lehigh,60101,Coplay 1st District,Straight Party,,Democratic,Dem,184
Lehigh,60102,Coplay 2nd District,Straight Party,,Democratic,Dem,251
Lehigh,70101,Emmaus 1st District,Straight Party,,Democratic,Dem,241
Lehigh,70102,Emmaus 2nd District,Straight Party,,Democratic,Dem,225
Lehigh,70103,Emmaus 3rd District,Straight Party,,Democratic,Dem,291
Lehigh,70104,Emmaus 4th District,Straight Party,,Democratic,Dem,269
Lehigh,70105,Emmaus 5th District,Straight Party,,Democratic,Dem,151
Lehigh,70106,Emmaus 6th District,Straight Party,,Democratic,Dem,287
Lehigh,80101,Fountain Hill 1st District,Straight Party,,Democratic,Dem,313
Lehigh,80102,Fountain Hill 2nd District,Straight Party,,Democratic,Dem,238
Lehigh,80103,Fountain Hill 3rd District,Straight Party,,Democratic,Dem,212
Lehigh,90101,Macungie,Straight Party,,Democratic,Dem,402
Lehigh,100101,Slatington 1st District,Straight Party,,Democratic,Dem,89
Lehigh,100102,Slatington 2nd District,Straight Party,,Democratic,Dem,74
Lehigh,100103,Slatington 3rd District,Straight Party,,Democratic,Dem,131
Lehigh,110101,Hanover,Straight Party,,Democratic,Dem,193
Lehigh,120101,Heidelberg,Straight Party,,Democratic,Dem,223
Lehigh,130101,Lower Macungie 1st District,Straight Party,,Democratic,Dem,475
Lehigh,130102,Lower Macungie 2nd District,Straight Party,,Democratic,Dem,712
Lehigh,130103,Lower Macungie 3rd District,Straight Party,,Democratic,Dem,353
Lehigh,130104,Lower Macungie 4th District,Straight Party,,Democratic,Dem,383
Lehigh,130105,Lower Macungie 5th District,Straight Party,,Democratic,Dem,304
Lehigh,130106,Lower Macungie 6th District,Straight Party,,Democratic,Dem,649
Lehigh,130107,Lower Macungie 7th District,Straight Party,,Democratic,Dem,349
Lehigh,130108,Lower Macungie 8th District,Straight Party,,Democratic,Dem,252
Lehigh,130109,Lower Macungie 9th District,Straight Party,,Democratic,Dem,258
Lehigh,130110,Lower Macungie 10th District,Straight Party,,Democratic,Dem,377
Lehigh,140101,Lower Milford,Straight Party,,Democratic,Dem,412
Lehigh,150101,Lowhill,Straight Party,,Democratic,Dem,210
Lehigh,160101,Lynn New Tripoli District,Straight Party,,Democratic,Dem,216
Lehigh,160102,Lynn Lynnville District,Straight Party,,Democratic,Dem,62
Lehigh,160103,Lynn Jacksonville District,Straight Party,,Democratic,Dem,66
Lehigh,170101,North Whitehall 1st District,Straight Party,,Democratic,Dem,383
Lehigh,170102,North Whitehall 2nd District,Straight Party,,Democratic,Dem,347
Lehigh,170103,North Whitehall 3rd District,Straight Party,,Democratic,Dem,174
Lehigh,170104,North Whitehall 4th District,Straight Party,,Democratic,Dem,235
Lehigh,170105,North Whitehall 5th District,Straight Party,,Democratic,Dem,160
Lehigh,170106,North Whitehall 6th District,Straight Party,,Democratic,Dem,209
Lehigh,180101,Salisbury 1st Ward,Straight Party,,Democratic,Dem,338
Lehigh,180201,Salisbury 2nd Ward,Straight Party,,Democratic,Dem,355
Lehigh,180301,Salisbury 3rd Ward 1st District,Straight Party,,Democratic,Dem,169
Lehigh,180302,Salisbury 3rd Ward 2nd District,Straight Party,,Democratic,Dem,176
Lehigh,180401,Salisbury 4th Ward 1st District,Straight Party,,Democratic,Dem,214
Lehigh,180402,Salisbury 4th Ward 2nd District,Straight Party,,Democratic,Dem,119
Lehigh,180501,Salisbury 5th Ward 1st District,Straight Party,,Democratic,Dem,157
Lehigh,180502,Salisbury 5th Ward 2nd District,Straight Party,,Democratic,Dem,233
Lehigh,190101,South Whitehall 1st District,Straight Party,,Democratic,Dem,407
Lehigh,190102,South Whitehall 2nd District,Straight Party,,Democratic,Dem,241
Lehigh,190103,South Whitehall 3rd District,Straight Party,,Democratic,Dem,435
Lehigh,190104,South Whitehall 4th District,Straight Party,,Democratic,Dem,229
Lehigh,190105,South Whitehall 5th District,Straight Party,,Democratic,Dem,501
Lehigh,190106,South Whitehall 6th District,Straight Party,,Democratic,Dem,434
