county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0002 BLOOMFIELD BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,1,1,0,0
Perry,0002 BLOOMFIELD BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,10,10,0,0
Perry,0002 BLOOMFIELD BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,1,1,0,0
Perry,0002 BLOOMFIELD BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0002 BLOOMFIELD BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,0,0,0,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,122,110,12,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,266,253,13,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,0,0,0,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,11,11,0,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,133,120,13,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,263,253,10,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,0,0,0,0
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
