county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Crawford,Athens Twp,U.S. Senate,,DEM,John Fetterman,34,34,,
Crawford,Athens Twp,U.S. Senate,,REP,Mehmet Oz,250,249,,1
Crawford,Athens Twp,U.S. Senate,,LIB,Erik Gerhardt,2,2,,
Crawford,Athens Twp,U.S. Senate,,GRN,Richard L Weiss,2,2,,
Crawford,Athens Twp,U.S. Senate,,KEY,Daniel Wassmer,2,2,,
Crawford,Athens Twp,U.S. Senate,,,Write Ins,0,,,
Crawford,Beaver Twp,U.S. Senate,,DEM,John Fetterman,79,79,,
Crawford,Beaver Twp,U.S. Senate,,REP,Mehmet Oz,182,181,,1
Crawford,Beaver Twp,U.S. Senate,,LIB,Erik Gerhardt,11,11,,
Crawford,Beaver Twp,U.S. Senate,,GRN,Richard L Weiss,0,,,
Crawford,Beaver Twp,U.S. Senate,,KEY,Daniel Wassmer,0,,,
Crawford,Beaver Twp,U.S. Senate,,,Write Ins,1,,,
Crawford,Bloomfield Twp,U.S. Senate,,DEM,John Fetterman,224,223,,1
Crawford,Bloomfield Twp,U.S. Senate,,REP,Mehmet Oz,490,490,,
Crawford,Bloomfield Twp,U.S. Senate,,LIB,Erik Gerhardt,8,8,,
Crawford,Bloomfield Twp,U.S. Senate,,GRN,Richard L Weiss,4,4,,
Crawford,Bloomfield Twp,U.S. Senate,,KEY,Daniel Wassmer,4,4,,
Crawford,Bloomfield Twp,U.S. Senate,,,Write Ins,1,,,
Crawford,Blooming Valley Boro,U.S. Senate,,DEM,John Fetterman,35,35,,
Crawford,Blooming Valley Boro,U.S. Senate,,REP,Mehmet Oz,123,123,,
Crawford,Blooming Valley Boro,U.S. Senate,,LIB,Erik Gerhardt,6,6,,
Crawford,Blooming Valley Boro,U.S. Senate,,GRN,Richard L Weiss,2,2,,
Crawford,Blooming Valley Boro,U.S. Senate,,KEY,Daniel Wassmer,1,1,,
Crawford,Blooming Valley Boro,U.S. Senate,,,Write Ins,1,,,
Crawford,Cambridge Twp,U.S. Senate,,DEM,John Fetterman,256,254,,2
Crawford,Cambridge Twp,U.S. Senate,,REP,Mehmet Oz,393,393,,
Crawford,Cambridge Twp,U.S. Senate,,LIB,Erik Gerhardt,15,15,,
Crawford,Cambridge Twp,U.S. Senate,,GRN,Richard L Weiss,6,6,,
Crawford,Cambridge Twp,U.S. Senate,,KEY,Daniel Wassmer,6,6,,
Crawford,Cambridge Twp,U.S. Senate,,,Write Ins,0,,,
Crawford,Cambridge Springs Boro,U.S. Senate,,DEM,John Fetterman,263,260,,3
Crawford,Cambridge Springs Boro,U.S. Senate,,REP,Mehmet Oz,299,298,,1
Crawford,Cambridge Springs Boro,U.S. Senate,,LIB,Erik Gerhardt,11,11,,
Crawford,Cambridge Springs Boro,U.S. Senate,,GRN,Richard L Weiss,5,5,,
Crawford,Cambridge Springs Boro,U.S. Senate,,KEY,Daniel Wassmer,8,8,,
Crawford,Cambridge Springs Boro,U.S. Senate,,,Write Ins,2,,,
Crawford,Centerville Boro,U.S. Senate,,DEM,John Fetterman,17,17,,
Crawford,Centerville Boro,U.S. Senate,,REP,Mehmet Oz,51,51,,
Crawford,Centerville Boro,U.S. Senate,,LIB,Erik Gerhardt,0,,,
Crawford,Centerville Boro,U.S. Senate,,GRN,Richard L Weiss,0,,,
Crawford,Centerville Boro,U.S. Senate,,KEY,Daniel Wassmer,1,1,,
Crawford,Centerville Boro,U.S. Senate,,,Write Ins,0,,,
Crawford,Cochranton Boro,U.S. Senate,,DEM,John Fetterman,165,165,,
Crawford,Cochranton Boro,U.S. Senate,,REP,Mehmet Oz,323,323,,
Crawford,Cochranton Boro,U.S. Senate,,LIB,Erik Gerhardt,8,8,,
Crawford,Cochranton Boro,U.S. Senate,,GRN,Richard L Weiss,3,3,,
Crawford,Cochranton Boro,U.S. Senate,,KEY,Daniel Wassmer,3,3,,
Crawford,Cochranton Boro,U.S. Senate,,,Write Ins,1,,,
Crawford,Conneaut Twp,U.S. Senate,,DEM,John Fetterman,144,144,,
Crawford,Conneaut Twp,U.S. Senate,,REP,Mehmet Oz,363,363,,
Crawford,Conneaut Twp,U.S. Senate,,LIB,Erik Gerhardt,7,7,,
Crawford,Conneaut Twp,U.S. Senate,,GRN,Richard L Weiss,5,5,,
Crawford,Conneaut Twp,U.S. Senate,,KEY,Daniel Wassmer,4,4,,
Crawford,Conneaut Twp,U.S. Senate,,,Write Ins,1,,,
Crawford,Conneaut Lake Boro,U.S. Senate,,DEM,John Fetterman,100,99,,1
Crawford,Conneaut Lake Boro,U.S. Senate,,REP,Mehmet Oz,183,183,,
Crawford,Conneaut Lake Boro,U.S. Senate,,LIB,Erik Gerhardt,4,4,,
Crawford,Conneaut Lake Boro,U.S. Senate,,GRN,Richard L Weiss,1,1,,
Crawford,Conneaut Lake Boro,U.S. Senate,,KEY,Daniel Wassmer,1,1,,
Crawford,Conneaut Lake Boro,U.S. Senate,,,Write Ins,0,,,
Crawford,Conneautville Boro,U.S. Senate,,DEM,John Fetterman,109,108,,1
Crawford,Conneautville Boro,U.S. Senate,,REP,Mehmet Oz,155,149,,6
Crawford,Conneautville Boro,U.S. Senate,,LIB,Erik Gerhardt,5,5,,
Crawford,Conneautville Boro,U.S. Senate,,GRN,Richard L Weiss,2,2,,
Crawford,Conneautville Boro,U.S. Senate,,KEY,Daniel Wassmer,3,3,,
Crawford,Conneautville Boro,U.S. Senate,,,Write Ins,0,,,
Crawford,Cussewago Twp,U.S. Senate,,DEM,John Fetterman,214,212,,2
Crawford,Cussewago Twp,U.S. Senate,,REP,Mehmet Oz,432,429,,3
Crawford,Cussewago Twp,U.S. Senate,,LIB,Erik Gerhardt,18,18,,
Crawford,Cussewago Twp,U.S. Senate,,GRN,Richard L Weiss,5,5,,
