county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Mercer,Clark Borough,Registered Voters,,,,414,,,
Mercer,Clark Borough,Ballots Cast,,,,275,228,46,1
Mercer,Clark Borough,Ballots Cast - Blank,,,,0,0,0,0
Mercer,Clark Borough,U.S. Senate,,DEM,John Fetterman,112,74,37,1
Mercer,Clark Borough,U.S. Senate,,REP,Mehmet Oz,155,147,8,0
Mercer,Clark Borough,U.S. Senate,,LIB,Erik Gerhardt,4,4,0,0
Mercer,Clark Borough,U.S. Senate,,GRN,Richard L. Weiss,1,1,0,0
Mercer,Clark Borough,U.S. Senate,,KEY,Daniel Wassmer,1,1,0,0
Mercer,Clark Borough,U.S. Senate,,,Write Ins,1,0,1,0
Mercer,Clark Borough,Governor,,DEM,Josh Shapiro,113,74,38,1
Mercer,Clark Borough,Governor,,REP,Douglas V. Mastriano,153,145,8,0
Mercer,Clark Borough,Governor,,LIB,Matt Hackenburg,4,4,0,0
Mercer,Clark Borough,Governor,,GRN,Christina DiGiulio,1,1,0,0
Mercer,Clark Borough,Governor,,KEY,Joseph P Soloski,1,1,0,0
Mercer,Clark Borough,Governor,,,Write Ins,0,0,0,0
Mercer,Clark Borough,U.S. House,16,DEM,Dan Pastore,106,69,37,0
Mercer,Clark Borough,U.S. House,16,REP,Mike Kelly,162,153,8,1
Mercer,Clark Borough,U.S. House,16,,Write Ins,0,0,0,0
Mercer,Clark Borough,State Senate,50,DEM,Rianna Czech,80,46,34,0
Mercer,Clark Borough,State Senate,50,REP,Michele Brooks,189,177,11,1
Mercer,Clark Borough,State Senate,50,,Write Ins,0,0,0,0
Mercer,Clark Borough,State House,7,DEM,Timothy M McGonigle,117,78,38,1
Mercer,Clark Borough,State House,7,REP,Parke Wentling,156,148,8,0
Mercer,Clark Borough,State House,7,,Write Ins,0,0,0,0
Mercer,Coolspring Township,Registered Voters,,,,1454,,,
Mercer,Coolspring Township,Ballots Cast,,,,996,805,190,1
Mercer,Coolspring Township,Ballots Cast - Blank,,,,0,0,0,0
Mercer,Coolspring Township,U.S. Senate,,DEM,John Fetterman,267,164,103,0
Mercer,Coolspring Township,U.S. Senate,,REP,Mehmet Oz,698,616,81,1
Mercer,Coolspring Township,U.S. Senate,,LIB,Erik Gerhardt,17,13,4,0
