county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Blair,Allegheny 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Allegheny 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Allegheny 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Allegheny 4,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 10 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 10 Div 2,State Assembly,79,,Not Assigned,1,0,0,1
Blair,Altoona 11 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 11 Div 2,State Assembly,79,,Not Assigned,2,0,0,2
Blair,Altoona 12 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 12 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 12 Div 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 12 Div 4,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 13 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 13 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 13 Div 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 13 Div 4,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 14 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 14 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 14 Div 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 2 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 2 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 3 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 3 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 4 Div 1,State Assembly,79,,Not Assigned,1,0,0,1
Blair,Altoona 4 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 5 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 5 Div 2,State Assembly,79,,Not Assigned,1,0,0,1
Blair,Altoona 5 Div 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 6 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 6 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 6 Div 3,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 6 Div 4,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 7,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 8 Div 1,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 8 Div 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Altoona 9,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Logan Twp 1,State Assembly,79,,Not Assigned,1,0,0,1
Blair,Logan Twp 2,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Logan Twp 3,State Assembly,79,,Not Assigned,1,0,0,1
Blair,Logan Twp 4,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Logan Twp 5,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Logan Twp 6,State Assembly,79,,Not Assigned,2,0,0,2
Blair,Logan Twp 7,State Assembly,79,,Not Assigned,0,0,0,0
Blair,Antis Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Antis Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Antis Twp 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Bellwood Bor,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Blair Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Blair Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Blair Twp 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Catharine Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Duncansville Bor,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Frankstown Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Frankstown Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Frankstown Twp 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Frankstown Twp 4,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Frankstown Twp 5,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Freedom Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Freedom Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Greenfield Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Greenfield Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Greenfield Twp 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 4,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 5,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 6,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Hollidaysburg Bor 7,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Huston Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Juniata Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Martinsburg Bor 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Martinsburg Bor 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Newry Bor,State Assembly,80,,Not Assigned,0,0,0,0
Blair,North Woodbury Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Roaring Spring Bor 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Roaring Spring Bor 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Roaring Spring Bor 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Snyder Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Snyder Twp 2,State Assembly,80,,Not Assigned,1,0,0,1
Blair,Taylor Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 3,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 4,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 5,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 6,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Bor 7,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Twp 1,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Tyrone Twp 2,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Williamsburg Bor,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Woodbury Twp,State Assembly,80,,Not Assigned,0,0,0,0
Blair,Allegheny 1,State Assembly,79,,Write-In,53,19,34,0
Blair,Allegheny 2,State Assembly,79,,Write-In,45,21,24,0
Blair,Allegheny 3,State Assembly,79,,Write-In,9,6,3,0
Blair,Allegheny 4,State Assembly,79,,Write-In,18,13,5,0
Blair,Altoona 1,State Assembly,79,,Write-In,17,11,6,0
Blair,Altoona 10 Div 1,State Assembly,79,,Write-In,26,21,5,0
Blair,Altoona 10 Div 2,State Assembly,79,,Write-In,43,29,13,1
Blair,Altoona 11 Div 1,State Assembly,79,,Write-In,42,32,10,0
Blair,Altoona 11 Div 2,State Assembly,79,,Write-In,48,34,12,2
Blair,Altoona 12 Div 1,State Assembly,79,,Write-In,27,16,11,0
Blair,Altoona 12 Div 2,State Assembly,79,,Write-In,22,15,7,0
Blair,Altoona 12 Div 3,State Assembly,79,,Write-In,24,15,9,0
Blair,Altoona 12 Div 4,State Assembly,79,,Write-In,26,15,11,0
Blair,Altoona 13 Div 1,State Assembly,79,,Write-In,31,26,5,0
Blair,Altoona 13 Div 2,State Assembly,79,,Write-In,30,24,6,0
Blair,Altoona 13 Div 3,State Assembly,79,,Write-In,23,15,8,0
Blair,Altoona 13 Div 4,State Assembly,79,,Write-In,30,19,11,0
Blair,Altoona 14 Div 1,State Assembly,79,,Write-In,52,40,12,0
Blair,Altoona 14 Div 2,State Assembly,79,,Write-In,50,27,23,0
Blair,Altoona 14 Div 3,State Assembly,79,,Write-In,39,22,17,0
Blair,Altoona 2 Div 1,State Assembly,79,,Write-In,12,10,2,0
Blair,Altoona 2 Div 2,State Assembly,79,,Write-In,18,12,6,0
Blair,Altoona 3 Div 1,State Assembly,79,,Write-In,21,10,11,0
Blair,Altoona 3 Div 2,State Assembly,79,,Write-In,21,15,6,0
Blair,Altoona 4 Div 1,State Assembly,79,,Write-In,28,20,7,1
Blair,Altoona 4 Div 2,State Assembly,79,,Write-In,39,28,11,0
Blair,Altoona 5 Div 1,State Assembly,79,,Write-In,4,3,1,0
Blair,Altoona 5 Div 2,State Assembly,79,,Write-In,46,29,16,1
Blair,Altoona 5 Div 3,State Assembly,79,,Write-In,11,10,1,0
Blair,Altoona 6 Div 1,State Assembly,79,,Write-In,34,21,13,0
Blair,Altoona 6 Div 2,State Assembly,79,,Write-In,29,19,10,0
