county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Montgomery,Ambler 1,Registered Voters,,,,1559,,,
Montgomery,Ambler 1,Ballots Cast,,,,1125,845,273,7
Montgomery,Ambler 1,U.S. Senate,,DEM,JOHN FETTERMAN,798,565,226,7
Montgomery,Ambler 1,U.S. Senate,,REP,MEHMET OZ,294,257,37,0
Montgomery,Ambler 1,U.S. Senate,,LIB,ERIK GERHARDT,8,7,1,0
Montgomery,Ambler 1,U.S. Senate,,GRN,RICHARD L WEISS,8,5,3,0
Montgomery,Ambler 1,U.S. Senate,,KEY,DANIEL WASSMER,3,1,2,0
Montgomery,Ambler 1,U.S. Senate,,,Write Ins,2,2,0,0
Montgomery,Ambler 1,Governor,,DEM,JOSH SHAPIRO AND AUSTIN DAVIS,861,610,244,7
Montgomery,Ambler 1,Governor,,REP,DOUGLAS V MASTRIANO AND CARRIE LEWIS DELROSSO,246,223,23,0
Montgomery,Ambler 1,Governor,,LIB,MATT HACKENBURG AND TIM MCMASTER,8,6,2,0
Montgomery,Ambler 1,Governor,,GRN,CHRISTINA DIGIULIO AND MICHAEL BAGDES-CANNING,1,1,0,0
Montgomery,Ambler 1,Governor,,KEY,JOE SOLOSKI AND NICOLE SHULTZ,2,1,1,0
Montgomery,Ambler 1,Governor,,,Write Ins,0,0,0,0
Montgomery,Ambler 1,U.S. House,4,DEM,MADELEINE DEAN,825,582,236,7
Montgomery,Ambler 1,U.S. House,4,REP,CHRISTIAN NASCIMENTO,293,256,37,0
Montgomery,Ambler 1,U.S. House,4,,Write Ins,1,1,0,0
Montgomery,Ambler 1,State Senate,12,DEM,MARIA COLLETT,794,563,224,7
Montgomery,Ambler 1,State Senate,12,REP,ROB DAVIES,307,269,38,0
Montgomery,Ambler 1,State Senate,12,,Write Ins,3,1,2,0
Montgomery,Ambler 1,State House,151,DEM,MELISSA CERRATO,689,478,205,6
Montgomery,Ambler 1,State House,151,REP,TODD STEPHENS,418,356,62,0
Montgomery,Ambler 1,State House,151,,Write Ins,2,2,0,0
Montgomery,Ambler 2,Registered Voters,,,,1509,,,
Montgomery,Ambler 2,Ballots Cast,,,,998,747,243,8
Montgomery,Ambler 2,U.S. Senate,,DEM,JOHN FETTERMAN,737,514,217,6
Montgomery,Ambler 2,U.S. Senate,,REP,MEHMET OZ,223,206,16,1
Montgomery,Ambler 2,U.S. Senate,,LIB,ERIK GERHARDT,16,13,2,1
Montgomery,Ambler 2,U.S. Senate,,GRN,RICHARD L WEISS,6,2,4,0
Montgomery,Ambler 2,U.S. Senate,,KEY,DANIEL WASSMER,6,5,1,0
Montgomery,Ambler 2,U.S. Senate,,,Write Ins,3,2,1,0
Montgomery,Ambler 2,Governor,,DEM,JOSH SHAPIRO AND AUSTIN DAVIS,773,543,223,7
