county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Fulton,Ayr Township,Registered Voters,,,,1297,,,
Fulton,Ayr Township,Ballots Cast,,,,919,,,
Fulton,Ayr Township,U.S. Senate,,DEM,JOHN FETTERMAN,142,90,51,1
Fulton,Ayr Township,U.S. Senate,,REP,MEHMET OZ,740,691,48,1
Fulton,Ayr Township,U.S. Senate,,LIB,ERIK GERHARDT,12,11,1,0
Fulton,Ayr Township,U.S. Senate,,GRN,RICHARD L WEISS,1,1,0,0
Fulton,Ayr Township,U.S. Senate,,KEY,DANIEL WASSMER,11,10,1,0
Fulton,Ayr Township,U.S. Senate,,,Write Ins,3,3,0,0
Fulton,Ayr Township,Governor,,DEM,JOSH SHAPIRO / AUSTIN DAVIS,165,115,49,1
Fulton,Ayr Township,Governor,,REP,DOUGLAS V MASTRIANO / CARRIE LEWIS DELROSSO,737,687,49,1
Fulton,Ayr Township,Governor,,LIB,MATT HACKENBURG / TIM MCMASTER,2,2,0,0
Fulton,Ayr Township,Governor,,GRN,CHRISTINA DIGIULIO / MICHAEL BAGDES-CANNING,2,2,0,0
Fulton,Ayr Township,Governor,,KEY,JOE SOLOSKI / NICOLE SHULTZ,5,5,0,0
Fulton,Ayr Township,Governor,,,Write Ins,1,1,0,0
Fulton,Ayr Township,U.S. House,13,REP,JOHN JOYCE,811,747,62,2
Fulton,Ayr Township,U.S. House,13,,Write Ins,24,19,5,0
Fulton,Ayr Township,State Senate,30,DEM,CAROL TAYLOR,124,80,43,1
Fulton,Ayr Township,State Senate,30,REP,JUDY WARD,773,718,54,1
Fulton,Ayr Township,State Senate,30,,Write Ins,1,1,0,0
Fulton,Ayr Township,State House,78,REP,JESSE TOPPER,824,758,64,2
Fulton,Ayr Township,State House,78,,Write Ins,15,10,5,0
Fulton,Belfast Township,Registered Voters,,,,911,,,
Fulton,Belfast Township,Ballots Cast,,,,628,,,
Fulton,Belfast Township,U.S. Senate,,DEM,JOHN FETTERMAN,70,40,30,0
Fulton,Belfast Township,U.S. Senate,,REP,MEHMET OZ,539,512,27,0
Fulton,Belfast Township,U.S. Senate,,LIB,ERIK GERHARDT,4,4,0,0
Fulton,Belfast Township,U.S. Senate,,GRN,RICHARD L WEISS,2,2,0,0
Fulton,Belfast Township,U.S. Senate,,KEY,DANIEL WASSMER,1,1,0,0
Fulton,Belfast Township,U.S. Senate,,,Write Ins,3,3,0,0
Fulton,Belfast Township,Governor,,DEM,JOSH SHAPIRO / AUSTIN DAVIS,79,49,30,0
Fulton,Belfast Township,Governor,,REP,DOUGLAS V MASTRIANO / CARRIE LEWIS DELROSSO,539,513,26,0
Fulton,Belfast Township,Governor,,LIB,MATT HACKENBURG / TIM MCMASTER,3,3,0,0
Fulton,Belfast Township,Governor,,GRN,CHRISTINA DIGIULIO / MICHAEL BAGDES-CANNING,1,1,0,0
Fulton,Belfast Township,Governor,,KEY,JOE SOLOSKI / NICOLE SHULTZ,0,0,0,0
Fulton,Belfast Township,Governor,,,Write Ins,0,0,0,0
Fulton,Belfast Township,U.S. House,13,REP,JOHN JOYCE,571,530,41,0
Fulton,Belfast Township,U.S. House,13,,Write Ins,8,8,0,0
Fulton,Belfast Township,State Senate,30,DEM,CAROL TAYLOR,71,43,28,0
Fulton,Belfast Township,State Senate,30,REP,JUDY WARD,548,519,29,0
Fulton,Belfast Township,State Senate,30,,Write Ins,0,0,0,0
Fulton,Belfast Township,State House,78,REP,JESSE TOPPER,586,543,43,0
Fulton,Belfast Township,State House,78,,Write Ins,2,2,0,0
Fulton,Bethel Township,Registered Voters,,,,965,,,
Fulton,Bethel Township,Ballots Cast,,,,653,,,
Fulton,Bethel Township,U.S. Senate,,DEM,JOHN FETTERMAN,96,56,40,0
Fulton,Bethel Township,U.S. Senate,,REP,MEHMET OZ,542,512,27,3
Fulton,Bethel Township,U.S. Senate,,LIB,ERIK GERHARDT,8,7,1,0
Fulton,Bethel Township,U.S. Senate,,GRN,RICHARD L WEISS,0,0,0,0
Fulton,Bethel Township,U.S. Senate,,KEY,DANIEL WASSMER,2,2,0,0
Fulton,Bethel Township,U.S. Senate,,,Write Ins,0,0,0,0
Fulton,Bethel Township,Governor,,DEM,JOSH SHAPIRO / AUSTIN DAVIS,102,60,42,0
Fulton,Bethel Township,Governor,,REP,DOUGLAS V MASTRIANO / CARRIE LEWIS DELROSSO,542,514,25,3
Fulton,Bethel Township,Governor,,LIB,MATT HACKENBURG / TIM MCMASTER,7,6,1,0
Fulton,Bethel Township,Governor,,GRN,CHRISTINA DIGIULIO / MICHAEL BAGDES-CANNING,1,1,0,0
Fulton,Bethel Township,Governor,,KEY,JOE SOLOSKI / NICOLE SHULTZ,0,0,0,0
Fulton,Bethel Township,Governor,,,Write Ins,0,0,0,0
Fulton,Bethel Township,U.S. House,13,REP,JOHN JOYCE,580,538,39,3
Fulton,Bethel Township,U.S. House,13,,Write Ins,9,5,4,0
Fulton,Bethel Township,State Senate,30,DEM,CAROL TAYLOR,90,51,39,0
Fulton,Bethel Township,State Senate,30,REP,JUDY WARD,553,523,27,3
Fulton,Bethel Township,State Senate,30,,Write Ins,0,0,0,0
Fulton,Bethel Township,State House,78,REP,JESSE TOPPER,584,540,41,3
Fulton,Bethel Township,State House,78,,Write Ins,8,2,6,0
Fulton,Brush Creek Township,Registered Voters,,,,500,,,
Fulton,Brush Creek Township,Ballots Cast,,,,349,,,
Fulton,Brush Creek Township,U.S. Senate,,DEM,JOHN FETTERMAN,49,29,20,0
Fulton,Brush Creek Township,U.S. Senate,,REP,MEHMET OZ,289,266,23,0
Fulton,Brush Creek Township,U.S. Senate,,LIB,ERIK GERHARDT,6,5,1,0
Fulton,Brush Creek Township,U.S. Senate,,GRN,RICHARD L WEISS,2,2,0,0
Fulton,Brush Creek Township,U.S. Senate,,KEY,DANIEL WASSMER,0,0,0,0
Fulton,Brush Creek Township,U.S. Senate,,,Write Ins,2,2,0,0
Fulton,Brush Creek Township,Governor,,DEM,JOSH SHAPIRO / AUSTIN DAVIS,57,36,21,0
