county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Montour,ANTHONY TWP,Registered Voters,"","","",847,"","",""
Montour,ANTHONY TWP,Ballots Cast,"","","",594,542,51,1
Montour,ANTHONY TWP,U.S. Senate,"",DEM,John Fetterman,142,105,36,1
Montour,ANTHONY TWP,U.S. Senate,"",REP,Mehmet Oz,423,413,10,0
Montour,ANTHONY TWP,U.S. Senate,"",LIB,Erik Gerhardt,17,15,2,0
Montour,ANTHONY TWP,U.S. Senate,"",GRN,Richard L. Weiss,3,3,0,0
Montour,ANTHONY TWP,U.S. Senate,"",KEY,Daniel Wassmer,7,4,3,0
Montour,ANTHONY TWP,U.S. Senate,"","",Write Ins,0,0,0,0
Montour,ANTHONY TWP,Governor,"",DEM,Josh Shapiro,166,122,43,1
Montour,ANTHONY TWP,Governor,"",REP,Douglas V. Mastriano,411,404,7,0
Montour,ANTHONY TWP,Governor,"",LIB,Matt Hackenburg,9,9,0,0
Montour,ANTHONY TWP,Governor,"",GRN,Christina DiGiulio,4,4,0,0
Montour,ANTHONY TWP,Governor,"",KEY,Joe Soloski,2,1,1,0
Montour,ANTHONY TWP,Governor,"","",Write Ins,0,0,0,0
Montour,ANTHONY TWP,U.S. House,9,DEM,Amanda R. Waldman,125,93,31,1
Montour,ANTHONY TWP,U.S. House,9,REP,Dan Meuser,464,444,20,0
Montour,ANTHONY TWP,U.S. House,9,"",Write Ins,0,0,0,0
Montour,ANTHONY TWP,General Assembly,108,REP,Lynda J. Schlegel Culver,526,490,35,1
Montour,ANTHONY TWP,General Assembly,108,"",Write Ins,12,9,3,0
Montour,COOPER TWP,Registered Voters,"","","",628,"","",""
Montour,COOPER TWP,Ballots Cast,"","","",440,365,72,3
Montour,COOPER TWP,U.S. Senate,"",DEM,John Fetterman,147,98,46,3
Montour,COOPER TWP,U.S. Senate,"",REP,Mehmet Oz,273,252,21,0
Montour,COOPER TWP,U.S. Senate,"",LIB,Erik Gerhardt,9,8,1,0
Montour,COOPER TWP,U.S. Senate,"",GRN,Richard L. Weiss,3,3,0,0
Montour,COOPER TWP,U.S. Senate,"",KEY,Daniel Wassmer,5,3,2,0
Montour,COOPER TWP,U.S. Senate,"","",Write Ins,0,0,0,0
Montour,COOPER TWP,Governor,"",DEM,Josh Shapiro,172,116,53,3
Montour,COOPER TWP,Governor,"",REP,Douglas V. Mastriano,252,235,17,0
Montour,COOPER TWP,Governor,"",LIB,Matt Hackenburg,9,8,1,0
Montour,COOPER TWP,Governor,"",GRN,Christina DiGiulio,1,1,0,0
Montour,COOPER TWP,Governor,"",KEY,Joe Soloski,3,2,1,0
Montour,COOPER TWP,Governor,"","",Write Ins,0,0,0,0
Montour,COOPER TWP,U.S. House,9,DEM,Amanda R. Waldman,129,85,42,2
Montour,COOPER TWP,U.S. House,9,REP,Dan Meuser,309,279,29,1
Montour,COOPER TWP,U.S. House,9,"",Write Ins,0,0,0,0
Montour,COOPER TWP,General Assembly,108,REP,Lynda J. Schlegel Culver,359,311,46,2
Montour,COOPER TWP,General Assembly,108,"",Write Ins,20,13,7,0
Montour,DANVILLE BORO FIRST WARD,Registered Voters,"","","",766,"","",""
Montour,DANVILLE BORO FIRST WARD,Ballots Cast,"","","",428,331,96,1
Montour,DANVILLE BORO FIRST WARD,U.S. Senate,"",DEM,John Fetterman,261,185,75,1
Montour,DANVILLE BORO FIRST WARD,U.S. Senate,"",REP,Mehmet Oz,146,129,17,0
Montour,DANVILLE BORO FIRST WARD,U.S. Senate,"",LIB,Erik Gerhardt,10,9,1,0
Montour,DANVILLE BORO FIRST WARD,U.S. Senate,"",GRN,Richard L. Weiss,4,3,1,0
