county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Potter,Abbott Township,Registered Voters,,,,186,,,
Potter,Abbott Township,Ballots Cast,,,,139,125,14,0
Potter,Abbott Township,U.S. Senate,,DEM,John Fetterman,27,17,10,0
Potter,Abbott Township,U.S. Senate,,REP,Mehmet Oz,105,101,4,0
Potter,Abbott Township,U.S. Senate,,LIB,Erik Gerhardt,3,3,0,0
Potter,Abbott Township,U.S. Senate,,GRN,Richard L Weiss,1,1,0,0
Potter,Abbott Township,U.S. Senate,,KEY,Daniel Wassmer,1,1,0,0
Potter,Abbott Township,U.S. Senate,,,Write Ins,1,1,0,0
Potter,Abbott Township,Governor,,DEM,Josh Shapiro,24,13,11,0
Potter,Abbott Township,Governor,,REP,Douglas V Mastriano,108,105,3,0
Potter,Abbott Township,Governor,,LIB,Matt Hackenburg,1,1,0,0
Potter,Abbott Township,Governor,,GRN,Christina DiGiulio,2,2,0,0
Potter,Abbott Township,Governor,,KEY,Joe Soloski,3,3,0,0
Potter,Abbott Township,Governor,,,Write Ins,0,0,0,0
Potter,Abbott Township,U.S. House,15,DEM,Mike Molesevich,21,11,10,0
Potter,Abbott Township,U.S. House,15,REP,Glenn GT Thompson,114,110,4,0
Potter,Abbott Township,U.S. House,15,,Write Ins,0,0,0,0
Potter,Abbott Township,State House,67,REP,Martin T Causer,125,119,6,0
Potter,Abbott Township,State House,67,,Write Ins,4,1,3,0
Potter,Allegany Township,Registered Voters,,,,292,,,
Potter,Allegany Township,Ballots Cast,,,,217,191,26,0
Potter,Allegany Township,U.S. Senate,,DEM,John Fetterman,32,23,9,0
Potter,Allegany Township,U.S. Senate,,REP,Mehmet Oz,180,163,17,0
Potter,Allegany Township,U.S. Senate,,LIB,Erik Gerhardt,3,3,0,0
Potter,Allegany Township,U.S. Senate,,GRN,Richard L Weiss,0,0,0,0
Potter,Allegany Township,U.S. Senate,,KEY,Daniel Wassmer,0,0,0,0
Potter,Allegany Township,U.S. Senate,,,Write Ins,0,0,0,0
Potter,Allegany Township,Governor,,DEM,Josh Shapiro,37,26,11,0
Potter,Allegany Township,Governor,,REP,Douglas V Mastriano,165,150,15,0
Potter,Allegany Township,Governor,,LIB,Matt Hackenburg,2,2,0,0
Potter,Allegany Township,Governor,,GRN,Christina DiGiulio,5,5,0,0
Potter,Allegany Township,Governor,,KEY,Joe Soloski,5,5,0,0
Potter,Allegany Township,Governor,,,Write Ins,1,1,0,0
Potter,Allegany Township,U.S. House,15,DEM,Mike Molesevich,22,15,7,0
Potter,Allegany Township,U.S. House,15,REP,Glenn GT Thompson,191,172,19,0
Potter,Allegany Township,U.S. House,15,,Write Ins,0,0,0,0
Potter,Allegany Township,State House,67,REP,Martin T Causer,205,181,24,0
Potter,Allegany Township,State House,67,,Write Ins,4,4,0,0
Potter,Austin Borough,Registered Voters,,,,323,,,
Potter,Austin Borough,Ballots Cast,,,,195,175,20,0
Potter,Austin Borough,U.S. Senate,,DEM,John Fetterman,53,40,13,0
Potter,Austin Borough,U.S. Senate,,REP,Mehmet Oz,132,126,6,0
Potter,Austin Borough,U.S. Senate,,LIB,Erik Gerhardt,5,5,0,0
Potter,Austin Borough,U.S. Senate,,GRN,Richard L Weiss,1,1,0,0
Potter,Austin Borough,U.S. Senate,,KEY,Daniel Wassmer,2,2,0,0
Potter,Austin Borough,U.S. Senate,,,Write Ins,0,0,0,0
Potter,Austin Borough,Governor,,DEM,Josh Shapiro,56,43,13,0
Potter,Austin Borough,Governor,,REP,Douglas V Mastriano,118,111,7,0
Potter,Austin Borough,Governor,,LIB,Matt Hackenburg,4,4,0,0
Potter,Austin Borough,Governor,,GRN,Christina DiGiulio,5,5,0,0
Potter,Austin Borough,Governor,,KEY,Joe Soloski,8,8,0,0
Potter,Austin Borough,Governor,,,Write Ins,0,0,0,0
Potter,Austin Borough,U.S. House,15,DEM,Mike Molesevich,44,33,11,0
Potter,Austin Borough,U.S. House,15,REP,Glenn GT Thompson,147,138,9,0
Potter,Austin Borough,U.S. House,15,,Write Ins,1,1,0,0
Potter,Austin Borough,State House,67,REP,Martin T Causer,165,151,14,0
Potter,Austin Borough,State House,67,,Write Ins,9,8,1,0
Potter,Bingham Township,Registered Voters,,,,320,,,
Potter,Bingham Township,Ballots Cast,,,,217,194,22,1
Potter,Bingham Township,U.S. Senate,,DEM,John Fetterman,31,20,11,0
Potter,Bingham Township,U.S. Senate,,REP,Mehmet Oz,178,167,11,0
Potter,Bingham Township,U.S. Senate,,LIB,Erik Gerhardt,1,1,0,0
Potter,Bingham Township,U.S. Senate,,GRN,Richard L Weiss,2,2,0,0
Potter,Bingham Township,U.S. Senate,,KEY,Daniel Wassmer,3,2,0,1
Potter,Bingham Township,U.S. Senate,,,Write Ins,0,0,0,0
Potter,Bingham Township,Governor,,DEM,Josh Shapiro,36,25,11,0
Potter,Bingham Township,Governor,,REP,Douglas V Mastriano,177,165,11,1
Potter,Bingham Township,Governor,,LIB,Matt Hackenburg,2,2,0,0
Potter,Bingham Township,Governor,,GRN,Christina DiGiulio,0,0,0,0
Potter,Bingham Township,Governor,,KEY,Joe Soloski,0,0,0,0
Potter,Bingham Township,Governor,,,Write Ins,0,0,0,0
Potter,Bingham Township,U.S. House,15,DEM,Mike Molesevich,26,15,11,0
Potter,Bingham Township,U.S. House,15,REP,Glenn GT Thompson,186,174,11,1
Potter,Bingham Township,U.S. House,15,,Write Ins,0,0,0,0
Potter,Bingham Township,State House,67,REP,Martin T Causer,197,181,15,1
Potter,Bingham Township,State House,67,,Write Ins,4,0,4,0
Potter,Clara Township,Registered Voters,,,,141,,,
Potter,Clara Township,Ballots Cast,,,,99,91,8,0
Potter,Clara Township,U.S. Senate,,DEM,John Fetterman,15,9,6,0
Potter,Clara Township,U.S. Senate,,REP,Mehmet Oz,81,79,2,0
Potter,Clara Township,U.S. Senate,,LIB,Erik Gerhardt,1,1,0,0
Potter,Clara Township,U.S. Senate,,GRN,Richard L Weiss,0,0,0,0
Potter,Clara Township,U.S. Senate,,KEY,Daniel Wassmer,0,0,0,0
Potter,Clara Township,U.S. Senate,,,Write Ins,0,0,0,0
Potter,Clara Township,Governor,,DEM,Josh Shapiro,16,9,7,0
Potter,Clara Township,Governor,,REP,Douglas V Mastriano,82,81,1,0
Potter,Clara Township,Governor,,LIB,Matt Hackenburg,0,0,0,0
Potter,Clara Township,Governor,,GRN,Christina DiGiulio,0,0,0,0
Potter,Clara Township,Governor,,KEY,Joe Soloski,1,1,0,0
Potter,Clara Township,Governor,,,Write Ins,0,0,0,0
Potter,Clara Township,U.S. House,15,DEM,Mike Molesevich,15,9,6,0
Potter,Clara Township,U.S. House,15,REP,Glenn GT Thompson,83,81,2,0
Potter,Clara Township,U.S. House,15,,Write Ins,0,0,0,0
Potter,Clara Township,State House,67,REP,Martin T Causer,91,88,3,0
Potter,Clara Township,State House,67,,Write Ins,4,0,4,0
Potter,Coudersport First Ward,Registered Voters,,,,710,,,
Potter,Coudersport First Ward,Ballots Cast,,,,386,310,74,2
Potter,Coudersport First Ward,U.S. Senate,,DEM,John Fetterman,117,82,33,2
Potter,Coudersport First Ward,U.S. Senate,,REP,Mehmet Oz,248,212,36,0
Potter,Coudersport First Ward,U.S. Senate,,LIB,Erik Gerhardt,10,7,3,0
Potter,Coudersport First Ward,U.S. Senate,,GRN,Richard L Weiss,2,2,0,0
Potter,Coudersport First Ward,U.S. Senate,,KEY,Daniel Wassmer,4,3,1,0
Potter,Coudersport First Ward,U.S. Senate,,,Write Ins,0,0,0,0
Potter,Coudersport First Ward,Governor,,DEM,Josh Shapiro,128,85,41,2
Potter,Coudersport First Ward,Governor,,REP,Douglas V Mastriano,232,199,33,0
Potter,Coudersport First Ward,Governor,,LIB,Matt Hackenburg,5,5,0,0
Potter,Coudersport First Ward,Governor,,GRN,Christina DiGiulio,8,8,0,0
Potter,Coudersport First Ward,Governor,,KEY,Joe Soloski,6,6,0,0
Potter,Coudersport First Ward,Governor,,,Write Ins,1,1,0,0
Potter,Coudersport First Ward,U.S. House,15,DEM,Mike Molesevich,101,70,29,2
Potter,Coudersport First Ward,U.S. House,15,REP,Glenn GT Thompson,278,234,44,0
Potter,Coudersport First Ward,U.S. House,15,,Write Ins,2,1,1,0
Potter,Coudersport First Ward,State House,67,REP,Martin T Causer,331,277,54,0
Potter,Coudersport First Ward,State House,67,,Write Ins,22,9,11,2
Potter,Coudersport Second Ward,Registered Voters,,,,791,,,
Potter,Coudersport Second Ward,Ballots Cast,,,,494,401,93,0
Potter,Coudersport Second Ward,U.S. Senate,,DEM,John Fetterman,170,110,60,0
