county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Venango,Franklin 1,Registered Voters,,,,1330,,,
Venango,Franklin 1,Ballots Cast,,,,775,583,191,1
Venango,Franklin 1,Ballots Cast - Blank,,,,0,0,0,0
Venango,Franklin 1,U.S. Senate,,DEM,John Fetterman,389,243,146,0
Venango,Franklin 1,U.S. Senate,,REP,Mehmet Oz,355,314,40,1
Venango,Franklin 1,U.S. Senate,,LIB,Erik Gerhardt,18,16,2,0
Venango,Franklin 1,U.S. Senate,,GRN,Richard L Weiss,4,4,0,0
Venango,Franklin 1,U.S. Senate,,KEY,Daniel Wassmer,5,4,1,0
Venango,Franklin 1,U.S. Senate,,,Write Ins,2,2,0,0
Venango,Franklin 1,U.S. Senate,,,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. Senate,,,Undervotes,2,0,2,0
Venango,Franklin 1,Governor,,DEM,Josh Shapiro,419,268,151,0
Venango,Franklin 1,Governor,,REP,Douglas V Mastriano,335,298,36,1
Venango,Franklin 1,Governor,,LIB,Matt Hackenburg,14,12,2,0
Venango,Franklin 1,Governor,,GRN,Christina Digiulio,1,1,0,0
Venango,Franklin 1,Governor,,KEY,Joe Soloski,3,3,0,0
Venango,Franklin 1,Governor,,,Write Ins,0,0,0,0
Venango,Franklin 1,Governor,,,Overvotes,0,0,0,0
Venango,Franklin 1,Governor,,,Undervotes,3,1,2,0
Venango,Franklin 1,U.S. House,16,DEM,Dan Pastore,371,229,142,0
Venango,Franklin 1,U.S. House,16,REP,Mike Kelly,393,347,46,0
Venango,Franklin 1,U.S. House,16,,Write Ins,0,0,0,0
Venango,Franklin 1,U.S. House,16,,Overvotes,0,0,0,0
Venango,Franklin 1,U.S. House,16,,Undervotes,11,7,3,1
Venango,Franklin 1,State House,64,REP,R Lee James,526,431,95,0
Venango,Franklin 1,State House,64,,Write Ins,75,46,29,0
Venango,Franklin 1,State House,64,,Overvotes,0,0,0,0
Venango,Franklin 1,State House,64,,Undervotes,174,106,67,1
Venango,Franklin 2,Registered Voters,,,,1394,,,
Venango,Franklin 2,Ballots Cast,,,,862,609,252,1
Venango,Franklin 2,Ballots Cast - Blank,,,,0,0,0,0
Venango,Franklin 2,U.S. Senate,,DEM,John Fetterman,365,199,165,1
Venango,Franklin 2,U.S. Senate,,REP,Mehmet Oz,458,386,72,0
Venango,Franklin 2,U.S. Senate,,LIB,Erik Gerhardt,19,14,5,0
Venango,Franklin 2,U.S. Senate,,GRN,Richard L Weiss,6,5,1,0
Venango,Franklin 2,U.S. Senate,,KEY,Daniel Wassmer,7,3,4,0
Venango,Franklin 2,U.S. Senate,,,Write Ins,4,1,3,0
Venango,Franklin 2,U.S. Senate,,,Overvotes,0,0,0,0
Venango,Franklin 2,U.S. Senate,,,Undervotes,3,1,2,0
