county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Lebanon,LEBANON FIRST WARD EAST,Registered Voters,,,,0,,,
Lebanon,LEBANON FIRST WARD EAST,Ballots Cast,,,,313,256,50,7
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,DEM,John Fetterman,143,106,35,2
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,REP,Mehmet Oz,155,141,10,4
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,LIB,Erik Gerhardt,9,7,2,0
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,GRN,Richard L. Weiss,2,1,1,0
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,KEY,Daniel Wassmer,3,1,2,0
Lebanon,LEBANON FIRST WARD EAST,U.S. Senate,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD EAST,Governor,,DEM,Josh Shapiro,156,113,40,3
Lebanon,LEBANON FIRST WARD EAST,Governor,,REP,Douglas V. Mastriano,140,130,7,3
Lebanon,LEBANON FIRST WARD EAST,Governor,,LIB,Matt Hackenburg,8,5,2,1
Lebanon,LEBANON FIRST WARD EAST,Governor,,GRN,Christina DiGiulio,4,3,1,0
Lebanon,LEBANON FIRST WARD EAST,Governor,,KEY,Joe Soloski,1,1,0,0
Lebanon,LEBANON FIRST WARD EAST,Governor,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD EAST,U.S. House,9,DEM,Amanda R. Waldman,139,99,37,3
Lebanon,LEBANON FIRST WARD EAST,U.S. House,9,REP,Dan Meuser,169,153,13,3
Lebanon,LEBANON FIRST WARD EAST,U.S. House,9,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD EAST,State Senate,48,DEM,Calvin Clements,129,90,37,2
Lebanon,LEBANON FIRST WARD EAST,State Senate,48,REP,Chris Gebhard,175,158,13,4
Lebanon,LEBANON FIRST WARD EAST,State Senate,48,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD EAST,State House,101,DEM,Catherine Miller,143,102,37,4
Lebanon,LEBANON FIRST WARD EAST,State House,101,REP,John Schlegel,164,148,13,3
Lebanon,LEBANON FIRST WARD EAST,State House,101,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,Registered Voters,,,,0,,,
Lebanon,LEBANON FIRST WARD MIDDLE,Ballots Cast,,,,221,176,44,1
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,DEM,John Fetterman,94,65,29,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,REP,Mehmet Oz,110,99,10,1
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,LIB,Erik Gerhardt,6,4,2,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,GRN,Richard L. Weiss,2,1,1,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,KEY,Daniel Wassmer,6,4,2,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. Senate,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,DEM,Josh Shapiro,107,71,36,0
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,REP,Douglas V. Mastriano,105,97,7,1
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,LIB,Matt Hackenburg,2,2,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,GRN,Christina DiGiulio,1,1,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,KEY,Joe Soloski,3,2,1,0
Lebanon,LEBANON FIRST WARD MIDDLE,Governor,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. House,9,DEM,Amanda R. Waldman,88,55,33,0
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. House,9,REP,Dan Meuser,131,119,11,1
Lebanon,LEBANON FIRST WARD MIDDLE,U.S. House,9,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,State Senate,48,DEM,Calvin Clements,80,51,29,0
Lebanon,LEBANON FIRST WARD MIDDLE,State Senate,48,REP,Chris Gebhard,139,123,15,1
Lebanon,LEBANON FIRST WARD MIDDLE,State Senate,48,,Write Ins,1,1,0,0
Lebanon,LEBANON FIRST WARD MIDDLE,State House,101,DEM,Catherine Miller,94,62,32,0
Lebanon,LEBANON FIRST WARD MIDDLE,State House,101,REP,John Schlegel,124,111,12,1
Lebanon,LEBANON FIRST WARD MIDDLE,State House,101,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD WEST,Registered Voters,,,,0,,,
Lebanon,LEBANON FIRST WARD WEST,Ballots Cast,,,,246,195,50,1
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,DEM,John Fetterman,108,71,36,1
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,REP,Mehmet Oz,123,112,11,0
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,LIB,Erik Gerhardt,9,7,2,0
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,GRN,Richard L. Weiss,4,3,1,0
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,KEY,Daniel Wassmer,1,1,0,0
Lebanon,LEBANON FIRST WARD WEST,U.S. Senate,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD WEST,Governor,,DEM,Josh Shapiro,124,83,40,1
Lebanon,LEBANON FIRST WARD WEST,Governor,,REP,Douglas V. Mastriano,115,105,10,0
Lebanon,LEBANON FIRST WARD WEST,Governor,,LIB,Matt Hackenburg,3,3,0,0
Lebanon,LEBANON FIRST WARD WEST,Governor,,GRN,Christina DiGiulio,1,1,0,0
Lebanon,LEBANON FIRST WARD WEST,Governor,,KEY,Joe Soloski,1,1,0,0
Lebanon,LEBANON FIRST WARD WEST,Governor,,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD WEST,U.S. House,9,DEM,Amanda R. Waldman,95,58,36,1
Lebanon,LEBANON FIRST WARD WEST,U.S. House,9,REP,Dan Meuser,144,130,14,0
Lebanon,LEBANON FIRST WARD WEST,U.S. House,9,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD WEST,State Senate,48,DEM,Calvin Clements,93,59,33,1
Lebanon,LEBANON FIRST WARD WEST,State Senate,48,REP,Chris Gebhard,144,127,17,0
Lebanon,LEBANON FIRST WARD WEST,State Senate,48,,Write Ins,0,0,0,0
Lebanon,LEBANON FIRST WARD WEST,State House,101,DEM,Catherine Miller,101,63,37,1
Lebanon,LEBANON FIRST WARD WEST,State House,101,REP,John Schlegel,140,127,13,0
Lebanon,LEBANON FIRST WARD WEST,State House,101,,Write Ins,0,0,0,0
Lebanon,LEBANON SECOND WARD EAST,Registered Voters,,,,0,,,
Lebanon,LEBANON SECOND WARD EAST,Ballots Cast,,,,591,436,149,6
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,DEM,John Fetterman,301,186,111,4
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,REP,Mehmet Oz,255,224,30,1
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,LIB,Erik Gerhardt,19,16,2,1
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,GRN,Richard L. Weiss,4,1,3,0
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,KEY,Daniel Wassmer,3,2,1,0
Lebanon,LEBANON SECOND WARD EAST,U.S. Senate,,,Write Ins,1,1,0,0
