candidate,office,district,party,county,votes,winner
"BEYER, KAREN D.",State Representative,131,REP,Lehigh,3455,
"MINGER, LINDA J.",State Representative,131,DEM,Lehigh,2864,
"MINDER, DRAKE E. ",State Representative,131,IND,Lehigh,364,
"SCHEIRER, WALTER J. ",State Representative,131,GRN,Lehigh,126,
"BEYER, KAREN D.",State Representative,131,REP,Northampton,309,
"MINGER, LINDA J.",State Representative,131,DEM,Northampton,259,
"MINDER, DRAKE E. ",State Representative,131,IND,Northampton,31,
"SCHEIRER, WALTER J. ",State Representative,131,GRN,Northampton,11,
"BEYER, KAREN D.",State Representative,131,REP,,3764,TRUE
"MINGER, LINDA J.",State Representative,131,DEM,,3123,
"MINDER, DRAKE E. ",State Representative,131,IND,,395,
"SCHEIRER, WALTER J. ",State Representative,131,GRN,,137,
