county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,,,1507,,,
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,,,433,331,99,3
Lackawanna,Waverly Township W-00 P-00,Ballots Cast - Blank,,,,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,DEM,Daniel McCaffery,150,114,35,1
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,DEM,Debbie Kunselman,91,57,32,2
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,DEM,Write-ins,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,DEM,Pat Dugan,109,80,29,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,DEM,Timika Lane,130,93,35,2
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,DEM,Jill Beck,148,97,48,3
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,DEM,Write-ins,4,2,2,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,DEM,Matt Wolf,166,120,44,2
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,DEM,Bryan Neft,61,40,20,1
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,DEM,Write-ins,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Court of Common Pleas,,DEM,Frank J. Ruggiero,218,155,61,2
Lackawanna,Waverly Township W-00 P-00,Judge of the Court of Common Pleas,,DEM,Write-ins,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Bill Gaughan,158,125,32,1
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Philip Robson,40,27,13,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Michael Fedorka,15,8,6,1
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Matt McGloin,159,107,50,2
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Jerry Notarianni,116,85,30,1
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,DEM,Write-ins,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,Clerk of Judicial Records,,DEM,Mauri Kelly,233,169,61,3
Lackawanna,Waverly Township W-00 P-00,Clerk of Judicial Records,,DEM,Write-ins,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,County Controller,,DEM,Gary A. DiBileo,226,162,61,3
Lackawanna,Waverly Township W-00 P-00,County Controller,,DEM,Write-ins,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,County Treasurer,,DEM,J.R. Refice,80,53,25,2
Lackawanna,Waverly Township W-00 P-00,County Treasurer,,DEM,Angela Rempe Jones,159,118,40,1
Lackawanna,Waverly Township W-00 P-00,County Treasurer,,DEM,Write-ins,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,Coroner,,DEM,Tim Rowland,234,166,66,2
Lackawanna,Waverly Township W-00 P-00,Coroner,,DEM,Write-ins,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,Township Supervisor,Waverly,DEM,Write-ins,137,110,25,2
Lackawanna,Waverly Township W-00 P-00,Township Auditor,Waverly,DEM,Write-ins,9,3,5,1
Lackawanna,Waverly Township W-00 P-00,School Director Region 1,Abington Heights,DEM,Warren T. Acker,222,157,62,3
Lackawanna,Waverly Township W-00 P-00,School Director Region 1,Abington Heights,DEM,Write-ins,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,School Director,Abington Heights,DEM,Philip Robson,186,127,58,1
Lackawanna,Waverly Township W-00 P-00,School Director,Abington Heights,DEM,Greg Moran,177,118,57,2
Lackawanna,Waverly Township W-00 P-00,School Director,Abington Heights,DEM,Write-ins,3,1,0,2
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,REP,Patricia A. McCullough,44,37,7,0
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,REP,Carolyn Carluccio,92,77,15,0
Lackawanna,Waverly Township W-00 P-00,Justice of the Supreme Court,,REP,Write-ins,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,REP,Maria Battista,102,84,18,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,REP,Harry F. Smail Jr.,74,57,17,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Superior Court,,REP,Write-ins,4,4,0,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,REP,Josh Prince,38,35,3,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,REP,Megan Martin,91,72,19,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Commonwealth Court,,REP,Write-ins,3,3,0,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Court of Common Pleas,,REP,Frank J. Ruggiero,124,103,21,0
Lackawanna,Waverly Township W-00 P-00,Judge of the Court of Common Pleas,,REP,Write-ins,3,3,0,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,REP,Diana Campbell,77,65,12,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,REP,Chris Chermak,129,109,20,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,REP,Laureen A. Cummings,23,17,6,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,REP,Brian J. Reap,49,40,9,0
Lackawanna,Waverly Township W-00 P-00,County Commissioner,,REP,Write-ins,4,2,2,0
Lackawanna,Waverly Township W-00 P-00,Clerk of Judicial Records,,REP,Write-ins,5,4,1,0
Lackawanna,Waverly Township W-00 P-00,County Controller,,REP,Write-ins,5,4,1,0
Lackawanna,Waverly Township W-00 P-00,County Treasurer,,REP,Write-ins,6,5,1,0
Lackawanna,Waverly Township W-00 P-00,Coroner,,REP,Write-ins,12,11,1,0
Lackawanna,Waverly Township W-00 P-00,Township Supervisor,Waverly,REP,David W. Rothenberg,78,62,16,0
Lackawanna,Waverly Township W-00 P-00,Township Supervisor,Waverly,REP,Write-ins,36,34,2,0
Lackawanna,Waverly Township W-00 P-00,Township Auditor,Waverly,REP,Write-ins,5,4,1,0
Lackawanna,Waverly Township W-00 P-00,School Director Region 1,Abington Heights,REP,Warren T. Acker,130,107,23,0
Lackawanna,Waverly Township W-00 P-00,School Director Region 1,Abington Heights,REP,Write-ins,2,2,0,0
