county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lehigh,Alburtis- 0071,Registered Voters,,,,1658,,,
Lehigh,Alburtis- 0071,Ballots Cast,,,,559,,,
Lehigh,Alburtis- 0071,Justice of the Supreme Court,,DEM,Daniel McCaffery,292,,,
Lehigh,Alburtis- 0071,Justice of the Supreme Court,,REP,Carolyn Carluccio,252,,,
Lehigh,Alburtis- 0071,Justice of the Supreme Court,,,Write-ins,1,,,
Lehigh,Alburtis- 0071,Judge of the Superior Court,,DEM,Jill Beck,267,,,
Lehigh,Alburtis- 0071,Judge of the Superior Court,,DEM,Timika Lane,245,,,
Lehigh,Alburtis- 0071,Judge of the Superior Court,,REP,Maria Battista,259,,,
Lehigh,Alburtis- 0071,Judge of the Superior Court,,REP,Harry F Smail Jr,234,,,
Lehigh,Alburtis- 0071,Judge of the Superior Court,,,Write-ins,2,,,
Lehigh,Alburtis- 0071,Judge of the Commonwealth Court,,DEM,Matt Wolf,277,,,
Lehigh,Alburtis- 0071,Judge of the Commonwealth Court,,REP,Megan Martin,261,,,
Lehigh,Alburtis- 0071,Judge of the Commonwealth Court,,,Write-ins,1,,,
Lehigh,Alburtis- 0071,County Commissioner,,DEM,Sheila Alvarado,262,,,
Lehigh,Alburtis- 0071,County Commissioner,,DEM,Dan Hartzell,272,,,
Lehigh,Alburtis- 0071,County Commissioner,,DEM,April Riddick,244,,,
Lehigh,Alburtis- 0071,County Commissioner,,DEM,Jon Irons,234,,,
Lehigh,Alburtis- 0071,County Commissioner,,REP,Paul Moat,246,,,
Lehigh,Alburtis- 0071,County Commissioner,,REP,Rita Sisselberger,238,,,
Lehigh,Alburtis- 0071,County Commissioner,,REP,Gary S Fedorcha,258,,,
Lehigh,Alburtis- 0071,County Commissioner,,REP,Jacqueline Rivera,257,,,
Lehigh,Alburtis- 0071,County Commissioner,,,Write-ins,5,,,
Lehigh,Alburtis- 0071,County Controller,,DEM,Mark Pinsley,257,,,
Lehigh,Alburtis- 0071,County Controller,,REP,Robert E Smith Jr,281,,,
Lehigh,Alburtis- 0071,County Controller,,,Write-ins,1,,,
Lehigh,Alburtis- 0071,District Attorney,,D/R,Gavin Holihan,445,,,
Lehigh,Alburtis- 0071,District Attorney,,,Write-ins,9,,,
Lehigh,Alburtis- 0071,Sheriff,,D/R,Joe Hanna,470,,,
Lehigh,Alburtis- 0071,Sheriff,,,Write-ins,8,,,
Lehigh,Alburtis- 0071,Clerk of Judicial Records,,DEM,Michelle Graupner,395,,,
Lehigh,Alburtis- 0071,Clerk of Judicial Records,,,Write-ins,18,,,
Lehigh,Alburtis- 0071,Coroner,,DEM,Daniel Buglio,299,,,
Lehigh,Alburtis- 0071,Coroner,,REP,Joseph Zitarelli,244,,,
Lehigh,Alburtis- 0071,Coroner,,,Write-ins,3,,,
Lehigh,Alburtis- 0071,Magisterial District Judge,31-3-02,DEM,Julie Tamerler,221,,,
Lehigh,Alburtis- 0071,Magisterial District Judge,31-3-02,REP,Michael J Faulkner,325,,,
Lehigh,Alburtis- 0071,Magisterial District Judge,31-3-02,,Write-ins,1,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,DEM,Ashlynn Rivera,313,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,REP,Chad D Atkins,336,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,REP,Mehmet K Birtek,330,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,REP,John J Aleszczyk,283,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,REP,Ron DeIaco,316,,,
Lehigh,Alburtis- 0071,Borough Council (4 Year),Alburtis,,Write-ins,20,,,
Lehigh,Alburtis- 0071,Borough Council (2 Year),Alburtis,,Write-ins,101,,,
Lehigh,Alburtis- 0071,School Director,East Penn,DEM,Joshua Levinson,270,,,
Lehigh,Alburtis- 0071,School Director,East Penn,DEM,Gabrielle Klotz,266,,,
Lehigh,Alburtis- 0071,School Director,East Penn,DEM,Shonta Ford,268,,,
Lehigh,Alburtis- 0071,School Director,East Penn,DEM,Jeffrey Jankowski,266,,,
Lehigh,Alburtis- 0071,School Director,East Penn,DEM,Timothy Kelly,261,,,
Lehigh,Alburtis- 0071,School Director,East Penn,REP,Paul Barbehenn,230,,,
Lehigh,Alburtis- 0071,School Director,East Penn,REP,Matt Mull,223,,,
Lehigh,Alburtis- 0071,School Director,East Penn,REP,Angelic Schneider,239,,,
Lehigh,Alburtis- 0071,School Director,East Penn,REP,Kristofer DePaolo,240,,,
Lehigh,Alburtis- 0071,School Director,East Penn,REP,Lawrence Huyssen,218,,,
Lehigh,Alburtis- 0071,School Director,East Penn,,Write-ins,9,,,
Lehigh,Alburtis- 0071,Superior Court Retention Election Question (Jack Panella),,,Yes,310,,,
Lehigh,Alburtis- 0071,Superior Court Retention Election Question (Jack Panella),,,No,128,,,
Lehigh,Alburtis- 0071,Superior Court Retention Election Question (Victor P Stabile),,,Yes,284,,,
Lehigh,Alburtis- 0071,Superior Court Retention Election Question (Victor P Stabile),,,No,162,,,
Lehigh,Alburtis- 0071,Judge of the Court of Common Pleas Retention Election Question (Brian Johnson),,,Yes,323,,,
Lehigh,Alburtis- 0071,Judge of the Court of Common Pleas Retention Election Question (Brian Johnson),,,No,121,,,
Lehigh,Allentown 10th Ward 1st Distri- 0017,Registered Voters,,,,1710,,,
Lehigh,Allentown 10th Ward 1st Distri- 0017,Ballots Cast,,,,122,,,
Lehigh,Allentown 10th Ward 1st Distri- 0017,Justice of the Supreme Court,,DEM,Daniel McCaffery,88,,,
Lehigh,Allentown 10th Ward 1st Distri- 0017,Justice of the Supreme Court,,REP,Carolyn Carluccio,30,,,
