county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lawrence,New Castle 1-1,Registered Voters,,,,456,,,
Lawrence,New Castle 1-1,Ballots Cast,,,,105,72,33,0
Lawrence,New Castle 1-1,Ballots Cast - Blank,,,,0,0,0,0
Lawrence,New Castle 1-1,Justice of the Supreme Court,,DEM,DANIEL MCCAFFERY,62,38,24,0
Lawrence,New Castle 1-1,Justice of the Supreme Court,,REP,CAROLYN CARLUCCIO,38,31,7,0
Lawrence,New Castle 1-1,Justice of the Supreme Court,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,Justice of the Supreme Court,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Justice of the Supreme Court,,,Undervotes,5,3,2,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,DEM,TIMIKA LANE,55,34,21,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,DEM,JILL BECK,46,26,20,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,REP,MARIA BATTISTA,38,30,8,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,REP,HARRY F SMAIL JR,30,23,7,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Judge of the Superior Court,,,Undervotes,41,31,10,0
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,DEM,MATT WOLF,57,35,22,0
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,REP,MEGAN MARTIN,43,35,8,0
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,,Undervotes,5,2,3,0
Lawrence,New Castle 1-1,County Commissioner,,DEM,CHRIS SAINATO,75,45,30,0
Lawrence,New Castle 1-1,County Commissioner,,DEM,LORETTA SPIELVOGEL,46,32,14,0
Lawrence,New Castle 1-1,County Commissioner,,REP,DANIEL J VOGLER,35,26,9,0
Lawrence,New Castle 1-1,County Commissioner,,REP,DAN KENNEDY,19,16,3,0
Lawrence,New Castle 1-1,County Commissioner,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,County Commissioner,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,County Commissioner,,,Undervotes,35,25,10,0
Lawrence,New Castle 1-1,County Controller,,D/R,DAVID J PRESTOPINE,96,63,33,0
Lawrence,New Castle 1-1,County Controller,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,County Controller,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,County Controller,,,Undervotes,9,9,0,0
Lawrence,New Castle 1-1,Prothonotary and Clerk of Courts,,D/R,JODI KLABON ESOLDO,96,65,31,0
Lawrence,New Castle 1-1,Prothonotary and Clerk of Courts,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,Prothonotary and Clerk of Courts,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Prothonotary and Clerk of Courts,,,Undervotes,9,7,2,0
Lawrence,New Castle 1-1,Coroner,,D/R,RICHARD RJ JOHNSON,95,63,32,0
Lawrence,New Castle 1-1,Coroner,,,Write-ins,2,2,0,0
Lawrence,New Castle 1-1,Coroner,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Coroner,,,Undervotes,8,7,1,0
Lawrence,New Castle 1-1,Treasurer,,DEM,RICHARD L RAPONE,75,46,29,0
Lawrence,New Castle 1-1,Treasurer,,REP,BILL MESSNER,27,24,3,0
Lawrence,New Castle 1-1,Treasurer,,,Write-ins,0,0,0,0
Lawrence,New Castle 1-1,Treasurer,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Treasurer,,,Undervotes,3,2,1,0
Lawrence,New Castle 1-1,Mayor New Castle,,DEM,MARK ELISCO,82,55,27,0
Lawrence,New Castle 1-1,Mayor New Castle,,,Write-ins,6,4,2,0
Lawrence,New Castle 1-1,Mayor New Castle,,,Overvotes,0,0,0,0
Lawrence,New Castle 1-1,Mayor New Castle,,,Undervotes,17,13,4,0
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,DEM,ROBERT A RAZZANO,44,24,20,0
