county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Susquehanna,Apolacon Township,Registered Voters,,,,322,,,
Susquehanna,Apolacon Township,Ballots Cast,,,,112,,,
Susquehanna,Apolacon Township,Ballots Cast - Blank,,,,0,,,
Susquehanna,Apolacon Township,Justice of the Supreme Court,,DEM,Daniel McCaffery,31,,,
Susquehanna,Apolacon Township,Justice of the Supreme Court,,REP,Carolyn Carluccio,77,,,
Susquehanna,Apolacon Township,Justice of the Supreme Court,,,Write-ins,0,,,
Susquehanna,Apolacon Township,Justice of the Supreme Court,,,Undervotes,4,,,
Susquehanna,Apolacon Township,Justice of the Supreme Court,,,Overvotes,0,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,DEM,Jill Beck,42,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,DEM,Timika Lane,33,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,REP,Maria Battista,67,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,REP,Harry F Smail Jr,58,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,,Write-ins,0,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,,Undervotes,24,,,
Susquehanna,Apolacon Township,Judge of the Superior Court,,,Overvotes,0,,,
Susquehanna,Apolacon Township,Judge of the Commonwealth Court,,DEM,Matt Wolf,34,,,
Susquehanna,Apolacon Township,Judge of the Commonwealth Court,,REP,Megan Martin,73,,,
Susquehanna,Apolacon Township,Judge of the Commonwealth Court,,,Write-ins,0,,,
Susquehanna,Apolacon Township,Judge of the Commonwealth Court,,,Undervotes,5,,,
Susquehanna,Apolacon Township,Judge of the Commonwealth Court,,,Overvotes,0,,,
Susquehanna,Apolacon Township,District Attorney,,REP,Marion O'malley,83,,,
Susquehanna,Apolacon Township,District Attorney,,,Write-ins,3,,,
Susquehanna,Apolacon Township,District Attorney,,,Undervotes,26,,,
Susquehanna,Apolacon Township,District Attorney,,,Overvotes,0,,,
Susquehanna,Apolacon Township,County Commissioner,,DEM,Judith Herschel,39,,,
Susquehanna,Apolacon Township,County Commissioner,,REP,Alan Hall,68,,,
Susquehanna,Apolacon Township,County Commissioner,,REP,David Darrow,66,,,
Susquehanna,Apolacon Township,County Commissioner,,,Write-ins,3,,,
Susquehanna,Apolacon Township,County Commissioner,,,Undervotes,48,,,
Susquehanna,Apolacon Township,County Commissioner,,,Overvotes,0,,,
Susquehanna,Apolacon Township,County Treasurer,,REP,Rebecca Wescott,88,,,
Susquehanna,Apolacon Township,County Treasurer,,,Write-ins,3,,,
Susquehanna,Apolacon Township,County Treasurer,,,Undervotes,21,,,
Susquehanna,Apolacon Township,County Treasurer,,,Overvotes,0,,,
Susquehanna,Apolacon Township,"Register of Wills, Recorder of Deeds, & Clerk of Orphans Court",,DEM,Tom Charles,37,,,
Susquehanna,Apolacon Township,"Register of Wills, Recorder of Deeds, & Clerk of Orphans Court",,REP,Wendy Zapolski,71,,,
Susquehanna,Apolacon Township,"Register of Wills, Recorder of Deeds, & Clerk of Orphans Court",,,Write-ins,0,,,
Susquehanna,Apolacon Township,"Register of Wills, Recorder of Deeds, & Clerk of Orphans Court",,,Undervotes,4,,,
Susquehanna,Apolacon Township,"Register of Wills, Recorder of Deeds, & Clerk of Orphans Court",,,Overvotes,0,,,
Susquehanna,Apolacon Township,County Auditor,,DEM,Rick Ainey,45,,,
Susquehanna,Apolacon Township,County Auditor,,REP,Bob Deluca,61,,,
Susquehanna,Apolacon Township,County Auditor,,REP,Stephanie M Sojka-reisch,64,,,
Susquehanna,Apolacon Township,County Auditor,,,Write-ins,3,,,
Susquehanna,Apolacon Township,County Auditor,,,Undervotes,51,,,
Susquehanna,Apolacon Township,County Auditor,,,Overvotes,0,,,
Susquehanna,Apolacon Township,Coroner,,REP,Anthony J Conarton,85,,,
Susquehanna,Apolacon Township,Coroner,,,Write-ins,1,,,
Susquehanna,Apolacon Township,Coroner,,,Undervotes,26,,,
Susquehanna,Apolacon Township,Coroner,,,Overvotes,0,,,
Susquehanna,Apolacon Township,Magisterial District Judge,34-3-01,DEM,Linda Labarbera,40,,,
Susquehanna,Apolacon Township,Magisterial District Judge,34-3-01,REP,Gregory Scheer,67,,,
Susquehanna,Apolacon Township,Magisterial District Judge,34-3-01,,Write-ins,1,,,
