county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lebanon,Leb 1st Ward East 01E,Ballots Cast,,,,111,87,24,0
Lebanon,Leb 1st Ward East 01E,Ballots Cast - Blank,,,,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,DEM,Daniel McCaffery,24,15,9,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,DEM,Debbie Kunselman,23,15,8,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,DEM,Pat Dugan,21,11,10,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,DEM,Timika Lane,33,21,12,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,DEM,Jill Beck,29,20,9,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,DEM,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,DEM,Matt Wolf,30,21,9,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,DEM,Bryan Neft,15,8,7,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,DEM,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,DEM,Megan Ryland Tanner,25,15,10,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,DEM,Elizabeth Judd,23,16,7,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,DEM,Write-ins,1,0,1,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,DEM,Jo Ellen Litz,27,15,12,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,DEM,Diana Carpenter,37,23,14,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,DEM,Michael Schroeder,19,14,5,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,DEM,Write-ins,2,1,1,0
Lebanon,Leb 1st Ward East 01E,County Controller,,DEM,Write-ins,2,1,1,0
Lebanon,Leb 1st Ward East 01E,Recorder of Deeds,,DEM,Write-ins,2,1,1,0
Lebanon,Leb 1st Ward East 01E,County Treasurer,,DEM,Write-ins,3,0,3,0
Lebanon,Leb 1st Ward East 01E,Coroner,,DEM,Write-ins,3,2,1,0
Lebanon,Leb 1st Ward East 01E,Prothonotary,,DEM,Write-ins,2,1,1,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,William Eckenroth,27,14,13,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,Matthew Hershey,28,17,11,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,Robert G Okonak,27,16,11,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,Jan Falk,30,16,14,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,Cesar B Liriano,30,18,12,0
Lebanon,Leb 1st Ward East 01E,School Director,Lebanon,DEM,Write-ins,1,1,0,0
Lebanon,Leb 1st Ward East 01E,City Council,Lebanon City,DEM,Write-ins,6,3,3,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,REP,Patricia A McCullough,30,25,5,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,REP,Carolyn Carluccio,20,19,1,0
Lebanon,Leb 1st Ward East 01E,Justice of the Supreme Court,,REP,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,REP,Maria Battista,36,32,4,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,REP,Harry F. Smail Jr.,29,26,3,0
Lebanon,Leb 1st Ward East 01E,Judge of the Superior Court,,REP,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,REP,Josh Prince,26,21,5,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,REP,Megan Martin,23,22,1,0
Lebanon,Leb 1st Ward East 01E,Judge of the Commonwealth Court,,REP,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,REP,Donna Long Brightbill,32,29,3,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,REP,Elizabeth Judd,11,11,0,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,REP,Megan Ryland Tanner,17,14,3,0
Lebanon,Leb 1st Ward East 01E,Judge of the Court of Common Pleas,,REP,Write-ins,0,0,0,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,REP,Sharon Zook,20,19,1,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,REP,Mike Kuhn,37,35,2,0
Lebanon,Leb 1st Ward East 01E,County Commissioner,,REP,Bill Bering,23,19,4,0
