candidate,office,district,party,county,precinct,election_day,absentee,provisional,emergency,votes
,Registered Voters,,,Bradford,ALBA BOROUGH,95,95,95,95,95
,Ballots Cast,,,Bradford,ALBA BOROUGH,52,0,0,0,52
,Straight Party,,DEM,Bradford,ALBA BOROUGH,4,0,0,0,4
,Straight Party,,REP,Bradford,ALBA BOROUGH,22,0,0,0,22
,Straight Party,,GRN,Bradford,ALBA BOROUGH,0,0,0,0,0
,Straight Party,,LIB,Bradford,ALBA BOROUGH,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ALBA BOROUGH,11,0,0,0,11
Lou Barletta,U.S. Senate,,REP,Bradford,ALBA BOROUGH,39,0,0,0,39
Neal Gale,U.S. Senate,,GRN,Bradford,ALBA BOROUGH,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ALBA BOROUGH,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,ALBA BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ALBA BOROUGH,11,0,0,0,11
Wagner/Bartos,Governor,,REP,Bradford,ALBA BOROUGH,38,0,0,0,38
Glover/Bostick,Governor,,GRN,Bradford,ALBA BOROUGH,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,ALBA BOROUGH,1,0,0,0,1
Write In Votes,Governor,,,Bradford,ALBA BOROUGH,1,0,0,0,1
Marc Friedenberg,U.S. House,12,DEM,Bradford,ALBA BOROUGH,6,0,0,0,6
Tom Marino,U.S. House,12,REP,Bradford,ALBA BOROUGH,46,0,0,0,46
Write In Votes,U.S. House,12,,Bradford,ALBA BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ALBA BOROUGH,6,0,0,0,6
Clint Owlet,State House,68,REP,Bradford,ALBA BOROUGH,46,0,0,0,46
Write In Votes,State House,68,,Bradford,ALBA BOROUGH,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,ALBA BOROUGH,,,,,
Tina Pickett,State House,110,REP,Bradford,ALBA BOROUGH,,,,,
Write In Votes,State House,110,,Bradford,ALBA BOROUGH,,,,,
