county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,emergency
Dauphin,Lower Paxton Twp--6th Precinct,Governor,,LIB,Ken V. KRAWCHUK,4,1,3,0,0
Dauphin,Lower Paxton Twp--7th Precinct,Governor,,LIB,Ken V. KRAWCHUK,16,0,16,0,0
Dauphin,Lower Paxton Twp--8th Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,Lower Paxton Twp--9th Precinct,Governor,,LIB,Ken V. KRAWCHUK,14,0,14,0,0
Dauphin,Lower Paxton Twp--10th Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,1,6,0,0
Dauphin,Lower Paxton Twp--11th Precinct,Governor,,LIB,Ken V. KRAWCHUK,5,0,5,0,0
Dauphin,Lower Paxton Twp--12th Precinct,Governor,,LIB,Ken V. KRAWCHUK,15,0,15,0,0
Dauphin,Lower Paxton Twp--13th Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,Lower Paxton Twp--14th Precinct,Governor,,LIB,Ken V. KRAWCHUK,5,0,5,0,0
Dauphin,Lower Paxton Twp--15th Precinct,Governor,,LIB,Ken V. KRAWCHUK,14,0,14,0,0
Dauphin,Lower Paxton Twp--16th Precinct,Governor,,LIB,Ken V. KRAWCHUK,16,1,15,0,0
Dauphin,Lower Paxton Twp--17th Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,1,6,0,0
Dauphin,Lower Paxton Twp--18th Precinct,Governor,,LIB,Ken V. KRAWCHUK,5,1,4,0,0
Dauphin,Lower Paxton Twp--19th Precinct,Governor,,LIB,Ken V. KRAWCHUK,10,1,9,0,0
Dauphin,Lower Paxton Twp--20th Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,0,7,0,0
Dauphin,Lower Paxton Twp--21st Precinct,Governor,,LIB,Ken V. KRAWCHUK,20,1,19,0,0
Dauphin,Lower Paxton Twp--22nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,8,0,8,0,0
Dauphin,Lower Paxton Twp--23rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,Lower Paxton Twp--24th Precinct,Governor,,LIB,Ken V. KRAWCHUK,14,0,14,0,0
Dauphin,Lower Paxton Twp--25th Precinct,Governor,,LIB,Ken V. KRAWCHUK,11,0,11,0,0
Dauphin,Lower Paxton Twp--26th Precinct,Governor,,LIB,Ken V. KRAWCHUK,13,1,12,0,0
Dauphin,Lower Paxton Twp--27th Precinct,Governor,,LIB,Ken V. KRAWCHUK,14,0,14,0,0
Dauphin,Lower Swatara Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,10,1,9,0,0
Dauphin,Lower Swatara Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,2,0,2,0,0
Dauphin,Lower Swatara Twp--3rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,15,0,15,0,0
Dauphin,Lower Swatara Twp--4th Precinct,Governor,,LIB,Ken V. KRAWCHUK,13,1,12,0,0
Dauphin,Lykens Township,Governor,,LIB,Ken V. KRAWCHUK,2,0,2,0,0
Dauphin,Middle Paxton Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,14,0,14,0,0
Dauphin,Middle Paxton Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,8,0,8,0,0
Dauphin,Middle Paxton Twp--3rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,10,0,10,0,0
Dauphin,Mifflin Township,Governor,,LIB,Ken V. KRAWCHUK,2,0,2,0,0
Dauphin,Reed Township,Governor,,LIB,Ken V. KRAWCHUK,4,0,4,0,0
Dauphin,Rush Township,Governor,,LIB,Ken V. KRAWCHUK,0,0,0,0,0
Dauphin,South Hanover Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,13,0,13,0,0
Dauphin,South Hanover Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,25,1,24,0,0
Dauphin,South Hanover Twp--3rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,22,1,21,0,0
Dauphin,Susquehanna Twp--1st Ward,Governor,,LIB,Ken V. KRAWCHUK,19,2,17,0,0
Dauphin,Susquehanna Twp--2nd Ward,Governor,,LIB,Ken V. KRAWCHUK,24,0,24,0,0
Dauphin,Susquehanna Twp--3rd Ward,Governor,,LIB,Ken V. KRAWCHUK,21,1,20,0,0
Dauphin,Susquehanna Twp--4th Ward,Governor,,LIB,Ken V. KRAWCHUK,8,0,8,0,0
Dauphin,Susquehanna Twp--5th Ward,Governor,,LIB,Ken V. KRAWCHUK,8,0,8,0,0
Dauphin,Susquehanna Twp--6th Ward,Governor,,LIB,Ken V. KRAWCHUK,16,0,16,0,0
Dauphin,Susquehanna Twp--7th Ward,Governor,,LIB,Ken V. KRAWCHUK,14,1,13,0,0
Dauphin,Susquehanna Twp--8th Ward,Governor,,LIB,Ken V. KRAWCHUK,12,0,12,0,0
Dauphin,Susquehanna Twp--9th Ward,Governor,,LIB,Ken V. KRAWCHUK,15,1,14,0,0
Dauphin,Swatara Township--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,8,0,8,0,0
Dauphin,Swatara Township--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,13,2,11,0,0
Dauphin,Swatara Township--3rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,0,7,0,0
Dauphin,Swatara Township--4th Precinct,Governor,,LIB,Ken V. KRAWCHUK,13,0,13,0,0
Dauphin,Swatara Township--5th Precinct,Governor,,LIB,Ken V. KRAWCHUK,12,0,12,0,0
Dauphin,Swatara Township--6th Precinct,Governor,,LIB,Ken V. KRAWCHUK,16,1,15,0,0
Dauphin,Swatara Township--7th Precinct,Governor,,LIB,Ken V. KRAWCHUK,15,1,14,0,0
Dauphin,Swatara Township--8th Precinct,Governor,,LIB,Ken V. KRAWCHUK,30,0,30,0,0
Dauphin,Swatara Township--9th Precinct,Governor,,LIB,Ken V. KRAWCHUK,12,0,12,0,0
Dauphin,Swatara Township--10th Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,Upper Paxton Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,10,0,10,0,0
Dauphin,Upper Paxton Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,6,0,6,0,0
Dauphin,Washington Township,Governor,,LIB,Ken V. KRAWCHUK,12,0,12,0,0
Dauphin,Wayne Township,Governor,,LIB,Ken V. KRAWCHUK,4,0,4,0,0
Dauphin,West Hanover Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,West Hanover Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,0,7,0,0
Dauphin,West Hanover Twp--3rd Precinct,Governor,,LIB,Ken V. KRAWCHUK,9,0,9,0,0
Dauphin,West Hanover Twp--4th Precinct,Governor,,LIB,Ken V. KRAWCHUK,16,0,16,0,0
Dauphin,West Hanover Twp--5th Precinct,Governor,,LIB,Ken V. KRAWCHUK,6,0,6,0,0
Dauphin,West Hanover Twp--6th Precinct,Governor,,LIB,Ken V. KRAWCHUK,4,0,4,0,0
Dauphin,West Hanover Twp--7th Precinct,Governor,,LIB,Ken V. KRAWCHUK,7,0,7,0,0
Dauphin,Wiconisco Twp--1st Precinct,Governor,,LIB,Ken V. KRAWCHUK,1,0,1,0,0
Dauphin,Wiconisco Twp--2nd Precinct,Governor,,LIB,Ken V. KRAWCHUK,1,1,0,0,0
Dauphin,Williams Twp,Governor,,LIB,Ken V. KRAWCHUK,6,0,6,0,0
Dauphin,"City--1st Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,"City--1st Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,"City--1st Ward, 3rd Precinct",Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,"City--2nd Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,"City--2nd Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,City--3rd Ward,Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,City--4th Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,City--5th Ward,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,City--6th Ward,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,"City--7th Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,3,0,3,0,0
