candidate,office,district,party,county,precinct,votes,election_night,absentee
,Registered Voters,,,Lawrence,0001 NEW CASTLE W1 D1,513,,
,Ballots Cast,,,Lawrence,0001 NEW CASTLE W1 D1,213,210.0,3.0
,Straight Party,,DEM,Lawrence,0001 NEW CASTLE W1 D1,107,104.0,3.0
,Straight Party,,REP,Lawrence,0001 NEW CASTLE W1 D1,37,37.0,0.0
,Straight Party,,GRN,Lawrence,0001 NEW CASTLE W1 D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0001 NEW CASTLE W1 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0001 NEW CASTLE W1 D1,146,143.0,3.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0001 NEW CASTLE W1 D1,61,61.0,0.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0001 NEW CASTLE W1 D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0001 NEW CASTLE W1 D1,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0001 NEW CASTLE W1 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0001 NEW CASTLE W1 D1,147,144.0,3.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0001 NEW CASTLE W1 D1,60,60.0,0.0
PAUL GLOVER,Governor,,GRN,Lawrence,0001 NEW CASTLE W1 D1,5,5.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0001 NEW CASTLE W1 D1,0,0.0,0.0
WRITE-IN,Governor,,,Lawrence,0001 NEW CASTLE W1 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0001 NEW CASTLE W1 D1,139,136.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0001 NEW CASTLE W1 D1,71,71.0,0.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0001 NEW CASTLE W1 D1,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0001 NEW CASTLE W1 D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0001 NEW CASTLE W1 D1,159,156.0,3.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0001 NEW CASTLE W1 D1,51,51.0,0.0
WRITE-IN,State House,9.0,,Lawrence,0001 NEW CASTLE W1 D1,1,1.0,0.0
,Registered Voters,,,Lawrence,0002 NEW CASTLE W1 D2,508,,
,Ballots Cast,,,Lawrence,0002 NEW CASTLE W1 D2,294,281.0,13.0
,Straight Party,,DEM,Lawrence,0002 NEW CASTLE W1 D2,128,122.0,6.0
,Straight Party,,REP,Lawrence,0002 NEW CASTLE W1 D2,60,58.0,2.0
,Straight Party,,GRN,Lawrence,0002 NEW CASTLE W1 D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0002 NEW CASTLE W1 D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0002 NEW CASTLE W1 D2,182,174.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0002 NEW CASTLE W1 D2,103,99.0,4.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0002 NEW CASTLE W1 D2,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0002 NEW CASTLE W1 D2,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0002 NEW CASTLE W1 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0002 NEW CASTLE W1 D2,189,180.0,9.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0002 NEW CASTLE W1 D2,98,96.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0002 NEW CASTLE W1 D2,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0002 NEW CASTLE W1 D2,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0002 NEW CASTLE W1 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0002 NEW CASTLE W1 D2,173,165.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0002 NEW CASTLE W1 D2,111,107.0,4.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0002 NEW CASTLE W1 D2,5,4.0,1.0
