county,precinct,office,district,candidate,party,votes,absentee,election_day,emergency,provisional,federal
Westmoreland,0100 ADAMSBURG BOROUGH,,,Registered Voters,,112,,,,,
Westmoreland,0100 ADAMSBURG BOROUGH,,,Ballots Cast,,61,0,61,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Democratic,DEM,12,0,12,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Republican,REP,20,0,20,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Libertarian,LIB,1,0,1,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,24,0,24,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Lou Barletta,REP,35,0,35,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Neal Gale,GRN,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Dale R Kerns Jr,LIB,2,0,2,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Tom Wolf,DEM,28,0,28,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Scott R Wagner,REP,32,0,32,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Ken V Krawchuk,LIB,1,0,1,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14,Bibiana Boerio,DEM,19,0,19,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14,Guy Reschenthaler,REP,42,0,42,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58,Mary Popovich,DEM,21,0,21,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58,Justin Walsh,REP,40,0,40,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58,Write-ins,,0,0,0,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,,,Registered Voters,,2122,,,,,
Westmoreland,0203 ALLEGHENY TWP - NO 1,,,Ballots Cast,,1314,37,1277,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Democratic,DEM,279,10,269,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Republican,REP,529,11,518,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Libertarian,LIB,2,0,2,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Bob Casey Jr,DEM,498,16,482,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Lou Barletta,REP,782,21,761,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Neal Gale,GRN,5,0,5,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Dale R Kerns Jr,LIB,12,0,12,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Write-ins,,1,0,1,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Tom Wolf,DEM,549,20,529,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Scott R Wagner,REP,745,17,728,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Paul Glover,GRN,7,0,7,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Ken V Krawchuk,LIB,7,0,7,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14,Bibiana Boerio,DEM,457,16,441,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14,Guy Reschenthaler,REP,848,21,827,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54,Jon McCabe,DEM,465,15,450,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54,Bob Brooks,REP,833,22,811,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54,Write-ins,,0,0,0,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,,,Registered Voters,,551,,,,,
Westmoreland,0206 ALLEGHENY TWP - NO 2,,,Ballots Cast,,349,16,333,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Democratic,DEM,60,9,51,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Republican,REP,160,5,155,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Libertarian,LIB,2,0,2,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Bob Casey Jr,DEM,120,9,111,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Lou Barletta,REP,222,7,215,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Neal Gale,GRN,2,0,2,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Dale R Kerns Jr,LIB,4,0,4,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Tom Wolf,DEM,120,9,111,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Scott R Wagner,REP,223,7,216,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Ken V Krawchuk,LIB,4,0,4,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Write-ins,,2,0,2,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. House,14,Bibiana Boerio,DEM,109,9,100,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. House,14,Guy Reschenthaler,REP,239,7,232,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,State House,54,Jon McCabe,DEM,114,9,105,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,State House,54,Bob Brooks,REP,231,7,224,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,State House,54,Write-ins,,2,0,2,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,,,Registered Voters,,1515,,,,,
Westmoreland,0209 ALLEGHENY TWP - NO 3,,,Ballots Cast,,867,17,850,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Democratic,DEM,204,8,196,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Republican,REP,278,4,274,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Libertarian,LIB,0,0,0,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Bob Casey Jr,DEM,410,10,400,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Lou Barletta,REP,440,6,434,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Neal Gale,GRN,4,1,3,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Dale R Kerns Jr,LIB,3,0,3,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Tom Wolf,DEM,432,10,422,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Scott R Wagner,REP,425,6,419,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Paul Glover,GRN,2,0,2,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Ken V Krawchuk,LIB,4,1,3,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Write-ins,,2,0,2,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. House,14,Bibiana Boerio,DEM,378,10,368,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. House,14,Guy Reschenthaler,REP,484,7,477,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. House,14,Write-ins,,1,0,1,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,State House,54,Jon McCabe,DEM,377,10,367,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,State House,54,Bob Brooks,REP,482,7,475,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,State House,54,Write-ins,,2,0,2,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,,,Registered Voters,,747,,,,,
Westmoreland,0212 ALLEGHENY TWP - NO 4,,,Ballots Cast,,498,12,486,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Democratic,DEM,93,0,93,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Republican,REP,205,8,197,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Libertarian,LIB,1,0,1,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Bob Casey Jr,DEM,194,2,192,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Lou Barletta,REP,294,10,284,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Neal Gale,GRN,1,0,1,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Dale R Kerns Jr,LIB,6,0,6,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Tom Wolf,DEM,211,3,208,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Scott R Wagner,REP,273,9,264,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Paul Glover,GRN,2,0,2,0,0,0
