county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Mercer,0101 CLARK,Registered Voters,NA,NA,NA,430,NA,NA,NA
Mercer,0101 CLARK,Ballots Cast,NA,NA,NA,256,254,2,0
Mercer,0101 CLARK,STRAIGHT PARTY,NA,DEM,DEMOCRATIC,50,50,0,0
Mercer,0101 CLARK,STRAIGHT PARTY,NA,REP,REPUBLICAN,66,65,1,0
Mercer,0101 CLARK,STRAIGHT PARTY,NA,GRN,GREEN,0,0,0,0
Mercer,0101 CLARK,STRAIGHT PARTY,NA,LIB,LIBERTARIAN,1,1,0,0
Mercer,0101 CLARK,U.S. Senate,NA,DEM,BOB CASEY JR.,115,114,1,0
Mercer,0101 CLARK,U.S. Senate,NA,REP,LOU BARLETTA,134,133,1,0
Mercer,0101 CLARK,U.S. Senate,NA,GRN,NEAL GALE,1,1,0,0
Mercer,0101 CLARK,U.S. Senate,NA,LIB,DALE R. KERNS JR.,2,2,0,0
Mercer,0101 CLARK,U.S. Senate,NA,NA,Write-ins,0,0,0,0
Mercer,0101 CLARK,Governor,NA,DEM,WOLF / FETTERMAN,115,114,1,0
Mercer,0101 CLARK,Governor,NA,REP,WAGNER / BARTOS,134,133,1,0
Mercer,0101 CLARK,Governor,NA,GRN,GLOVER / BOWSER-BOSTICK,0,0,0,0
Mercer,0101 CLARK,Governor,NA,LIB,KRAWCHUK / SMITH,4,4,0,0
Mercer,0101 CLARK,Governor,NA,NA,Write-ins,0,0,0,0
Mercer,0101 CLARK,U.S. House,16,DEM,RON DINICOLA,119,118,1,0
Mercer,0101 CLARK,U.S. House,16,REP,MIKE KELLY,131,130,1,0
Mercer,0101 CLARK,U.S. House,16,LIB,EBERT G. BILL BEEMAN,4,4,0,0
Mercer,0101 CLARK,U.S. House,16,NA,Write-ins,0,0,0,0
Mercer,0101 CLARK,State Senate,50,DEM,SUE MULVEY,97,96,1,0
Mercer,0101 CLARK,State Senate,50,REP,MICHELE BROOKS,155,154,1,0
Mercer,0101 CLARK,State Senate,50,NA,Write-ins,0,0,0,0
Mercer,0101 CLARK,State House,7,DEM,MARK LONGIETTI,246,244,2,0
Mercer,0101 CLARK,State House,7,NA,Write-ins,1,1,0,0
Mercer,0201 COOLSPRING,Registered Voters,NA,NA,NA,1433,NA,NA,NA
Mercer,0201 COOLSPRING,Ballots Cast,NA,NA,NA,875,834,41,0
Mercer,0201 COOLSPRING,STRAIGHT PARTY,NA,DEM,DEMOCRATIC,112,106,6,0
Mercer,0201 COOLSPRING,STRAIGHT PARTY,NA,REP,REPUBLICAN,368,357,11,0
Mercer,0201 COOLSPRING,STRAIGHT PARTY,NA,GRN,GREEN,2,2,0,0
Mercer,0201 COOLSPRING,STRAIGHT PARTY,NA,LIB,LIBERTARIAN,1,1,0,0
Mercer,0201 COOLSPRING,U.S. Senate,NA,DEM,BOB CASEY JR.,271,257,14,0
Mercer,0201 COOLSPRING,U.S. Senate,NA,REP,LOU BARLETTA,580,553,27,0
Mercer,0201 COOLSPRING,U.S. Senate,NA,GRN,NEAL GALE,3,3,0,0
Mercer,0201 COOLSPRING,U.S. Senate,NA,LIB,DALE R. KERNS JR.,13,13,0,0
Mercer,0201 COOLSPRING,U.S. Senate,NA,NA,Write-ins,0,0,0,0
Mercer,0201 COOLSPRING,Governor,NA,DEM,WOLF / FETTERMAN,275,262,13,0
Mercer,0201 COOLSPRING,Governor,NA,REP,WAGNER / BARTOS,569,543,26,0
Mercer,0201 COOLSPRING,Governor,NA,GRN,GLOVER / BOWSER-BOSTICK,6,6,0,0
Mercer,0201 COOLSPRING,Governor,NA,LIB,KRAWCHUK / SMITH,17,15,2,0
Mercer,0201 COOLSPRING,Governor,NA,NA,Write-ins,0,0,0,0
Mercer,0201 COOLSPRING,U.S. House,16,DEM,RON DINICOLA,256,244,12,0
Mercer,0201 COOLSPRING,U.S. House,16,REP,MIKE KELLY,595,567,28,0
Mercer,0201 COOLSPRING,U.S. House,16,LIB,EBERT G. BILL BEEMAN,15,14,1,0
Mercer,0201 COOLSPRING,U.S. House,16,NA,Write-ins,0,0,0,0
Mercer,0201 COOLSPRING,State Senate,50,DEM,SUE MULVEY,200,192,8,0
Mercer,0201 COOLSPRING,State Senate,50,REP,MICHELE BROOKS,666,634,32,0
Mercer,0201 COOLSPRING,State Senate,50,NA,Write-ins,1,1,0,0
Mercer,0201 COOLSPRING,State House,8,DEM,LISA BOEVING-LEARNED,224,212,12,0
Mercer,0201 COOLSPRING,State House,8,REP,TEDD NESBIT,643,614,29,0
Mercer,0201 COOLSPRING,State House,8,NA,Write-ins,0,0,0,0
Mercer,0301 DEER CREEK,Registered Voters,NA,NA,NA,317,NA,NA,NA
Mercer,0301 DEER CREEK,Ballots Cast,NA,NA,NA,194,185,9,0
