county,precinct,precinct_name,party,office,district,candidate,votes
Centre,1,01 BELLEFONTE NORTH,,Registered Voters,,,512.0
Centre,1,01 BELLEFONTE NORTH,,Ballots Cast,,,357.0
Centre,1,01 BELLEFONTE NORTH,,VOTER TURNOUT - TOTAL,,,
Centre,1,01 BELLEFONTE NORTH,DEM,STRAIGHT PARTY,,DEMOCRATIC,87.0
Centre,1,01 BELLEFONTE NORTH,REP,STRAIGHT PARTY,,REPUBLICAN,83.0
Centre,1,01 BELLEFONTE NORTH,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,1,01 BELLEFONTE NORTH,LIB,STRAIGHT PARTY,,LIBERTARIAN,0.0
Centre,1,01 BELLEFONTE NORTH,DEM,U.S. Senate,,"BOB CASEY, JR",201.0
Centre,1,01 BELLEFONTE NORTH,REP,U.S. Senate,,LOU BARLETTA,145.0
Centre,1,01 BELLEFONTE NORTH,GRN,U.S. Senate,,NEAL GALE,5.0
Centre,1,01 BELLEFONTE NORTH,LIB,U.S. Senate,,"DALE R KERNS, JR",4.0
Centre,1,01 BELLEFONTE NORTH,,U.S. Senate,,WRITE-INS,0.0
Centre,1,01 BELLEFONTE NORTH,DEM,Governor,,TOM WOLF,206.0
Centre,1,01 BELLEFONTE NORTH,REP,Governor,,SCOTT R WAGNER,140.0
Centre,1,01 BELLEFONTE NORTH,GRN,Governor,,PAUL GLOVER,4.0
Centre,1,01 BELLEFONTE NORTH,LIB,Governor,,KEN V KRAWCHUK,5.0
Centre,1,01 BELLEFONTE NORTH,,Governor,,WRITE-INS,0.0
Centre,1,01 BELLEFONTE NORTH,DEM,U.S. House,15.0,SUSAN BOSER,185.0
Centre,1,01 BELLEFONTE NORTH,REP,U.S. House,15.0,GLENN GT THOMPSON,171.0
Centre,1,01 BELLEFONTE NORTH,,U.S. House,15.0,WRITE-INS,0.0
Centre,1,01 BELLEFONTE NORTH,DEM,State Senate,34.0,EZRA NANES,182.0
Centre,1,01 BELLEFONTE NORTH,REP,State Senate,34.0,JACOB D CORMAN III,171.0
Centre,1,01 BELLEFONTE NORTH,,State Senate,34.0,WRITE-INS,2.0
Centre,1,01 BELLEFONTE NORTH,DEM,State House,171.0,ERIN MCCRACKEN,161.0
Centre,1,01 BELLEFONTE NORTH,REP,State House,171.0,KERRY A BENNINGHOFF,194.0
Centre,1,01 BELLEFONTE NORTH,,State House,171.0,WRITE-INS,0.0
Centre,2,02 BELLEFONTE NORTHEAST,,Registered Voters,,,862.0
Centre,2,02 BELLEFONTE NORTHEAST,,Ballots Cast,,,637.0
Centre,2,02 BELLEFONTE NORTHEAST,,VOTER TURNOUT - TOTAL,,,
Centre,2,02 BELLEFONTE NORTHEAST,DEM,STRAIGHT PARTY,,DEMOCRATIC,117.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,STRAIGHT PARTY,,REPUBLICAN,174.0
Centre,2,02 BELLEFONTE NORTHEAST,GRN,STRAIGHT PARTY,,GREEN,0.0
