county,state_precinct_id,precinct,office,district,party,candidate,votes
Indiana,1000,ARMAGH,U.S. Senate,,DEM,Bob Casey Jr.,11
Indiana,2003,ARMSTRONG 1,U.S. Senate,,DEM,Bob Casey Jr.,120
Indiana,2006,ARMSTRONG 2,U.S. Senate,,DEM,Bob Casey Jr.,277
Indiana,3003,BANKS 1,U.S. Senate,,DEM,Bob Casey Jr.,72
Indiana,4003,BLACKLICK,U.S. Senate,,DEM,Bob Casey Jr.,187
Indiana,5010,BLAIRSVILLE 1,U.S. Senate,,DEM,Bob Casey Jr.,193
Indiana,5020,BLAIRSVILLE 2,U.S. Senate,,DEM,Bob Casey Jr.,191
Indiana,5030,BLAIRSVILLE 3,U.S. Senate,,DEM,Bob Casey Jr.,223
Indiana,6000,BRUSH VALLEY,U.S. Senate,,DEM,Bob Casey Jr.,231
Indiana,7003,BUFFINGTON 1,U.S. Senate,,DEM,Bob Casey Jr.,129
Indiana,7006,BUFFINGTON 2,U.S. Senate,,DEM,Bob Casey Jr.,34
Indiana,8003,BURRELL 1,U.S. Senate,,DEM,Bob Casey Jr.,209
Indiana,8006,BURRELL 2,U.S. Senate,,DEM,Bob Casey Jr.,291
Indiana,9003,CANOE,U.S. Senate,,DEM,Bob Casey Jr.,138
Indiana,10003,CENTER 1,U.S. Senate,,DEM,Bob Casey Jr.,207
Indiana,10006,CENTER 2,U.S. Senate,,DEM,Bob Casey Jr.,238
Indiana,10009,CENTER 3,U.S. Senate,,DEM,Bob Casey Jr.,457
Indiana,12000,CHERRY TREE,U.S. Senate,,DEM,Bob Casey Jr.,36
Indiana,11003,CHERRYHILL 1,U.S. Senate,,DEM,Bob Casey Jr.,254
Indiana,11006,CHERRYHILL 2,U.S. Senate,,DEM,Bob Casey Jr.,114
Indiana,13003,CLYMER 1,U.S. Senate,,DEM,Bob Casey Jr.,186
Indiana,14003,CONEMAUGH 1,U.S. Senate,,DEM,Bob Casey Jr.,59
Indiana,14006,CONEMAUGH 2,U.S. Senate,,DEM,Bob Casey Jr.,130
Indiana,14009,CONEMAUGH 3,U.S. Senate,,DEM,Bob Casey Jr.,99
Indiana,15000,CREEKSIDE,U.S. Senate,,DEM,Bob Casey Jr.,46
Indiana,22000,EAST MAHONING,U.S. Senate,,DEM,Bob Casey Jr.,98
Indiana,35003,EAST WHEATFIELD 1,U.S. Senate,,DEM,Bob Casey Jr.,203
Indiana,35006,EAST WHEATFIELD 2,U.S. Senate,,DEM,Bob Casey Jr.,126
Indiana,15500,ERNEST,U.S. Senate,,DEM,Bob Casey Jr.,45
Indiana,16000,GLEN CAMPBELL,U.S. Senate,,DEM,Bob Casey Jr.,35
Indiana,17003,GRANT,U.S. Senate,,DEM,Bob Casey Jr.,66
Indiana,18003,GREEN 1,U.S. Senate,,DEM,Bob Casey Jr.,146
Indiana,18006,GREEN 2,U.S. Senate,,DEM,Bob Casey Jr.,152
Indiana,18009,GREEN 3,U.S. Senate,,DEM,Bob Casey Jr.,63
Indiana,19003,HOMER CITY 1,U.S. Senate,,DEM,Bob Casey Jr.,236
Indiana,19006,HOMER CITY 2,U.S. Senate,,DEM,Bob Casey Jr.,116
Indiana,20010,INDIANA 1,U.S. Senate,,DEM,Bob Casey Jr.,410
Indiana,20021,INDIANA 2 1,U.S. Senate,,DEM,Bob Casey Jr.,218
Indiana,20022,INDIANA 2 2,U.S. Senate,,DEM,Bob Casey Jr.,355
Indiana,20031,INDIANA 3 1,U.S. Senate,,DEM,Bob Casey Jr.,359
Indiana,20032,INDIANA 3 2,U.S. Senate,,DEM,Bob Casey Jr.,412
Indiana,20034,INDIANA 3 4,U.S. Senate,,DEM,Bob Casey Jr.,214
Indiana,20040,INDIANA 4,U.S. Senate,,DEM,Bob Casey Jr.,340
Indiana,26000,MARION CENTER,U.S. Senate,,DEM,Bob Casey Jr.,51
Indiana,27000,MONTGOMERY,U.S. Senate,,DEM,Bob Casey Jr.,176
Indiana,23000,NORTH MAHONING,U.S. Senate,,DEM,Bob Casey Jr.,82
Indiana,28003,PINE 1,U.S. Senate,,DEM,Bob Casey Jr.,92
Indiana,28006,PINE 2,U.S. Senate,,DEM,Bob Casey Jr.,78
Indiana,28009,PINE 3,U.S. Senate,,DEM,Bob Casey Jr.,67
