county,office,district,party,candidate,votes,precinct
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",110,ADDISON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",26,ADDISON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",79,ALLEGHENY
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",35,BENSON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",237,BERLIN
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",84,BLACK
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",201,BOSWELL
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",219,BROTHERS VALLEY
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",4,CALLIMONT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",13,CASSELMAN
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",145,CENTRAL CITY
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",339,CONEMAUGHX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",254,CONEMAUGHX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",232,CONEMAUGHX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",237,CONEMAUGHX4
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",82,CONEMAUGHX5
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",112,CONFLUENCE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",138,ELK LICK
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",20,FAIRHOPE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",63,GARRETT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",72,GREENVILLE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",87,HOOVERSVILLE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",69,INDIAN LAKE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",230,JEFFERSON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",250,JENNERX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",134,JENNERX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",90,JENNERX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",103,JENNERSTOWN
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",46,LARIMER
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",175,LINCOLN
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",47,LOWER TURKEYFOOT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",267,MEYERSDALE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",103,MIDDLECREEK
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",184,MILFORD
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",37,NEW BALTIMORE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",28,NEW CENTERVILLE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",46,NORTHAMPTON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",55,OGLE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",189,PAINTX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",259,PAINTX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",57,PAINTX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",131,PAINT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",221,QUEMAHONING
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",88,ROCKWOOD
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",86,SALISBURY
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",4,SEVEN SPRINGS
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",70,SHADEX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",157,SHADEX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",168,SHADEX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",19,SHANKSVILLE
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",239,SOMERSETX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",288,SOMERSETX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",305,SOMERSETX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",192,SOMERSETX4
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",146,SOMERSETXEAST
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",179,SOMERSETXNORTH WEST
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",493,SOMERSETXSOUTH WEST
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",46,SOUTHAMPTON
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",192,STONYCREEK
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",52,STOYSTOWN
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",219,SUMMIT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",101,UPPER TURKEYFOOT
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",23,URSINA
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",17,WELLERSBURG
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",176,WINDBERX1
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",242,WINDBERX2
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",147,WINDBERX3
Somerset,U.S. Senate,,DEM,"BOB CASEY, JR",163,WINDBERX4
Somerset,U.S. Senate,,REP,LOU BARLETTA,233,ADDISON
Somerset,U.S. Senate,,REP,LOU BARLETTA,49,ADDISON
Somerset,U.S. Senate,,REP,LOU BARLETTA,218,ALLEGHENY
Somerset,U.S. Senate,,REP,LOU BARLETTA,31,BENSON
Somerset,U.S. Senate,,REP,LOU BARLETTA,527,BERLIN
Somerset,U.S. Senate,,REP,LOU BARLETTA,266,BLACK
Somerset,U.S. Senate,,REP,LOU BARLETTA,230,BOSWELL
Somerset,U.S. Senate,,REP,LOU BARLETTA,790,BROTHERS VALLEY
Somerset,U.S. Senate,,REP,LOU BARLETTA,17,CALLIMONT
Somerset,U.S. Senate,,REP,LOU BARLETTA,21,CASSELMAN
Somerset,U.S. Senate,,REP,LOU BARLETTA,191,CENTRAL CITY
Somerset,U.S. Senate,,REP,LOU BARLETTA,578,CONEMAUGHX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,433,CONEMAUGHX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,389,CONEMAUGHX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,407,CONEMAUGHX4
Somerset,U.S. Senate,,REP,LOU BARLETTA,145,CONEMAUGHX5
Somerset,U.S. Senate,,REP,LOU BARLETTA,118,CONFLUENCE
Somerset,U.S. Senate,,REP,LOU BARLETTA,418,ELK LICK
Somerset,U.S. Senate,,REP,LOU BARLETTA,32,FAIRHOPE
Somerset,U.S. Senate,,REP,LOU BARLETTA,69,GARRETT
Somerset,U.S. Senate,,REP,LOU BARLETTA,161,GREENVILLE
Somerset,U.S. Senate,,REP,LOU BARLETTA,160,HOOVERSVILLE
Somerset,U.S. Senate,,REP,LOU BARLETTA,185,INDIAN LAKE
Somerset,U.S. Senate,,REP,LOU BARLETTA,452,JEFFERSON
Somerset,U.S. Senate,,REP,LOU BARLETTA,496,JENNERX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,331,JENNERX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,220,JENNERX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,211,JENNERSTOWN
Somerset,U.S. Senate,,REP,LOU BARLETTA,188,LARIMER
Somerset,U.S. Senate,,REP,LOU BARLETTA,503,LINCOLN
Somerset,U.S. Senate,,REP,LOU BARLETTA,123,LOWER TURKEYFOOT
Somerset,U.S. Senate,,REP,LOU BARLETTA,437,MEYERSDALE
Somerset,U.S. Senate,,REP,LOU BARLETTA,296,MIDDLECREEK
Somerset,U.S. Senate,,REP,LOU BARLETTA,494,MILFORD
Somerset,U.S. Senate,,REP,LOU BARLETTA,33,NEW BALTIMORE
Somerset,U.S. Senate,,REP,LOU BARLETTA,74,NEW CENTERVILLE
Somerset,U.S. Senate,,REP,LOU BARLETTA,124,NORTHAMPTON
Somerset,U.S. Senate,,REP,LOU BARLETTA,155,OGLE
Somerset,U.S. Senate,,REP,LOU BARLETTA,403,PAINTX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,351,PAINTX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,145,PAINTX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,194,PAINT
Somerset,U.S. Senate,,REP,LOU BARLETTA,516,QUEMAHONING
Somerset,U.S. Senate,,REP,LOU BARLETTA,196,ROCKWOOD
Somerset,U.S. Senate,,REP,LOU BARLETTA,184,SALISBURY
Somerset,U.S. Senate,,REP,LOU BARLETTA,2,SEVEN SPRINGS
Somerset,U.S. Senate,,REP,LOU BARLETTA,196,SHADEX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,162,SHADEX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,203,SHADEX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,58,SHANKSVILLE
Somerset,U.S. Senate,,REP,LOU BARLETTA,543,SOMERSETX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,712,SOMERSETX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,652,SOMERSETX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,475,SOMERSETX4
Somerset,U.S. Senate,,REP,LOU BARLETTA,242,SOMERSETXEAST
