county,precinct,office,district,party,candidate,absentee,election_day,votes
Fayette,BelleVernon,Ballots Cast,,,,5,298,303
Fayette,BvilleTwp,Ballots Cast,,,,12,190,202
Fayette,BvilleW1,Ballots Cast,,,,6,159,165
Fayette,BvilleW2,Ballots Cast,,,,5,215,220
Fayette,BvilleW3,Ballots Cast,,,,11,235,246
Fayette,BullskinD1,Ballots Cast,,,,30,1457,1487
Fayette,BullskinD2,Ballots Cast,,,,9,498,507
Fayette,BullskinD3,Ballots Cast,,,,22,551,573
Fayette,CvilleW1,Ballots Cast,,,,19,671,690
Fayette,CvilleW2,Ballots Cast,,,,9,502,511
Fayette,CvilleW3,Ballots Cast,,,,8,309,317
Fayette,CvilleW4,Ballots Cast,,,,12,441,453
Fayette,CvilleTwp,Ballots Cast,,,,12,716,728
Fayette,DawsonBoro,Ballots Cast,,,,2,109,111
Fayette,DunbarTwp1,Ballots Cast,,,,13,852,865
Fayette,DunbarTwp2,Ballots Cast,,,,42,1306,1348
Fayette,DunbarBoro,Ballots Cast,,,,4,329,333
Fayette,Everson,Ballots Cast,,,,0,194,194
Fayette,Fchance,Ballots Cast,,,,26,552,578
Fayette,FayCtyBoro,Ballots Cast,,,,4,159,163
Fayette,FranklinD1,Ballots Cast,,,,23,472,495
Fayette,FranklinD2,Ballots Cast,,,,14,337,351
Fayette,GeorgesD1,Ballots Cast,,,,13,470,483
Fayette,GeorgesD2,Ballots Cast,,,,24,690,714
Fayette,GeorgesD3,Ballots Cast,,,,20,660,680
Fayette,GermanD1,Ballots Cast,,,,23,714,737
Fayette,GermanD2,Ballots Cast,,,,6,306,312
Fayette,GermanD3,Ballots Cast,,,,8,318,326
Fayette,GermanD4,Ballots Cast,,,,3,127,130
Fayette,HenryClay,Ballots Cast,,,,15,557,572
Fayette,JeffTwp,Ballots Cast,,,,11,766,777
Fayette,LTyroneTwp,Ballots Cast,,,,7,414,421
Fayette,LuzerneD1,Ballots Cast,,,,22,428,450
Fayette,LuzerneD2,Ballots Cast,,,,6,548,554
Fayette,LuzerneD3,Ballots Cast,,,,4,199,203
Fayette,LuzerneD4,Ballots Cast,,,,6,135,141
Fayette,Markleysbrg,Ballots Cast,,,,11,56,67
Fayette,Masontwn,Ballots Cast,,,,32,911,943
Fayette,Menallen1,Ballots Cast,,,,7,409,416
Fayette,Menallen2,Ballots Cast,,,,14,648,662
Fayette,Menallen3,Ballots Cast,,,,9,283,292
Fayette,NewellBoro,Ballots Cast,,,,5,170,175
Fayette,Nicholson,Ballots Cast,,,,16,558,574
Fayette,NUnion1,Ballots Cast,,,,32,749,781
Fayette,NUnion2,Ballots Cast,,,,35,1154,1189
Fayette,NUnion3,Ballots Cast,,,,5,409,414
Fayette,NUnion4,Ballots Cast,,,,30,941,971
Fayette,NUnion5,Ballots Cast,,,,4,231,235
Fayette,Ohiopyle,Ballots Cast,,,,4,15,19
Fayette,PerryTwp,Ballots Cast,,,,25,831,856
Fayette,Perryopolis,Ballots Cast,,,,21,656,677
Fayette,PtMarion,Ballots Cast,,,,10,274,284
Fayette,Redstone1,Ballots Cast,,,,14,585,599
Fayette,Redstone2,Ballots Cast,,,,40,582,622
Fayette,Redstone3,Ballots Cast,,,,13,166,179
Fayette,Redstone4,Ballots Cast,,,,4,171,175
Fayette,Saltlick,Ballots Cast,,,,34,994,1028
Fayette,Smithfield,Ballots Cast,,,,5,285,290
Fayette,SCvilleBoro,Ballots Cast,,,,14,550,564
Fayette,SUnion1,Ballots Cast,,,,88,1974,2062
Fayette,SUnion2,Ballots Cast,,,,37,1078,1115
Fayette,SUnion3,Ballots Cast,,,,42,1066,1108
Fayette,Spfield1,Ballots Cast,,,,7,429,436
Fayette,Spfield2,Ballots Cast,,,,5,326,331
Fayette,Sphill1,Ballots Cast,,,,12,366,378
Fayette,Sphill2,Ballots Cast,,,,8,402,410
Fayette,Stewart,Ballots Cast,,,,17,227,244
Fayette,UtownW1,Ballots Cast,,,,34,490,524
