county,precinct,candidate,office,district,party,votes
Northumberland,Coal Township 1,,Ballots Cast,,,239
Northumberland,Coal Township 1,,Straight Party,,DEM,49
Northumberland,Coal Township 1,,Straight Party,,REP,63
Northumberland,Coal Township 1,,Straight Party,,GRE,1
Northumberland,Coal Township 1,,Straight Party,,LIB,1
Northumberland,Coal Township 1,"Bob Casey, Jr.",U.S. Senate,,DEM,98
Northumberland,Coal Township 1,Lou Barletta,U.S. Senate,,REP,133
Northumberland,Coal Township 1,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Coal Township 1,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,4
Northumberland,Coal Township 1,Write In Votes,U.S. Senate,,,0
Northumberland,Coal Township 1,Tom Wolf,Governor,,DEM,121
Northumberland,Coal Township 1,Scott R. Wagner,Governor,,REP,111
Northumberland,Coal Township 1,Paul Glover,Governor,,GRE,2
Northumberland,Coal Township 1,Ken V. Krawchuk,Governor,,LIB,3
Northumberland,Coal Township 1,Write In Votes,Governor,,,0
Northumberland,Coal Township 1,Denny Wolff,U.S. House,9,DEM,95
Northumberland,Coal Township 1,Dan Meuser,U.S. House,9,REP,125
Northumberland,Coal Township 1,Write In Votes,U.S. House,9,,0
Northumberland,Coal Township 1,Sarah Donnelly,State House,107,DEM,92
Northumberland,Coal Township 1,Kurt A. Masser,State House,107,REP,137
Northumberland,Coal Township 1,Write In Votes,State House,107,,0
Northumberland,Kulpmont Borough 2,,Ballots Cast,,,283
Northumberland,Kulpmont Borough 2,,Straight Party,,DEM,52
Northumberland,Kulpmont Borough 2,,Straight Party,,REP,59
Northumberland,Kulpmont Borough 2,,Straight Party,,GRE,0
Northumberland,Kulpmont Borough 2,,Straight Party,,LIB,0
Northumberland,Kulpmont Borough 2,"Bob Casey, Jr.",U.S. Senate,,DEM,127
Northumberland,Kulpmont Borough 2,Lou Barletta,U.S. Senate,,REP,141
Northumberland,Kulpmont Borough 2,Neal Gale,U.S. Senate,,GRE,3
Northumberland,Kulpmont Borough 2,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,2
Northumberland,Kulpmont Borough 2,Write In Votes,U.S. Senate,,,0
Northumberland,Kulpmont Borough 2,Tom Wolf,Governor,,DEM,159
Northumberland,Kulpmont Borough 2,Scott R. Wagner,Governor,,REP,114
Northumberland,Kulpmont Borough 2,Paul Glover,Governor,,GRE,0
Northumberland,Kulpmont Borough 2,Ken V. Krawchuk,Governor,,LIB,3
Northumberland,Kulpmont Borough 2,Write In Votes,Governor,,,2
Northumberland,Kulpmont Borough 2,Denny Wolff,U.S. House,9,DEM,125
Northumberland,Kulpmont Borough 2,Dan Meuser,U.S. House,9,REP,144
Northumberland,Kulpmont Borough 2,Write In Votes,U.S. House,9,,1
Northumberland,Kulpmont Borough 2,Sarah Donnelly,State House,107,DEM,109
Northumberland,Kulpmont Borough 2,Kurt A. Masser,State House,107,REP,165
Northumberland,Kulpmont Borough 2,Write In Votes,State House,107,,0
Northumberland,Kulpmont Borough 3,,Ballots Cast,,,317
Northumberland,Kulpmont Borough 3,,Straight Party,,DEM,56
Northumberland,Kulpmont Borough 3,,Straight Party,,REP,68
Northumberland,Kulpmont Borough 3,,Straight Party,,GRE,0
Northumberland,Kulpmont Borough 3,,Straight Party,,LIB,0
Northumberland,Kulpmont Borough 3,"Bob Casey, Jr.",U.S. Senate,,DEM,157
Northumberland,Kulpmont Borough 3,Lou Barletta,U.S. Senate,,REP,156
Northumberland,Kulpmont Borough 3,Neal Gale,U.S. Senate,,GRE,0
Northumberland,Kulpmont Borough 3,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,3
Northumberland,Kulpmont Borough 3,Write In Votes,U.S. Senate,,,0
Northumberland,Kulpmont Borough 3,Tom Wolf,Governor,,DEM,171
Northumberland,Kulpmont Borough 3,Scott R. Wagner,Governor,,REP,137
Northumberland,Kulpmont Borough 3,Paul Glover,Governor,,GRE,3
Northumberland,Kulpmont Borough 3,Ken V. Krawchuk,Governor,,LIB,3
Northumberland,Kulpmont Borough 3,Write In Votes,Governor,,,0
Northumberland,Kulpmont Borough 3,Denny Wolff,U.S. House,9,DEM,159
